DATE,STMPA FP Equity_DX_SI_QTY,STMPA FP Equity_DX_SHORT_INTEREST_VALUE,STMPA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,STMPA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,STMPA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,STMPA FP Equity_DX_SI_MV,STMPA FP Equity_DX_DSS,STMPA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,STMPA FP Equity_DX_SUPPLY_SI_QTY,STMPA FP Equity_DX_BROKER_SI_QTY,STMPA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,STMPA FP Equity_DX_BROKER_SI_MV_NEW_x,STMPA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,STMPA FP Equity_DX_SUPPLY_SI_QTY_INC_x,STMPA FP Equity_DX_BROKER_SI_MV_INC_x,STMPA FP Equity_DX_SUPPLY_SI_MV_NEW,STMPA FP Equity_DX_BROKER_SI_QTY_ADD,STMPA FP Equity_DX_BROKER_SI_QTY_NEW,STMPA FP Equity_DX_SUPPLY_SI_MV_DEC,STMPA FP Equity_DX_BROKER_SI_QTY_INC,STMPA FP Equity_DX_SUPPLY_SI_QTY_DEC,STMPA FP Equity_DX_BROKER_SI_MV_NEW_y,STMPA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,STMPA FP Equity_DX_BROKER_SI_MV_INC_y,STMPA FP Equity_DX_SUPPLY_SI_QTY_INC_y,STMPA FP Equity_DX_BROKER_SI_MV_ADD,STMPA FP Equity_DX_SUPPLY_SI_QTY_ADD,STMPA FP Equity_DX_BROKER_SI_QTY_DEC,STMPA FP Equity_DX_SUPPLY_SI_MV,STMPA FP Equity_DX_BROKER_SI_MV_DEC,STMPA FP Equity_DX_SUPPLY_SI_MV_RMV,STMPA FP Equity_DX_BROKER_SI_MV_RMV,STMPA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,STMPA FP Equity_DX_UTILIZATION_QUANTITY,STMPA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,STMPA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,STMPA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,STMPA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,STMPA FP Equity_DX_ACTIVE_UTILIZATION_MV,STMPA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,STMPA FP Equity_DX_BROKER_SI_CON_RATIO,STMPA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,STMPA FP Equity_DX_DEMAND_SUPPLY_RATIO,STMPA FP Equity_PX_LAST
2006-07-03,46157556.0,384859620.12,7.02,8.38,5.08,581.11,2.0,234632935.76,21698080.0,28140346.0,180917612.41,0.0,0.0,224593.0,39.89,0.0,0.0,0.0,3.93,3579146.0,331551.0,0.0,0.0,39.89,224593.0,0.0,200000.0,148660.0,272.74,3.17,0.0,0.0,27.5,27.5,57212344.0,477033943.87,0.0,718.92,27.5,25.61,0.2134,34.31,0.5849,12.7
2006-07-04,45560788.0,383174127.54,6.93,8.53,5.02,576.2,2.0,225770028.55,22402140.0,26844872.0,188405882.04,0.0,0.0,60829.0,2.09,0.0,0.0,0.0,0.0,166000.0,4769.0,0.0,0.0,2.09,60829.0,0.0,650000.0,1461476.0,283.56,17.67,0.03,0.0,27.83,27.83,58086340.0,488516191.85,2000.0,737.13,27.78,26.35,0.2002,31.13,0.5661,12.81
2006-07-05,45165920.0,372143473.91,6.86,8.89,4.97,573.02,1.0,219323226.39,22235164.0,26618592.0,183206080.47,0.0,2000.0,212554.0,0.0,0.03,0.0,0.0,4.42,0.0,383531.0,0.0,2000.0,0.0,212554.0,0.0,2000.0,226279.0,282.8,2.29,0.0,0.0,27.61,27.61,58303852.0,480393137.69,0.0,742.51,27.58,26.61,0.2025,31.33,0.5608,12.55
2006-07-06,37984684.0,316465200.44,5.77,7.63,4.18,477.9,1.0,170619810.22,21175712.0,20479154.0,176423106.28,0.0,0.0,20010.0,0.0,0.0,0.0,0.0,15.18,0.0,1079461.0,0.0,0.0,0.0,20010.0,0.0,0.0,6139438.0,265.94,78.75,0.0,0.0,26.4,26.4,59038472.0,491872510.38,0.0,742.49,26.37,21.61,0.1979,32.08,0.4735,12.69
2006-07-07,34831312.0,280131368.42,5.29,6.93,3.83,439.12,1.0,138792280.55,21250928.0,17257322.0,170910918.91,0.0,0.0,65215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65215.0,0.0,10000.0,3221831.0,267.64,40.36,0.0,0.0,26.91,26.91,57726800.0,464268686.71,0.0,726.25,26.93,18.79,0.203,35.58,0.441,12.25
2006-07-10,36194684.0,289908160.73,5.49,7.15,3.98,451.93,1.0,147323907.04,21463074.0,18393212.0,171912546.8,0.0,0.0,177443.0,14.22,0.0,0.0,0.0,6.43,1175890.0,402072.0,0.0,0.0,14.22,177443.0,0.0,436776.0,40000.0,266.53,0.55,0.0,0.0,27.44,27.44,56765144.0,454671147.04,0.0,702.6,27.5,17.9,0.1868,33.98,0.4627,12.2
2006-07-11,35702628.0,279169370.3,5.42,6.92,3.93,444.59,1.0,139809552.43,21472660.0,17880072.0,167901056.77,0.0,0.0,62182.0,0.0,0.0,808587.0,0.0,0.85,3624.0,52596.0,0.0,0.0,0.0,62182.0,9.61,0.0,1325352.0,265.19,16.11,0.0,0.0,27.65,27.65,56174756.0,439246972.5,0.0,690.07,27.76,18.24,0.1671,30.58,0.4598,11.91
2006-07-12,47674836.0,372157592.0,7.24,9.23,5.25,586.19,2.0,226138796.65,22346276.0,28969260.0,174438696.89,0.0,83704.0,1141769.0,135.9,0.99,0.0,0.0,9.22,11204188.0,651855.0,0.0,83704.0,135.9,1141769.0,0.0,300000.0,115000.0,271.29,1.45,0.0,0.0,29.37,29.37,53732444.0,419444273.94,0.0,648.66,29.49,21.53,0.1936,32.84,0.6267,11.89
2006-07-13,48208372.0,372207918.24,7.32,9.53,5.31,591.93,2.0,227336863.16,22402388.0,29444672.0,172964691.72,0.0,0.0,138131.0,15.19,0.0,0.0,0.0,3.74,1274000.0,301795.0,0.0,0.0,15.19,138131.0,0.0,303478.0,798587.0,271.21,9.51,0.99,0.0,29.54,29.54,53436764.0,412575365.25,83704.0,642.51,29.68,21.71,0.207,34.68,0.6357,11.76
2006-07-14,47494044.0,363262775.0,7.21,9.25,5.23,579.82,2.0,230001187.76,21064350.0,30071032.0,161112712.04,0.0,0.0,80283.0,22.99,0.0,0.0,0.0,22.4,1935551.0,1783139.0,0.0,0.0,22.99,80283.0,0.0,364819.0,1309190.0,253.26,17.06,0.0,0.0,27.98,27.98,54210680.0,414635613.08,0.0,647.35,28.12,26.07,0.2204,34.07,0.6309,11.65
