DATE,ALHEX FP Equity_DX_SI_QTY,ALHEX FP Equity_DX_SHORT_INTEREST_VALUE,ALHEX FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALHEX FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALHEX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALHEX FP Equity_DX_SI_MV,ALHEX FP Equity_DX_DSS,ALHEX FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALHEX FP Equity_DX_SUPPLY_SI_QTY,ALHEX FP Equity_DX_BROKER_SI_QTY,ALHEX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALHEX FP Equity_DX_BROKER_SI_MV_NEW_x,ALHEX FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALHEX FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALHEX FP Equity_DX_BROKER_SI_MV_INC_x,ALHEX FP Equity_DX_SUPPLY_SI_MV_NEW,ALHEX FP Equity_DX_BROKER_SI_QTY_ADD,ALHEX FP Equity_DX_BROKER_SI_QTY_NEW,ALHEX FP Equity_DX_SUPPLY_SI_MV_DEC,ALHEX FP Equity_DX_BROKER_SI_QTY_INC,ALHEX FP Equity_DX_SUPPLY_SI_QTY_DEC,ALHEX FP Equity_DX_BROKER_SI_MV_NEW_y,ALHEX FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALHEX FP Equity_DX_BROKER_SI_MV_INC_y,ALHEX FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALHEX FP Equity_DX_BROKER_SI_MV_ADD,ALHEX FP Equity_DX_SUPPLY_SI_QTY_ADD,ALHEX FP Equity_DX_BROKER_SI_QTY_DEC,ALHEX FP Equity_DX_SUPPLY_SI_MV,ALHEX FP Equity_DX_BROKER_SI_MV_DEC,ALHEX FP Equity_DX_SUPPLY_SI_MV_RMV,ALHEX FP Equity_DX_BROKER_SI_MV_RMV,ALHEX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALHEX FP Equity_DX_UTILIZATION_QUANTITY,ALHEX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALHEX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALHEX FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALHEX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALHEX FP Equity_DX_ACTIVE_UTILIZATION_MV,ALHEX FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALHEX FP Equity_DX_BROKER_SI_CON_RATIO,ALHEX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALHEX FP Equity_DX_DEMAND_SUPPLY_RATIO,ALHEX FP Equity_PX_LAST
2006-07-03,2716.0,96165.0,0.1,0.23,0.04,0.13,0.0,96165.0,0.0,2716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143865.0,5093806.02,0.0,6.75,0.0,13.96,0.7597,86.04,0.0189,49.4
2006-07-04,2716.0,95386.33,0.1,0.24,0.04,0.13,0.0,95386.33,0.0,2716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143745.0,5048346.21,0.0,6.94,0.0,13.96,0.7597,86.04,0.0189,49.0
2006-07-05,2716.0,93322.87,0.1,0.24,0.04,0.13,0.0,93322.87,0.0,2716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142939.0,4911442.6,0.0,6.86,0.0,13.86,0.7611,86.14,0.019,47.94
2006-07-06,2716.0,95347.4,0.1,0.24,0.04,0.13,0.0,95347.4,0.0,2716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143786.0,5047725.0,0.0,6.85,0.0,13.61,0.7649,86.39,0.0189,48.98
2006-07-07,2716.0,94802.33,0.1,0.23,0.04,0.13,0.0,94802.33,0.0,2716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143468.0,5007769.24,0.0,6.93,0.0,13.86,0.7612,86.14,0.0189,48.7
2006-07-10,2716.0,96963.13,0.1,0.23,0.04,0.13,0.0,96963.13,0.0,2716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144364.0,5153897.2,0.0,6.95,0.0,13.79,0.7622,86.21,0.0188,49.81
2006-07-11,5555.0,196764.66,0.2,0.47,0.08,0.26,0.0,96203.93,2839.0,2716.0,100560.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2839.0,0.0,0.13,0.0,0.0,0.0,6.74,1.97,39289.0,1391662.8,0.0,0.0,0.0,42.01,0.4425,51.11,0.0386,49.42
2006-07-12,5560.0,198456.09,0.2,0.44,0.08,0.26,0.0,96943.66,2844.0,2716.0,101512.43,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,6.7,1.97,39594.0,1413250.1,0.0,0.0,0.0,42.03,0.4429,51.15,0.0385,49.8
2006-07-13,5237.0,186852.01,0.19,0.42,0.08,0.24,0.0,84131.57,2879.0,2358.0,102720.44,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,358.0,0.13,0.02,0.0,0.0,6.72,1.99,39961.0,1425776.8,0.0,0.0,0.0,45.03,0.5049,54.97,0.0362,49.78
2006-07-14,5244.0,186199.7,0.19,0.42,0.08,0.24,0.0,83725.95,2886.0,2358.0,102473.75,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,6.77,2.0,39767.0,1412014.43,0.0,0.0,0.0,44.97,0.5051,55.03,0.0363,49.54
