DATE,SGO FP Equity_DX_SI_QTY,SGO FP Equity_DX_SHORT_INTEREST_VALUE,SGO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SGO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SGO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SGO FP Equity_DX_SI_MV,SGO FP Equity_DX_DSS,SGO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SGO FP Equity_DX_SUPPLY_SI_QTY,SGO FP Equity_DX_BROKER_SI_QTY,SGO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SGO FP Equity_DX_BROKER_SI_MV_NEW_x,SGO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,SGO FP Equity_DX_SUPPLY_SI_QTY_INC_x,SGO FP Equity_DX_BROKER_SI_MV_INC_x,SGO FP Equity_DX_SUPPLY_SI_MV_NEW,SGO FP Equity_DX_BROKER_SI_QTY_ADD,SGO FP Equity_DX_BROKER_SI_QTY_NEW,SGO FP Equity_DX_SUPPLY_SI_MV_DEC,SGO FP Equity_DX_BROKER_SI_QTY_INC,SGO FP Equity_DX_SUPPLY_SI_QTY_DEC,SGO FP Equity_DX_BROKER_SI_MV_NEW_y,SGO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,SGO FP Equity_DX_BROKER_SI_MV_INC_y,SGO FP Equity_DX_SUPPLY_SI_QTY_INC_y,SGO FP Equity_DX_BROKER_SI_MV_ADD,SGO FP Equity_DX_SUPPLY_SI_QTY_ADD,SGO FP Equity_DX_BROKER_SI_QTY_DEC,SGO FP Equity_DX_SUPPLY_SI_MV,SGO FP Equity_DX_BROKER_SI_MV_DEC,SGO FP Equity_DX_SUPPLY_SI_MV_RMV,SGO FP Equity_DX_BROKER_SI_MV_RMV,SGO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SGO FP Equity_DX_UTILIZATION_QUANTITY,SGO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SGO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SGO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,SGO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SGO FP Equity_DX_ACTIVE_UTILIZATION_MV,SGO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SGO FP Equity_DX_BROKER_SI_CON_RATIO,SGO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SGO FP Equity_DX_DEMAND_SUPPLY_RATIO,SGO FP Equity_PX_LAST
2006-07-03,46958872.0,1799293862.69,14.11,22.28,13.6,2602.36,3.0,1205131453.79,29128518.0,31452124.0,1116099289.32,0.0,204711.0,102211.0,132.08,11.35,0.0,0.0,131.9,2474365.0,2959606.0,0.0,204711.0,132.08,102211.0,0.0,14984.0,3805792.0,1616.16,179.8,10.77,0.0,64.83,48.32,15803562.0,605535246.15,204339.0,0.0,175.38,11.69,0.0971,20.58,0.779,55.15
2006-07-04,46443796.0,1792465055.38,13.95,22.47,13.45,2575.21,3.0,1203755874.03,28713640.0,31190004.0,1108182378.39,0.0,0.0,19571.0,13.81,0.0,0.0,0.0,23.34,249121.0,429448.0,0.0,0.0,13.81,19571.0,0.0,0.0,511240.0,1589.89,26.94,0.28,0.0,63.77,47.49,16311664.0,629536993.81,5000.0,0.0,175.55,11.81,0.0972,20.54,0.7681,55.55
2006-07-05,45518352.0,1747260817.71,13.68,22.54,13.18,2533.09,3.0,1171884042.28,28030216.0,30529060.0,1075963781.13,0.0,208172.0,727091.0,0.0,11.49,0.0,0.0,92.65,0.0,1651627.0,0.0,208172.0,0.0,727091.0,0.0,32940.0,660946.0,1557.98,32.65,0.0,0.0,61.22,45.44,17759352.0,681707894.38,0.0,0.0,174.62,11.7,0.0982,20.69,0.7379,55.25
2006-07-06,42953000.0,1671169322.17,12.9,21.06,12.44,2388.21,3.0,1120482516.36,26525296.0,28799048.0,1032017808.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.52,0.0,1098400.0,0.0,0.0,0.0,0.0,0.0,1050.0,1730013.0,1471.16,95.92,22.59,0.0,58.45,43.24,18857916.0,733703599.27,407568.0,0.0,164.76,11.93,0.1018,21.97,0.7002,56.0
2006-07-07,42433592.0,1631797814.69,12.75,20.77,12.29,2372.12,3.0,1053279203.16,26578794.0,27389680.0,1022096313.84,0.0,0.0,123789.0,1.88,0.0,0.0,0.0,2.4,30939.0,109619.0,0.0,0.0,1.88,123789.0,0.0,39327.0,1440304.0,1483.46,76.52,0.0,0.0,58.64,43.31,18743422.0,720784492.14,0.0,0.0,165.08,11.9,0.0945,19.83,0.6915,55.35
2006-07-10,41727336.0,1611886196.35,12.34,20.59,11.9,2329.7,3.0,1061165049.06,26453456.0,27470668.0,1021871143.95,0.0,0.0,195178.0,8.23,0.0,0.0,0.0,18.08,161582.0,320517.0,0.0,0.0,8.23,195178.0,0.0,0.0,80595.0,1472.32,3.86,0.0,0.0,58.68,43.26,18624604.0,719450244.8,0.0,0.0,167.51,12.1,0.0948,19.56,0.6823,55.6
2006-07-11,40431928.0,1530946023.72,11.95,19.54,11.53,2247.03,3.0,1001287889.2,25960354.0,26443780.0,982983070.48,0.0,0.0,25023.0,18.32,0.0,0.0,0.0,42.47,338000.0,730453.0,0.0,0.0,18.32,25023.0,0.0,212328.0,1364887.0,1439.53,76.66,0.0,0.0,57.89,42.49,18880214.0,714895133.13,0.0,0.0,166.39,12.27,0.0952,20.09,0.6617,54.5
2006-07-12,39865328.0,1521955533.96,11.79,19.01,11.37,2197.64,3.0,976660742.66,25266540.0,25582154.0,964611413.13,0.0,161067.0,173929.0,2.08,8.84,0.0,0.0,74.62,126444.0,1268217.0,0.0,161067.0,2.08,173929.0,0.0,239408.0,988071.0,1386.88,59.15,0.0,0.0,56.56,41.1,19406380.0,740885599.51,0.0,0.0,162.96,15.07,0.1029,20.5,0.6485,54.95
2006-07-13,36318880.0,1351234882.45,10.74,17.47,10.36,2001.53,3.0,846195420.05,24450682.0,22744284.0,909681532.53,0.0,0.0,68041.0,0.8,0.0,0.0,0.0,39.45,14608.0,723993.0,0.0,0.0,0.8,68041.0,0.0,1160.0,2852479.0,1342.91,159.0,8.84,0.0,56.56,39.95,18777450.0,698610349.32,161067.0,0.0,173.48,11.38,0.1021,21.9,0.5935,53.55
2006-07-14,34331528.0,1245095208.25,10.15,16.52,9.79,1859.56,2.0,769263267.36,23784822.0,21211216.0,862599762.56,0.0,0.0,150498.0,7.75,0.0,0.0,0.0,52.88,126596.0,816358.0,0.0,0.0,7.75,150498.0,0.0,0.0,1659662.0,1279.9,104.16,0.0,0.0,57.21,38.76,17789182.0,645156990.01,0.0,0.0,194.24,10.35,0.1047,23.09,0.5595,52.2
