DATE,CAP FP Equity_DX_SI_QTY,CAP FP Equity_DX_SHORT_INTEREST_VALUE,CAP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,CAP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CAP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CAP FP Equity_DX_SI_MV,CAP FP Equity_DX_DSS,CAP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CAP FP Equity_DX_SUPPLY_SI_QTY,CAP FP Equity_DX_BROKER_SI_QTY,CAP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CAP FP Equity_DX_BROKER_SI_MV_NEW_x,CAP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CAP FP Equity_DX_SUPPLY_SI_QTY_INC_x,CAP FP Equity_DX_BROKER_SI_MV_INC_x,CAP FP Equity_DX_SUPPLY_SI_MV_NEW,CAP FP Equity_DX_BROKER_SI_QTY_ADD,CAP FP Equity_DX_BROKER_SI_QTY_NEW,CAP FP Equity_DX_SUPPLY_SI_MV_DEC,CAP FP Equity_DX_BROKER_SI_QTY_INC,CAP FP Equity_DX_SUPPLY_SI_QTY_DEC,CAP FP Equity_DX_BROKER_SI_MV_NEW_y,CAP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CAP FP Equity_DX_BROKER_SI_MV_INC_y,CAP FP Equity_DX_SUPPLY_SI_QTY_INC_y,CAP FP Equity_DX_BROKER_SI_MV_ADD,CAP FP Equity_DX_SUPPLY_SI_QTY_ADD,CAP FP Equity_DX_BROKER_SI_QTY_DEC,CAP FP Equity_DX_SUPPLY_SI_MV,CAP FP Equity_DX_BROKER_SI_MV_DEC,CAP FP Equity_DX_SUPPLY_SI_MV_RMV,CAP FP Equity_DX_BROKER_SI_MV_RMV,CAP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CAP FP Equity_DX_UTILIZATION_QUANTITY,CAP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CAP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CAP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CAP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CAP FP Equity_DX_ACTIVE_UTILIZATION_MV,CAP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CAP FP Equity_DX_BROKER_SI_CON_RATIO,CAP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CAP FP Equity_DX_DEMAND_SUPPLY_RATIO,CAP FP Equity_PX_LAST
2006-07-03,11232344.0,392505534.38,9.2,8.77,8.53,496.58,2.0,195021402.66,7332321.0,5580934.0,256222260.68,0.0,79927.0,111926.0,24.45,3.54,0.0,0.0,17.02,500584.0,433595.0,0.0,79927.0,24.45,111926.0,0.0,30026.0,232931.0,325.18,9.1,0.09,0.0,25.72,25.72,21174164.0,739914710.23,2045.0,935.93,25.79,19.08,0.1336,25.48,0.394,45.09
2006-07-04,11809386.0,411846126.5,9.67,9.42,8.97,524.75,2.0,212208454.85,7411890.0,6084922.0,258485766.03,0.0,0.0,53113.0,23.37,0.0,0.0,0.0,0.0,508466.0,1901.0,0.0,0.0,23.37,53113.0,0.0,28356.0,4478.0,330.15,0.03,0.0,0.0,26.0,26.0,21091192.0,735544229.69,0.0,937.97,26.03,21.31,0.134,24.21,0.4143,45.0
2006-07-05,12144078.0,415142082.5,9.95,9.99,9.22,542.44,2.0,219465653.81,7755070.0,6419990.0,265105009.19,0.0,2045.0,39224.0,16.12,0.09,0.0,0.0,7.66,348470.0,213918.0,0.0,2045.0,16.12,39224.0,0.0,515830.0,13402.0,347.49,0.0,0.0,0.0,27.26,27.26,20697034.0,707522612.78,0.0,925.24,27.3,22.49,0.1349,23.34,0.4268,44.11
2006-07-06,12041505.0,418074749.43,9.86,9.96,9.14,533.82,2.0,223123986.38,7627625.0,6426479.0,264827146.66,0.0,0.0,30346.0,0.18,0.0,0.0,0.0,4.32,35754.0,76493.0,0.0,0.0,0.18,30346.0,0.0,0.0,29265.0,339.83,1.33,3.64,0.0,26.8,26.8,20829536.0,723190584.89,81298.0,923.78,26.89,21.53,0.1332,23.72,0.4231,44.8
2006-07-07,11072511.0,375850718.42,9.07,9.14,8.41,492.31,2.0,188789908.35,7538117.0,5561725.0,255877523.18,0.0,0.0,46960.0,0.0,0.0,0.0,0.0,6.14,0.0,138260.0,0.0,0.0,0.0,46960.0,0.0,1792.0,864755.0,335.76,37.85,0.0,0.0,26.63,26.63,20773452.0,705144195.24,0.0,922.23,26.69,19.07,0.1216,22.42,0.3911,43.8
2006-07-10,10748969.0,361119604.43,8.8,8.94,8.16,472.45,2.0,186070898.36,7244723.0,5538526.0,243391854.97,0.0,0.0,18957.0,1.32,0.0,0.0,0.0,15.67,59421.0,314145.0,0.0,0.0,1.32,18957.0,0.0,1794.0,82620.0,318.61,4.21,0.0,0.0,25.59,25.59,21064682.0,707683651.45,0.0,925.28,25.61,20.2,0.1207,20.78,0.3797,43.35
2006-07-11,10751631.0,345794117.79,8.8,8.71,8.16,464.16,2.0,177074566.95,7402039.0,5505705.0,238064489.55,0.0,0.0,48050.0,0.0,0.0,0.0,0.0,2.19,4658.0,4169.0,0.0,0.0,0.0,48050.0,0.0,113435.0,37479.0,317.84,3.25,0.0,0.0,26.2,26.2,20850340.0,670588948.41,0.0,898.03,26.14,20.15,0.1197,20.54,0.3806,41.5
2006-07-12,10399982.0,340045683.88,8.51,8.06,7.89,441.28,2.0,182524643.15,6872378.0,5582347.0,224704473.23,0.0,315.0,79840.0,26.39,0.01,0.0,0.0,28.38,663622.0,609816.0,0.0,315.0,26.39,79840.0,0.0,0.0,586980.0,291.33,26.51,0.0,0.0,24.21,24.21,21512564.0,703391076.78,0.0,907.5,24.3,18.73,0.1471,28.42,0.3664,42.19
2006-07-13,10290210.0,324494306.73,8.43,7.98,7.81,432.7,2.0,173755303.03,6824117.0,5510046.0,215193578.65,0.0,0.0,63231.0,3.38,0.0,0.0,0.0,5.05,87899.0,111177.0,0.0,0.0,3.38,63231.0,0.0,0.0,160201.0,285.84,8.49,0.01,0.0,24.26,24.26,21303682.0,671796155.9,315.0,892.68,24.25,18.16,0.145,28.23,0.3658,40.69
2006-07-14,10660744.0,329651885.5,8.73,7.86,8.09,438.28,2.0,181682872.98,6648502.0,5875515.0,205585203.07,0.0,0.0,34193.0,21.66,0.0,0.0,0.0,11.21,601001.0,220658.0,0.0,0.0,21.66,34193.0,0.0,10850.0,235533.0,272.31,10.19,0.0,0.0,23.65,23.65,21461602.0,663636380.84,0.0,880.03,23.63,16.21,0.1534,29.93,0.3792,39.9
