DATE,IDL FP Equity_DX_SI_QTY,IDL FP Equity_DX_SHORT_INTEREST_VALUE,IDL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,IDL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,IDL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,IDL FP Equity_DX_SI_MV,IDL FP Equity_DX_DSS,IDL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,IDL FP Equity_DX_SUPPLY_SI_QTY,IDL FP Equity_DX_BROKER_SI_QTY,IDL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,IDL FP Equity_DX_BROKER_SI_MV_NEW_x,IDL FP Equity_DX_SUPPLY_SI_QTY_NEW_x,IDL FP Equity_DX_SUPPLY_SI_QTY_INC_x,IDL FP Equity_DX_BROKER_SI_MV_INC_x,IDL FP Equity_DX_SUPPLY_SI_MV_NEW,IDL FP Equity_DX_BROKER_SI_QTY_ADD,IDL FP Equity_DX_BROKER_SI_QTY_NEW,IDL FP Equity_DX_SUPPLY_SI_MV_DEC,IDL FP Equity_DX_BROKER_SI_QTY_INC,IDL FP Equity_DX_SUPPLY_SI_QTY_DEC,IDL FP Equity_DX_BROKER_SI_MV_NEW_y,IDL FP Equity_DX_SUPPLY_SI_QTY_NEW_y,IDL FP Equity_DX_BROKER_SI_MV_INC_y,IDL FP Equity_DX_SUPPLY_SI_QTY_INC_y,IDL FP Equity_DX_BROKER_SI_MV_ADD,IDL FP Equity_DX_SUPPLY_SI_QTY_ADD,IDL FP Equity_DX_BROKER_SI_QTY_DEC,IDL FP Equity_DX_SUPPLY_SI_MV,IDL FP Equity_DX_BROKER_SI_MV_DEC,IDL FP Equity_DX_SUPPLY_SI_MV_RMV,IDL FP Equity_DX_BROKER_SI_MV_RMV,IDL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,IDL FP Equity_DX_UTILIZATION_QUANTITY,IDL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,IDL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,IDL FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,IDL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,IDL FP Equity_DX_ACTIVE_UTILIZATION_MV,IDL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,IDL FP Equity_DX_BROKER_SI_CON_RATIO,IDL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,IDL FP Equity_DX_DEMAND_SUPPLY_RATIO,IDL FP Equity_PX_LAST
2012-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,63000.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,21.0
2012-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.99
2012-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56120.0,1172908.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,20.9
2012-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53120.0,1128800.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,21.25
2012-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53120.0,1120300.8,0.0,1.13,0.0,0.0,0.0,0.0,0.0,21.09
2012-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53120.0,1115520.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,21.0
2012-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121520.0,2539768.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,20.9
2012-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121520.0,2566502.4,0.0,2.54,0.0,0.0,0.0,0.0,0.0,21.12
