DATE,ALLEX FP Equity_DX_SI_QTY,ALLEX FP Equity_DX_SHORT_INTEREST_VALUE,ALLEX FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALLEX FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALLEX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALLEX FP Equity_DX_SI_MV,ALLEX FP Equity_DX_DSS,ALLEX FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALLEX FP Equity_DX_SUPPLY_SI_QTY,ALLEX FP Equity_DX_BROKER_SI_QTY,ALLEX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALLEX FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALLEX FP Equity_DX_BROKER_SI_MV_INC_x,ALLEX FP Equity_DX_BROKER_SI_QTY_ADD,ALLEX FP Equity_DX_SUPPLY_SI_MV_DEC,ALLEX FP Equity_DX_BROKER_SI_QTY_INC,ALLEX FP Equity_DX_SUPPLY_SI_QTY_DEC,ALLEX FP Equity_DX_BROKER_SI_MV_INC_y,ALLEX FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALLEX FP Equity_DX_BROKER_SI_MV_ADD,ALLEX FP Equity_DX_SUPPLY_SI_QTY_ADD,ALLEX FP Equity_DX_BROKER_SI_QTY_DEC,ALLEX FP Equity_DX_SUPPLY_SI_MV,ALLEX FP Equity_DX_BROKER_SI_MV_DEC,ALLEX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALLEX FP Equity_DX_UTILIZATION_QUANTITY,ALLEX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALLEX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALLEX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALLEX FP Equity_DX_ACTIVE_UTILIZATION_MV,ALLEX FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALLEX FP Equity_DX_BROKER_SI_CON_RATIO,ALLEX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALLEX FP Equity_DX_DEMAND_SUPPLY_RATIO,ALLEX FP Equity_PX_LAST
2006-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.98
2006-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.96
2006-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8
2006-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.62
2006-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.47
2006-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7
2006-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.61
2006-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3
2006-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3
2006-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.01
