DATE,ALEUP FP Equity_DX_SI_QTY,ALEUP FP Equity_DX_SHORT_INTEREST_VALUE,ALEUP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALEUP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALEUP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALEUP FP Equity_DX_SI_MV,ALEUP FP Equity_DX_DSS,ALEUP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALEUP FP Equity_DX_SUPPLY_SI_QTY,ALEUP FP Equity_DX_BROKER_SI_QTY,ALEUP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALEUP FP Equity_DX_BROKER_SI_MV_NEW_x,ALEUP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALEUP FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALEUP FP Equity_DX_BROKER_SI_MV_INC_x,ALEUP FP Equity_DX_SUPPLY_SI_MV_NEW,ALEUP FP Equity_DX_BROKER_SI_QTY_ADD,ALEUP FP Equity_DX_BROKER_SI_QTY_NEW,ALEUP FP Equity_DX_SUPPLY_SI_MV_DEC,ALEUP FP Equity_DX_BROKER_SI_QTY_INC,ALEUP FP Equity_DX_SUPPLY_SI_QTY_DEC,ALEUP FP Equity_DX_BROKER_SI_MV_NEW_y,ALEUP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALEUP FP Equity_DX_BROKER_SI_MV_INC_y,ALEUP FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALEUP FP Equity_DX_BROKER_SI_MV_ADD,ALEUP FP Equity_DX_SUPPLY_SI_QTY_ADD,ALEUP FP Equity_DX_BROKER_SI_QTY_DEC,ALEUP FP Equity_DX_SUPPLY_SI_MV,ALEUP FP Equity_DX_BROKER_SI_MV_DEC,ALEUP FP Equity_DX_SUPPLY_SI_MV_RMV,ALEUP FP Equity_DX_BROKER_SI_MV_RMV,ALEUP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALEUP FP Equity_DX_UTILIZATION_QUANTITY,ALEUP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALEUP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALEUP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALEUP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALEUP FP Equity_DX_ACTIVE_UTILIZATION_MV,ALEUP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALEUP FP Equity_DX_BROKER_SI_CON_RATIO,ALEUP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALEUP FP Equity_DX_DEMAND_SUPPLY_RATIO,ALEUP FP Equity_PX_LAST
2006-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,7.3
2006-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,7.3
2006-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,7.3
2006-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,6.75
2006-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,7.0
2006-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,7.0
2006-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,7.1
2006-07-12,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,3.45,0.0,0.0,0.0,0.0,7.0
2006-07-13,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,3.37,0.0,0.0,0.0,0.0,6.77
2006-07-14,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,3.28,0.0,0.0,0.0,0.0,6.6
