DATE,EIFF FP Equity_DX_SI_QTY,EIFF FP Equity_DX_SHORT_INTEREST_VALUE,EIFF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,EIFF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EIFF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EIFF FP Equity_DX_SI_MV,EIFF FP Equity_DX_DSS,EIFF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EIFF FP Equity_DX_SUPPLY_SI_QTY,EIFF FP Equity_DX_BROKER_SI_QTY,EIFF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EIFF FP Equity_DX_BROKER_SI_MV_NEW_x,EIFF FP Equity_DX_SUPPLY_SI_QTY_NEW_x,EIFF FP Equity_DX_SUPPLY_SI_QTY_INC_x,EIFF FP Equity_DX_BROKER_SI_MV_INC_x,EIFF FP Equity_DX_SUPPLY_SI_MV_NEW,EIFF FP Equity_DX_BROKER_SI_QTY_ADD,EIFF FP Equity_DX_BROKER_SI_QTY_NEW,EIFF FP Equity_DX_SUPPLY_SI_MV_DEC,EIFF FP Equity_DX_BROKER_SI_QTY_INC,EIFF FP Equity_DX_SUPPLY_SI_QTY_DEC,EIFF FP Equity_DX_BROKER_SI_MV_NEW_y,EIFF FP Equity_DX_SUPPLY_SI_QTY_NEW_y,EIFF FP Equity_DX_BROKER_SI_MV_INC_y,EIFF FP Equity_DX_SUPPLY_SI_QTY_INC_y,EIFF FP Equity_DX_BROKER_SI_MV_ADD,EIFF FP Equity_DX_SUPPLY_SI_QTY_ADD,EIFF FP Equity_DX_BROKER_SI_QTY_DEC,EIFF FP Equity_DX_SUPPLY_SI_MV,EIFF FP Equity_DX_BROKER_SI_MV_DEC,EIFF FP Equity_DX_SUPPLY_SI_MV_RMV,EIFF FP Equity_DX_BROKER_SI_MV_RMV,EIFF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EIFF FP Equity_DX_UTILIZATION_QUANTITY,EIFF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EIFF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EIFF FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,EIFF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EIFF FP Equity_DX_ACTIVE_UTILIZATION_MV,EIFF FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EIFF FP Equity_DX_BROKER_SI_CON_RATIO,EIFF FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EIFF FP Equity_DX_DEMAND_SUPPLY_RATIO,EIFF FP Equity_PX_LAST
2006-07-03,194272.0,8794794.63,4.0,13.71,3.74,18.01,1.0,7917814.1,49871.0,174900.0,2257686.15,0.0,0.0,0.0,0.0,0.0,4600.0,0.0,0.69,0.0,8129.0,0.0,0.0,0.0,0.0,0.42,0.0,2347.0,4.64,0.0,0.02,0.0,6.28,6.28,744764.0,33715854.21,224.0,69.14,6.29,15.34,0.5555,72.21,0.2445,94.0
2006-07-04,194882.0,8869337.36,4.01,13.5,3.75,18.3,1.0,7987692.04,49873.0,175510.0,2269786.14,0.0,0.0,3.0,0.21,0.0,0.0,0.0,0.0,610.0,0.0,0.0,0.0,0.21,3.0,0.0,0.0,0.0,4.67,0.0,0.0,0.0,6.29,6.29,742780.0,33804899.4,0.0,69.78,6.28,15.43,0.5562,72.25,0.2459,94.5
2006-07-05,194511.0,8711937.54,4.0,13.35,3.75,18.32,1.0,7834209.08,49596.0,174914.0,2221351.26,0.0,224.0,0.0,0.0,0.02,0.0,0.0,0.05,0.0,501.0,0.0,224.0,0.0,0.0,0.0,0.0,596.0,4.68,0.0,0.0,0.0,5.99,5.99,779039.0,34892315.13,0.0,73.44,5.99,15.41,0.555,72.17,0.2347,93.0
2006-07-06,165985.0,7498239.69,3.42,11.28,3.2,15.53,1.0,6623125.08,19372.0,146613.0,875114.61,0.0,0.0,0.0,0.07,0.0,0.0,0.0,2.83,1699.0,30000.0,0.0,0.0,0.07,0.0,0.0,0.0,30000.0,1.82,2.82,0.02,0.0,2.42,2.42,782524.0,35349896.16,224.0,72.95,2.43,11.69,0.7465,85.57,0.207,93.8
2006-07-07,163616.0,7367582.71,3.37,12.17,3.15,15.27,1.0,6495266.97,19372.0,144244.0,872315.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2369.0,1.81,0.26,0.0,0.0,2.39,2.39,790234.0,35584015.94,0.0,73.72,2.4,11.85,0.7486,85.67,0.2021,93.5
2006-07-10,174070.0,7880239.57,3.58,12.19,3.35,16.33,1.0,6550553.83,29372.0,144698.0,1329685.74,0.0,0.0,10000.0,0.11,0.0,0.0,0.0,0.0,454.0,0.0,0.0,0.0,0.11,10000.0,0.0,0.0,0.0,2.76,0.0,0.0,0.0,3.65,3.65,775085.0,35088501.67,0.0,72.8,3.65,16.9,0.6817,80.78,0.2164,94.0
2006-07-11,173620.0,7859867.83,3.57,11.58,3.35,16.29,1.0,6530182.1,29372.0,144248.0,1329685.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,2.76,0.04,0.0,0.0,3.65,3.65,775366.0,35101222.69,0.0,72.75,3.66,16.94,0.681,80.73,0.2157,94.0
2006-07-12,174198.0,7911202.39,3.58,12.05,3.36,16.39,1.0,6567100.01,29596.0,144602.0,1344102.38,0.0,224.0,7731.0,0.07,0.02,0.0,0.0,1.04,354.0,11033.0,0.0,224.0,0.07,7731.0,0.0,3302.0,0.0,2.79,0.0,0.0,0.0,3.54,3.54,805845.0,36597451.69,0.0,75.91,3.55,16.89,0.6798,80.67,0.2085,94.3
2006-07-13,179680.0,7831337.77,3.7,12.64,3.46,16.3,1.0,6547892.74,29447.0,150233.0,1283445.03,0.0,0.0,100.0,0.04,0.0,0.0,0.0,0.0,5631.0,25.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,2.67,0.0,0.02,0.0,3.61,3.61,786820.0,34293483.9,224.0,72.5,3.55,16.35,0.6887,81.33,0.2201,90.5
2006-07-14,169061.0,7388864.55,3.48,11.88,3.26,15.38,1.0,6291861.1,25100.0,143961.0,1097003.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,4347.0,0.0,0.0,0.0,0.0,0.0,0.0,6272.0,2.28,0.53,0.0,0.0,3.17,3.17,767104.0,33526523.26,0.0,69.79,3.16,14.81,0.7069,82.73,0.2134,90.75
2006-07-17,172390.0,7347557.24,3.55,11.97,3.32,15.35,1.0,6282014.4,25000.0,147390.0,1065542.85,0.0,0.0,2800.0,0.04,0.0,0.0,0.0,0.3,3430.0,2900.0,0.0,0.0,0.04,2800.0,0.0,0.0,0.0,2.21,0.0,0.0,0.0,3.13,3.13,774020.0,32990058.92,0.0,69.57,3.08,14.41,0.7123,83.12,0.2158,88.5
