DATE,STT FP Equity_DX_SI_QTY,STT FP Equity_DX_SHORT_INTEREST_VALUE,STT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,STT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,STT FP Equity_DX_SI_MV,STT FP Equity_DX_DSS,STT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,STT FP Equity_DX_SUPPLY_SI_QTY,STT FP Equity_DX_BROKER_SI_QTY,STT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,STT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,STT FP Equity_DX_SUPPLY_SI_QTY_INC_x,STT FP Equity_DX_BROKER_SI_MV_INC_x,STT FP Equity_DX_SUPPLY_SI_MV_NEW,STT FP Equity_DX_BROKER_SI_QTY_ADD,STT FP Equity_DX_SUPPLY_SI_MV_DEC,STT FP Equity_DX_BROKER_SI_QTY_INC,STT FP Equity_DX_SUPPLY_SI_QTY_DEC,STT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,STT FP Equity_DX_BROKER_SI_MV_INC_y,STT FP Equity_DX_SUPPLY_SI_QTY_INC_y,STT FP Equity_DX_BROKER_SI_MV_ADD,STT FP Equity_DX_SUPPLY_SI_QTY_ADD,STT FP Equity_DX_BROKER_SI_QTY_DEC,STT FP Equity_DX_SUPPLY_SI_MV,STT FP Equity_DX_BROKER_SI_MV_DEC,STT FP Equity_DX_SUPPLY_SI_MV_RMV,STT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,STT FP Equity_DX_UTILIZATION_QUANTITY,STT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,STT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,STT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,STT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,STT FP Equity_DX_ACTIVE_UTILIZATION_MV,STT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,STT FP Equity_DX_BROKER_SI_CON_RATIO,STT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,STT FP Equity_DX_DEMAND_SUPPLY_RATIO,STT FP Equity_PX_LAST
2006-07-03,400.0,14360.0,0.03,0.0,0.01,0.0,14360.0,402.0,400.0,14431.8,0.0,402.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,402.0,0.0,0.0,0.0,0.01,0.0,0.0,50.77,50.77,390.0,14001.0,0.0,0.01,50.77,0.0,1.0,100.0,0.5051,35.9
2006-07-04,400.0,14392.0,0.03,0.0,0.01,0.0,14392.0,399.0,400.0,14356.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,50.56,50.56,390.0,14032.2,0.0,0.01,50.56,0.0,1.0,100.0,0.507,35.98
2006-07-05,400.0,14568.0,0.03,0.0,0.01,0.0,14568.0,400.0,400.0,14568.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01,0.0,0.0,50.0,50.0,400.0,14568.0,0.0,0.01,50.0,0.0,1.0,100.0,0.5,36.42
2006-07-06,400.0,14360.0,0.03,0.0,0.01,0.0,14360.0,399.0,400.0,14324.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,50.67,50.67,389.0,13965.1,0.0,0.01,50.67,0.0,1.0,100.0,0.5076,35.9
2006-07-07,400.0,14344.0,0.03,0.0,0.01,0.0,14344.0,399.0,400.0,14308.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,49.87,49.87,401.0,14379.86,0.0,0.01,49.87,0.0,1.0,100.0,0.5,35.86
2006-07-10,400.0,14532.0,0.03,0.0,0.01,0.0,14532.0,401.0,400.0,14568.33,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.01,0.0,0.0,49.99,49.99,401.0,14568.33,0.0,0.01,49.99,0.0,1.0,100.0,0.4981,36.33
2006-07-11,400.0,14532.0,0.03,0.0,0.01,0.0,14532.0,401.0,400.0,14568.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,50.87,50.87,387.0,14059.71,0.0,0.01,50.87,0.0,1.0,100.0,0.5076,0.0
2006-07-12,400.0,14324.0,0.03,0.0,0.01,0.0,14324.0,395.0,400.0,14144.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,50.07,50.07,394.0,14109.14,0.0,0.01,50.07,0.0,1.0,100.0,0.507,35.81
2006-07-13,400.0,13984.0,0.03,0.0,0.01,0.0,13984.0,401.0,400.0,14018.96,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.01,0.0,0.0,50.06,50.06,400.0,13984.0,0.0,0.01,50.06,0.0,1.0,100.0,0.5,34.96
2006-07-14,400.0,13984.0,0.03,0.0,0.01,0.0,13984.0,400.0,400.0,13984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,49.8,49.8,403.0,14088.88,0.0,0.01,49.8,0.0,1.0,100.0,0.4988,0.0
2006-07-17,400.0,13756.0,0.03,0.0,0.01,0.0,13756.0,389.0,400.0,13377.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,48.67,48.67,411.0,14134.29,0.0,0.01,48.67,0.0,1.0,100.0,0.5,34.39
2006-07-18,400.0,13728.0,0.02,0.0,0.01,0.0,13728.0,399.0,400.0,13693.68,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.01,0.0,0.0,50.41,50.41,392.0,13453.44,0.0,0.01,50.41,0.0,1.0,100.0,0.5057,34.32
2006-07-19,400.0,13916.0,0.02,0.0,0.01,0.0,13916.0,401.0,400.0,13950.79,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.01,0.0,0.0,50.07,50.07,400.0,13916.0,0.0,0.01,50.07,0.0,1.0,100.0,0.5,34.79
2006-07-20,400.0,14040.0,0.03,0.0,0.01,0.0,14040.0,406.0,400.0,14250.6,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.01,0.0,0.0,50.67,50.67,395.0,13864.5,0.0,0.01,50.67,0.0,1.0,100.0,0.4994,35.1
2006-07-21,400.0,14032.0,0.03,0.0,0.01,0.0,14032.0,410.0,400.0,14382.8,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.01,0.0,0.0,50.09,50.09,408.0,14312.64,0.0,0.01,50.09,0.0,1.0,100.0,0.489,35.08
2006-07-24,400.0,14272.0,0.03,0.0,0.01,0.0,14272.0,401.0,400.0,14307.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,50.24,50.24,397.0,14164.96,0.0,0.01,50.24,0.0,1.0,100.0,0.5013,35.68
2006-07-25,400.0,14420.0,0.03,0.0,0.01,0.0,14420.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.0,28335.3,0.0,0.03,0.0,0.0,1.0,100.0,0.5089,36.05
