DATE,ALUCI FP Equity_DX_SI_QTY,ALUCI FP Equity_DX_SHORT_INTEREST_VALUE,ALUCI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALUCI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALUCI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALUCI FP Equity_DX_SI_MV,ALUCI FP Equity_DX_DSS,ALUCI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALUCI FP Equity_DX_SUPPLY_SI_QTY,ALUCI FP Equity_DX_BROKER_SI_QTY,ALUCI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALUCI FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALUCI FP Equity_DX_BROKER_SI_MV_INC_x,ALUCI FP Equity_DX_BROKER_SI_QTY_ADD,ALUCI FP Equity_DX_SUPPLY_SI_MV_DEC,ALUCI FP Equity_DX_BROKER_SI_QTY_INC,ALUCI FP Equity_DX_SUPPLY_SI_QTY_DEC,ALUCI FP Equity_DX_BROKER_SI_MV_INC_y,ALUCI FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALUCI FP Equity_DX_BROKER_SI_MV_ADD,ALUCI FP Equity_DX_SUPPLY_SI_QTY_ADD,ALUCI FP Equity_DX_BROKER_SI_QTY_DEC,ALUCI FP Equity_DX_SUPPLY_SI_MV,ALUCI FP Equity_DX_BROKER_SI_MV_DEC,ALUCI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALUCI FP Equity_DX_UTILIZATION_QUANTITY,ALUCI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALUCI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALUCI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALUCI FP Equity_DX_ACTIVE_UTILIZATION_MV,ALUCI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALUCI FP Equity_DX_BROKER_SI_CON_RATIO,ALUCI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALUCI FP Equity_DX_DEMAND_SUPPLY_RATIO,ALUCI FP Equity_PX_LAST
2014-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
2014-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4
2014-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.95
2014-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.12
2014-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.15
2014-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2
2014-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7
2014-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4
2014-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2014-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.11
2014-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25
2014-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.06
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1
2014-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.11
2014-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.51
