DATE,SPEUS FP Equity_DX_SI_QTY,SPEUS FP Equity_DX_SHORT_INTEREST_VALUE,SPEUS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SPEUS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SPEUS FP Equity_DX_SI_MV,SPEUS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SPEUS FP Equity_DX_SUPPLY_SI_QTY,SPEUS FP Equity_DX_BROKER_SI_QTY,SPEUS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SPEUS FP Equity_DX_SUPPLY_SI_MV,SPEUS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SPEUS FP Equity_DX_UTILIZATION_QUANTITY,SPEUS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SPEUS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SPEUS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SPEUS FP Equity_DX_ACTIVE_UTILIZATION_MV,SPEUS FP Equity_DX_BROKER_SI_CON_RATIO,SPEUS FP Equity_DX_DEMAND_SUPPLY_RATIO,SPEUS FP Equity_PX_LAST
2023-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5793
2023-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8112
2023-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8638
2023-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9011
2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0279
2023-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0557
2023-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0598
2023-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0559
2023-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8971
2023-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9706
