DATE,ADUX FP Equity_DX_SI_QTY,ADUX FP Equity_DX_SHORT_INTEREST_VALUE,ADUX FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ADUX FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ADUX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ADUX FP Equity_DX_SI_MV,ADUX FP Equity_DX_DSS,ADUX FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ADUX FP Equity_DX_SUPPLY_SI_QTY,ADUX FP Equity_DX_BROKER_SI_QTY,ADUX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ADUX FP Equity_DX_BROKER_SI_MV_NEW_x,ADUX FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ADUX FP Equity_DX_SUPPLY_SI_QTY_INC_x,ADUX FP Equity_DX_BROKER_SI_MV_INC_x,ADUX FP Equity_DX_SUPPLY_SI_MV_NEW,ADUX FP Equity_DX_BROKER_SI_QTY_ADD,ADUX FP Equity_DX_BROKER_SI_QTY_NEW,ADUX FP Equity_DX_SUPPLY_SI_MV_DEC,ADUX FP Equity_DX_BROKER_SI_QTY_INC,ADUX FP Equity_DX_SUPPLY_SI_QTY_DEC,ADUX FP Equity_DX_BROKER_SI_MV_NEW_y,ADUX FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ADUX FP Equity_DX_BROKER_SI_MV_INC_y,ADUX FP Equity_DX_SUPPLY_SI_QTY_INC_y,ADUX FP Equity_DX_BROKER_SI_MV_ADD,ADUX FP Equity_DX_SUPPLY_SI_QTY_ADD,ADUX FP Equity_DX_BROKER_SI_QTY_DEC,ADUX FP Equity_DX_SUPPLY_SI_MV,ADUX FP Equity_DX_BROKER_SI_MV_DEC,ADUX FP Equity_DX_SUPPLY_SI_MV_RMV,ADUX FP Equity_DX_BROKER_SI_MV_RMV,ADUX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ADUX FP Equity_DX_UTILIZATION_QUANTITY,ADUX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ADUX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ADUX FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ADUX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ADUX FP Equity_DX_ACTIVE_UTILIZATION_MV,ADUX FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ADUX FP Equity_DX_BROKER_SI_CON_RATIO,ADUX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ADUX FP Equity_DX_DEMAND_SUPPLY_RATIO,ADUX FP Equity_PX_LAST
2006-07-03,82487.0,594475.3,0.35,0.22,0.31,0.66,0.0,302574.36,58821.0,41984.0,423916.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0,0.0,0.0,0.0,0.0,0.0,0.0,27366.0,0.46,0.19,0.12,0.0,18.96,5.61,251435.0,1812066.11,17016.0,0.0,591.18,22.53,0.3094,47.27,0.0787,7.31
2006-07-04,81250.0,632020.7,0.34,0.23,0.3,0.66,0.0,322661.15,57646.0,41480.0,448411.88,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1184.0,0.0,0.0,0.0,8.0,0.0,0.0,504.0,0.47,0.0,0.0,0.0,19.04,5.54,245122.0,1906734.49,0.0,0.0,554.94,22.32,0.312,47.73,0.078,7.89
2006-07-05,102263.0,749097.37,0.43,0.3,0.38,0.8,0.0,310998.87,82720.0,42456.0,605940.9,0.0,17016.0,8058.0,0.0,0.13,0.0,0.0,0.0,976.0,0.0,0.0,17016.0,0.0,8058.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,21.8,7.23,296783.0,2173996.11,0.0,0.0,308.55,18.54,0.2627,43.18,0.0894,7.43
2006-07-06,87777.0,652503.74,0.37,0.27,0.33,0.7,0.0,322293.45,62975.0,43356.0,468134.29,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,969.0,2729.0,0.0,0.0,0.01,0.0,0.0,0.0,69.0,0.5,0.0,0.13,0.0,17.95,5.78,287834.0,2139658.03,17016.0,0.0,626.79,22.76,0.3227,49.02,0.0806,7.54
2006-07-07,89308.0,659482.25,0.38,0.28,0.34,0.72,0.0,174603.15,65664.0,23645.0,484886.49,0.0,0.0,2688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2688.0,0.0,0.0,19711.0,0.52,0.16,0.0,0.0,18.65,6.02,286482.0,2115485.66,0.0,0.0,651.76,21.15,0.3089,48.36,0.0819,7.49
2006-07-10,87519.0,645408.79,0.37,0.29,0.33,0.7,0.0,177393.58,65934.0,24055.0,486230.22,0.0,0.0,279.0,0.0,0.0,2633.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,279.0,0.02,0.0,2223.0,0.52,0.02,0.0,0.0,6.04,6.04,1026415.0,7569296.48,0.0,7.81,6.25,21.7,0.3247,49.64,0.0801,7.48
2006-07-11,68841.0,485949.48,0.29,0.23,0.26,0.55,0.0,169804.55,47258.0,24055.0,333594.81,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.15,0.0,18727.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,4.28,4.28,1056467.0,7457613.75,0.0,8.04,4.42,18.08,0.4535,63.45,0.0624,7.16
2006-07-12,70895.0,515825.61,0.3,0.25,0.27,0.56,0.0,102735.84,59380.0,14120.0,432043.51,0.0,14561.0,0.0,0.0,0.11,0.0,0.0,0.02,0.0,2438.0,0.0,14561.0,0.0,0.0,0.0,0.0,9935.0,0.46,0.07,0.0,0.0,16.65,5.28,297289.0,2163047.87,0.0,0.0,245.84,19.02,0.4056,58.06,0.0631,7.38
2006-07-13,56015.0,388231.34,0.24,0.2,0.21,0.46,0.0,97863.55,44277.0,14120.0,306877.07,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,563.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.35,0.0,0.11,0.0,4.12,4.12,1030902.0,7145023.07,14561.0,7.86,4.25,21.77,0.5617,71.55,0.0521,7.03
2006-07-14,56525.0,379505.97,0.24,0.2,0.21,0.45,0.0,94800.96,44874.0,14120.0,301281.75,0.0,0.0,597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,4.15,4.15,1035777.0,6954153.99,0.0,7.82,4.25,21.95,0.5631,71.6,0.0523,6.81
