DATE,ACAN FP Equity_DX_SI_QTY,ACAN FP Equity_DX_SHORT_INTEREST_VALUE,ACAN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ACAN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ACAN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ACAN FP Equity_DX_SI_MV,ACAN FP Equity_DX_DSS,ACAN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ACAN FP Equity_DX_SUPPLY_SI_QTY,ACAN FP Equity_DX_BROKER_SI_QTY,ACAN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ACAN FP Equity_DX_BROKER_SI_MV_NEW_x,ACAN FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ACAN FP Equity_DX_SUPPLY_SI_QTY_INC_x,ACAN FP Equity_DX_BROKER_SI_MV_INC_x,ACAN FP Equity_DX_SUPPLY_SI_MV_NEW,ACAN FP Equity_DX_BROKER_SI_QTY_ADD,ACAN FP Equity_DX_BROKER_SI_QTY_NEW,ACAN FP Equity_DX_SUPPLY_SI_MV_DEC,ACAN FP Equity_DX_BROKER_SI_QTY_INC,ACAN FP Equity_DX_SUPPLY_SI_QTY_DEC,ACAN FP Equity_DX_BROKER_SI_MV_NEW_y,ACAN FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ACAN FP Equity_DX_BROKER_SI_MV_INC_y,ACAN FP Equity_DX_SUPPLY_SI_QTY_INC_y,ACAN FP Equity_DX_BROKER_SI_MV_ADD,ACAN FP Equity_DX_SUPPLY_SI_QTY_ADD,ACAN FP Equity_DX_BROKER_SI_QTY_DEC,ACAN FP Equity_DX_SUPPLY_SI_MV,ACAN FP Equity_DX_BROKER_SI_MV_DEC,ACAN FP Equity_DX_SUPPLY_SI_MV_RMV,ACAN FP Equity_DX_BROKER_SI_MV_RMV,ACAN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ACAN FP Equity_DX_UTILIZATION_QUANTITY,ACAN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ACAN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ACAN FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ACAN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ACAN FP Equity_DX_ACTIVE_UTILIZATION_MV,ACAN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ACAN FP Equity_DX_BROKER_SI_CON_RATIO,ACAN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ACAN FP Equity_DX_DEMAND_SUPPLY_RATIO,ACAN FP Equity_PX_LAST
2006-07-03,1451155.0,195482.0,6.12,5.32,1.82,6.16,1.0,181749.74,102849.0,1349214.0,13854.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,4393.0,0.0,0.0,0.0,0.0,0.0,0.0,26051.0,0.44,0.0,0.03,0.0,16.88,16.88,506535.0,68234.25,6731.0,2.15,16.88,1.49,0.9656,98.25,2.3813,3.87
2006-07-04,1446149.0,197324.54,6.09,5.37,1.81,6.13,1.0,183206.65,104379.0,1342682.0,14242.33,0.0,0.0,1531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1531.0,0.0,0.0,6532.0,0.44,0.03,0.0,0.0,17.02,17.02,508993.0,69451.22,0.0,2.16,17.02,1.49,0.9654,98.24,2.3577,3.92
2006-07-05,1487846.0,198870.88,6.27,5.42,1.87,6.17,1.0,183566.8,115442.0,1373349.0,15430.4,0.0,6731.0,4332.0,0.0,0.03,0.0,0.0,0.0,30667.0,0.0,0.0,6731.0,0.0,4332.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,13.8,13.8,720907.0,96359.04,0.0,2.98,13.77,1.49,0.9566,97.79,1.779,3.84
2006-07-06,1462375.0,194957.31,6.16,5.29,1.83,6.2,1.0,181337.0,103071.0,1360209.0,13740.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,5640.0,0.0,0.0,0.0,0.0,0.0,0.0,13140.0,0.44,0.0,0.03,0.0,12.97,12.97,691420.0,92177.03,6731.0,2.93,12.97,1.47,0.9659,98.27,1.8406,3.83
2006-07-07,1435188.0,191332.86,6.05,5.18,1.8,6.08,1.0,177712.95,103066.0,1333025.0,13740.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,27184.0,0.44,0.12,0.0,0.0,12.94,12.94,693224.0,92417.53,0.0,2.94,12.94,1.5,0.9652,98.23,1.8023,3.83
2006-07-10,1432834.0,192515.27,6.04,5.15,1.8,6.07,1.0,178645.98,104129.0,1329609.0,13990.75,0.0,0.0,1063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.0,0.0,0.0,3417.0,0.44,0.01,0.0,0.0,13.05,13.05,693916.0,93234.4,0.0,2.94,13.05,1.51,0.965,98.22,1.7954,3.86
2006-07-11,1432500.0,193467.65,6.04,5.11,1.8,6.07,1.0,179574.31,103782.0,1329629.0,14016.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,12.97,12.97,696526.0,94069.98,0.0,2.95,12.97,1.51,0.9651,98.23,1.7899,3.88
2006-07-12,1480558.0,199958.17,6.24,5.26,1.86,6.15,1.0,184670.64,113193.0,1367364.0,15287.39,0.0,6731.0,2681.0,0.04,0.03,0.0,0.0,0.0,37736.0,0.0,0.0,6731.0,0.04,2681.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,13.82,13.63,706079.0,95360.17,0.0,0.0,1794.99,1.49,0.9565,97.79,1.7829,3.88
2006-07-13,1442793.0,193853.36,6.08,5.15,1.81,6.15,1.0,179950.75,103473.0,1339320.0,13902.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2990.0,0.0,0.0,0.0,0.0,0.0,0.0,28044.0,0.44,0.0,0.03,0.0,13.04,13.04,690254.0,92742.38,6731.0,2.94,13.04,1.49,0.9667,98.31,1.8177,3.86
2006-07-14,1435672.0,192896.58,6.05,5.13,1.8,6.12,1.0,179037.1,103152.0,1332520.0,13859.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,6801.0,0.44,0.03,0.0,0.0,13.01,13.01,689623.0,92657.6,0.0,2.94,13.01,1.5,0.9666,98.3,1.8109,3.86
