DATE,ALPCV FP Equity_DX_SI_QTY,ALPCV FP Equity_DX_SHORT_INTEREST_VALUE,ALPCV FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALPCV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALPCV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALPCV FP Equity_DX_SI_MV,ALPCV FP Equity_DX_DSS,ALPCV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALPCV FP Equity_DX_SUPPLY_SI_QTY,ALPCV FP Equity_DX_BROKER_SI_QTY,ALPCV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALPCV FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALPCV FP Equity_DX_BROKER_SI_MV_INC_x,ALPCV FP Equity_DX_BROKER_SI_QTY_ADD,ALPCV FP Equity_DX_SUPPLY_SI_MV_DEC,ALPCV FP Equity_DX_BROKER_SI_QTY_INC,ALPCV FP Equity_DX_SUPPLY_SI_QTY_DEC,ALPCV FP Equity_DX_BROKER_SI_MV_INC_y,ALPCV FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALPCV FP Equity_DX_BROKER_SI_MV_ADD,ALPCV FP Equity_DX_SUPPLY_SI_QTY_ADD,ALPCV FP Equity_DX_BROKER_SI_QTY_DEC,ALPCV FP Equity_DX_SUPPLY_SI_MV,ALPCV FP Equity_DX_BROKER_SI_MV_DEC,ALPCV FP Equity_DX_SUPPLY_SI_MV_RMV,ALPCV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALPCV FP Equity_DX_UTILIZATION_QUANTITY,ALPCV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALPCV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALPCV FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALPCV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALPCV FP Equity_DX_ACTIVE_UTILIZATION_MV,ALPCV FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALPCV FP Equity_DX_BROKER_SI_CON_RATIO,ALPCV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALPCV FP Equity_DX_DEMAND_SUPPLY_RATIO,ALPCV FP Equity_PX_LAST
2016-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6
2016-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.65
2016-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.69
2016-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.67
2016-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6
2016-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4
2016-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.27
2016-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.58
2016-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6
2016-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6
2016-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6
2016-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6
2016-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6
2016-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6
2016-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6
