DATE,SU FP Equity_DX_SI_QTY,SU FP Equity_DX_SHORT_INTEREST_VALUE,SU FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SU FP Equity_DX_SI_MV,SU FP Equity_DX_DSS,SU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SU FP Equity_DX_SUPPLY_SI_QTY,SU FP Equity_DX_BROKER_SI_QTY,SU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SU FP Equity_DX_BROKER_SI_MV_NEW_x,SU FP Equity_DX_SUPPLY_SI_QTY_NEW_x,SU FP Equity_DX_SUPPLY_SI_QTY_INC_x,SU FP Equity_DX_BROKER_SI_MV_INC_x,SU FP Equity_DX_SUPPLY_SI_MV_NEW,SU FP Equity_DX_BROKER_SI_QTY_ADD,SU FP Equity_DX_BROKER_SI_QTY_NEW,SU FP Equity_DX_SUPPLY_SI_MV_DEC,SU FP Equity_DX_BROKER_SI_QTY_INC,SU FP Equity_DX_SUPPLY_SI_QTY_DEC,SU FP Equity_DX_BROKER_SI_MV_NEW_y,SU FP Equity_DX_SUPPLY_SI_QTY_NEW_y,SU FP Equity_DX_BROKER_SI_MV_INC_y,SU FP Equity_DX_SUPPLY_SI_QTY_INC_y,SU FP Equity_DX_BROKER_SI_MV_ADD,SU FP Equity_DX_SUPPLY_SI_QTY_ADD,SU FP Equity_DX_BROKER_SI_QTY_DEC,SU FP Equity_DX_SUPPLY_SI_MV,SU FP Equity_DX_BROKER_SI_MV_DEC,SU FP Equity_DX_SUPPLY_SI_MV_RMV,SU FP Equity_DX_BROKER_SI_MV_RMV,SU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SU FP Equity_DX_UTILIZATION_QUANTITY,SU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SU FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,SU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SU FP Equity_DX_ACTIVE_UTILIZATION_MV,SU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SU FP Equity_DX_BROKER_SI_CON_RATIO,SU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SU FP Equity_DX_DEMAND_SUPPLY_RATIO,SU FP Equity_PX_LAST
2006-07-03,15515700.0,867390322.89,7.09,15.47,6.86,1295.71,2.0,346603598.27,10751215.0,6199974.0,601036359.96,0.0,84606.0,127657.0,0.0,7.05,0.0,0.0,193.5,2833.0,2541551.0,0.0,84606.0,0.0,127657.0,0.0,0.0,2943196.0,896.53,221.93,1.84,0.0,26.61,26.61,29654576.0,1657810620.97,24159.0,2407.56,27.13,15.31,0.0988,16.36,0.384,81.35
2006-07-04,15459948.0,863742353.96,7.06,15.73,6.83,1290.75,2.0,345381000.82,10713837.0,6181904.0,598578649.18,0.0,0.0,2044.0,0.0,0.0,0.0,0.0,5.83,0.0,71149.0,0.0,0.0,0.0,2044.0,0.0,31728.0,18071.0,893.08,1.54,0.0,0.0,26.65,26.65,29489064.0,1647544581.35,0.0,2399.87,27.12,15.37,0.0993,16.39,0.3845,81.3
2006-07-05,15213443.0,844220092.49,6.95,16.06,6.73,1249.83,2.0,338934258.91,10416233.0,6107835.0,578014666.81,0.0,24159.0,148224.0,4.75,1.95,0.0,0.0,52.69,91057.0,469986.0,0.0,24159.0,4.75,148224.0,0.0,0.0,165126.0,850.37,13.67,0.0,0.0,25.44,25.44,30530128.0,1694169260.96,0.0,2505.05,25.34,15.95,0.1036,16.95,0.3715,80.75
2006-07-06,14828919.0,822882195.03,6.77,16.01,6.56,1207.92,2.0,339933720.24,10007630.0,6125846.0,555340584.26,0.0,3967.0,2506.0,0.0,0.32,0.0,0.0,29.14,18121.0,317806.0,0.0,3967.0,0.0,2506.0,0.0,12892.0,110.0,810.39,0.1,9.01,0.0,24.51,24.51,30824318.0,1710494369.55,110162.0,2512.55,24.39,16.27,0.1061,17.51,0.3632,80.75
2006-07-07,14670135.0,810542516.93,6.7,15.8,6.49,1195.05,2.0,337472763.42,9868027.0,6107972.0,545220302.45,0.0,0.0,58186.0,0.0,0.0,0.0,0.0,16.13,0.0,197789.0,0.0,0.0,0.0,58186.0,0.0,0.0,17874.0,798.9,1.45,0.0,0.0,24.19,24.19,30925512.0,1708671551.68,0.0,2519.73,24.07,16.47,0.1079,17.59,0.3596,80.4
2006-07-10,14690514.0,822268629.14,6.71,16.05,6.49,1198.97,2.0,340321831.28,9794208.0,6080133.0,548208863.6,0.0,0.0,12529.0,0.1,0.0,0.0,0.0,6.93,958.0,86349.0,0.0,0.0,0.1,12529.0,0.0,0.0,28797.0,794.24,1.88,0.0,0.0,23.95,23.95,31108208.0,1741212291.64,0.0,2543.38,23.8,16.48,0.1075,17.55,0.3592,81.45
2006-07-11,14472929.0,784727868.63,6.61,15.7,6.4,1183.68,2.0,316471083.78,9793939.0,5836754.0,531031201.56,0.0,0.0,2562.0,0.0,0.0,0.0,0.0,2.26,0.0,28520.0,0.0,0.0,0.0,2562.0,0.0,25689.0,243378.0,795.73,18.99,0.0,0.0,24.11,24.11,30821060.0,1671129922.81,0.0,2511.73,24.06,16.71,0.1091,17.71,0.3563,78.9
2006-07-12,14638607.0,804776673.83,6.69,16.17,6.47,1173.43,2.0,333156690.56,9764020.0,6060004.0,536789842.01,0.0,24159.0,11379.0,13.83,1.93,0.0,0.0,13.5,229448.0,84134.0,0.0,24159.0,13.83,11379.0,0.0,18677.0,6198.0,777.15,0.47,0.0,0.0,23.78,23.78,31303812.0,1720968238.26,0.0,2514.14,23.61,16.53,0.1092,18.04,0.3564,80.0
2006-07-13,14298856.0,767919889.87,6.53,15.98,6.32,1153.7,2.0,307854284.21,9843998.0,5732322.0,528671794.44,0.0,0.0,93805.0,0.0,0.0,0.0,0.0,0.0,0.0,823.0,0.0,0.0,0.0,93805.0,0.0,11155.0,327682.0,788.14,23.58,1.93,0.0,24.19,24.19,30846158.0,1656592545.18,24159.0,2480.66,24.11,16.96,0.1113,18.07,0.3514,78.15
2006-07-14,14249673.0,746672897.7,6.51,16.06,6.3,1125.8,2.0,306396683.04,9681900.0,5847343.0,507324787.61,0.0,0.0,12473.0,7.56,0.0,0.0,0.0,15.83,153160.0,174571.0,0.0,0.0,7.56,12473.0,0.0,0.0,38139.0,757.86,2.89,0.0,0.0,23.65,23.65,31247932.0,1637369779.18,0.0,2464.55,23.52,17.06,0.1135,18.77,0.3481,76.25
2006-07-17,14228708.0,718684779.77,6.5,16.13,6.29,1100.77,2.0,294993401.06,9887218.0,5840356.0,499398335.45,0.0,0.0,190756.0,0.0,0.0,0.0,0.0,3.85,1199.0,44894.0,0.0,0.0,0.0,190756.0,0.0,59457.0,8186.0,756.78,4.61,0.0,0.0,24.13,24.13,31081430.0,1569907167.57,0.0,2398.46,23.98,17.16,0.1137,18.75,0.3473,73.5
2006-07-18,14049445.0,712526747.32,6.42,15.38,6.21,1054.49,2.0,290737307.36,9935310.0,5732694.0,503875713.09,0.0,0.0,33561.0,0.0,0.0,0.0,0.0,17.41,325.0,113006.0,0.0,0.0,0.0,33561.0,0.0,127538.0,107987.0,738.69,13.65,0.0,0.0,24.13,24.13,31246234.0,1584673094.05,0.0,2361.84,23.82,17.22,0.1127,18.19,0.3412,73.8
2006-07-19,14204554.0,732106911.79,6.49,15.43,6.28,1064.56,2.0,320620169.94,9834281.0,6220767.0,506861749.59,0.0,24159.0,5869.0,39.44,1.81,0.0,0.0,23.92,528831.0,315320.0,0.0,24159.0,39.44,5869.0,0.0,184263.0,40759.0,731.6,3.77,0.0,0.0,23.97,23.97,31187412.0,1607408432.97,0.0,2338.42,23.83,17.0,0.1237,21.77,0.3463,75.0
2006-07-20,14101662.0,736010009.52,6.44,15.29,6.23,1073.93,2.0,322191328.46,9779469.0,6173059.0,510421188.07,0.0,0.0,17231.0,3.43,0.0,0.0,0.0,3.11,454.0,47884.0,0.0,0.0,3.43,17231.0,0.0,0.0,48162.0,739.45,3.38,1.81,0.0,24.01,24.01,30947192.0,1615231103.85,24159.0,2355.3,23.89,17.16,0.1254,21.93,0.3463,75.95
2006-07-21,13982313.0,719211239.87,6.39,15.68,6.18,1072.41,2.0,318358657.32,9647270.0,6189267.0,496228701.08,0.0,0.0,12460.0,2.87,0.0,0.0,0.0,10.83,16207.0,144659.0,0.0,0.0,2.87,12460.0,0.0,0.0,0.0,734.22,0.0,0.0,0.0,23.83,23.83,30844562.0,1586558366.94,0.0,2353.96,23.78,17.34,0.1282,22.24,0.3453,74.85
2006-07-24,13992683.0,728879679.35,6.39,15.96,6.19,1065.99,2.0,322260513.65,9661098.0,6186603.0,503247162.28,0.0,0.0,7078.0,5.13,0.0,0.0,0.0,0.16,67945.0,1090.0,0.0,0.0,5.13,7078.0,0.0,7840.0,70608.0,730.37,6.95,0.0,0.0,23.79,23.79,30942354.0,1611789037.3,0.0,2354.75,23.67,17.35,0.1282,22.07,0.3446,75.8
2006-07-25,13871560.0,722093745.63,6.34,15.89,6.13,1067.12,2.0,322344606.18,9536891.0,6192302.0,496449522.9,0.0,0.0,11405.0,2.71,0.0,0.0,0.0,9.89,7868.0,135611.0,0.0,0.0,2.71,11405.0,0.0,0.0,2170.0,728.05,0.07,0.0,0.0,23.59,23.59,30885856.0,1607784809.07,0.0,2366.37,23.53,17.52,0.1287,22.32,0.3432,75.75
2006-07-26,13402473.0,702280210.3,6.12,15.63,5.93,1024.9,2.0,316199596.58,9218382.0,6034424.0,483036768.63,0.0,37400.0,79839.0,0.58,2.86,0.0,0.0,32.17,24589.0,401272.0,0.0,37400.0,0.58,79839.0,0.0,0.0,182467.0,701.32,17.0,2.65,0.0,22.73,22.73,31329466.0,1641642103.75,34475.0,2399.09,22.62,16.26,0.1283,23.0,0.3305,76.25
2006-07-27,13556232.0,732695224.89,6.19,16.14,5.99,1049.39,2.0,326336252.02,9371922.0,6037831.0,506539169.4,0.0,0.0,168938.0,1.53,0.0,0.0,0.0,1.14,20000.0,18417.0,0.0,0.0,1.53,168938.0,0.0,6271.0,16593.0,721.79,0.0,0.25,0.0,23.1,23.1,31206166.0,1686649270.63,3253.0,2422.53,22.96,16.31,0.128,22.83,0.3341,78.65
2006-07-28,13348570.0,731561895.5,6.1,15.72,5.9,1061.87,2.0,347087511.55,9126312.0,6333192.0,500163096.55,0.0,0.0,111726.0,29.68,0.0,0.0,0.0,30.68,298614.0,507483.0,0.0,0.0,29.68,111726.0,0.0,150147.0,3254.0,722.92,0.0,0.0,0.0,22.65,22.65,31172736.0,1708406656.0,0.0,2475.68,22.6,16.54,0.1379,25.28,0.3312,79.75
2006-07-31,13267278.0,733944721.22,6.06,15.7,5.87,1069.05,2.0,349594991.6,8942075.0,6319514.0,494674849.13,0.0,0.0,26680.0,3.83,0.0,0.0,0.0,14.72,6322.0,210918.0,0.0,0.0,3.83,26680.0,0.0,0.0,20000.0,717.31,1.65,0.0,0.0,22.18,22.18,31365152.0,1735117613.48,0.0,2500.6,22.29,16.7,0.1392,25.45,0.3292,80.5
2006-08-01,13297242.0,728748889.39,6.07,15.65,5.88,1075.98,2.0,347133492.54,9024271.0,6334031.0,494570789.1,0.0,0.0,96078.0,12.45,0.0,0.0,0.0,1.08,141628.0,13883.0,0.0,0.0,12.45,96078.0,0.0,0.0,127111.0,726.65,9.55,0.0,0.0,22.47,22.47,31145072.0,1706890543.92,0.0,2488.08,22.6,16.69,0.1404,25.51,0.331,79.75
2006-08-02,12853013.0,712794143.94,5.87,15.24,5.68,1038.44,2.0,336966283.33,8769957.0,6076133.0,486358645.41,0.0,3253.0,5929.0,0.0,0.26,0.0,0.0,21.92,0.0,263496.0,0.0,3253.0,0.0,5929.0,0.0,0.0,257898.0,704.87,20.72,0.0,0.0,21.7,21.7,31647728.0,1755099383.1,0.0,2545.99,21.68,17.25,0.1411,24.74,0.318,80.7
2006-08-03,13016910.0,719199856.99,5.94,15.59,5.75,1059.85,2.0,343007607.32,8810333.0,6208148.0,486781443.03,0.0,0.0,114648.0,17.96,0.0,0.0,0.0,0.73,198491.0,11019.0,0.0,0.0,17.96,114648.0,0.0,0.0,66476.0,712.81,5.01,5.0,0.0,22.16,22.16,30949136.0,1709976805.96,63253.0,2503.82,22.16,17.06,0.1453,25.98,0.3274,80.4
