DATE,EEMK FP Equity_DX_SI_QTY,EEMK FP Equity_DX_SHORT_INTEREST_VALUE,EEMK FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EEMK FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EEMK FP Equity_DX_SI_MV,EEMK FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EEMK FP Equity_DX_SUPPLY_SI_QTY,EEMK FP Equity_DX_BROKER_SI_QTY,EEMK FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EEMK FP Equity_DX_BROKER_SI_QTY_ADD,EEMK FP Equity_DX_SUPPLY_SI_MV_DEC,EEMK FP Equity_DX_SUPPLY_SI_QTY_DEC,EEMK FP Equity_DX_BROKER_SI_MV_ADD,EEMK FP Equity_DX_SUPPLY_SI_QTY_ADD,EEMK FP Equity_DX_BROKER_SI_QTY_DEC,EEMK FP Equity_DX_SUPPLY_SI_MV,EEMK FP Equity_DX_BROKER_SI_MV_DEC,EEMK FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EEMK FP Equity_DX_UTILIZATION_QUANTITY,EEMK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EEMK FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EEMK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EEMK FP Equity_DX_ACTIVE_UTILIZATION_MV,EEMK FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EEMK FP Equity_DX_BROKER_SI_CON_RATIO,EEMK FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EEMK FP Equity_DX_DEMAND_SUPPLY_RATIO,EEMK FP Equity_PX_LAST
2016-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.81
2016-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.399
2016-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.36
2016-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.84
2016-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.89
2016-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.24
2016-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.55
2016-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.61
2016-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.57
2016-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.41
2016-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.72
2016-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.81
