DATE,AI FP Equity_DX_SI_QTY,AI FP Equity_DX_SHORT_INTEREST_VALUE,AI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,AI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AI FP Equity_DX_SI_MV,AI FP Equity_DX_DSS,AI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AI FP Equity_DX_SUPPLY_SI_QTY,AI FP Equity_DX_BROKER_SI_QTY,AI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AI FP Equity_DX_BROKER_SI_MV_NEW_x,AI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,AI FP Equity_DX_SUPPLY_SI_QTY_INC_x,AI FP Equity_DX_BROKER_SI_MV_INC_x,AI FP Equity_DX_SUPPLY_SI_MV_NEW,AI FP Equity_DX_BROKER_SI_QTY_ADD,AI FP Equity_DX_BROKER_SI_QTY_NEW,AI FP Equity_DX_SUPPLY_SI_MV_DEC,AI FP Equity_DX_BROKER_SI_QTY_INC,AI FP Equity_DX_SUPPLY_SI_QTY_DEC,AI FP Equity_DX_BROKER_SI_MV_NEW_y,AI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,AI FP Equity_DX_BROKER_SI_MV_INC_y,AI FP Equity_DX_SUPPLY_SI_QTY_INC_y,AI FP Equity_DX_BROKER_SI_MV_ADD,AI FP Equity_DX_SUPPLY_SI_QTY_ADD,AI FP Equity_DX_BROKER_SI_QTY_DEC,AI FP Equity_DX_SUPPLY_SI_MV,AI FP Equity_DX_BROKER_SI_MV_DEC,AI FP Equity_DX_SUPPLY_SI_MV_RMV,AI FP Equity_DX_BROKER_SI_MV_RMV,AI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AI FP Equity_DX_UTILIZATION_QUANTITY,AI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,AI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AI FP Equity_DX_ACTIVE_UTILIZATION_MV,AI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AI FP Equity_DX_BROKER_SI_CON_RATIO,AI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AI FP Equity_DX_DEMAND_SUPPLY_RATIO,AI FP Equity_PX_LAST
2006-07-03,9480944.0,1092699445.56,7.93,16.39,7.89,1447.42,2.0,749942925.74,4750242.0,6506974.0,547475736.56,0.0,22590.0,257058.0,82.88,3.45,0.0,0.0,23.04,461351.0,168238.0,0.0,22590.0,82.88,257058.0,0.0,6026.0,27608.0,722.39,5.48,0.44,0.0,36.06,36.06,8424510.0,970943126.14,3002.0,1279.1,36.09,15.56,0.1246,21.86,0.7196,152.5
2006-07-04,9357473.0,1077761951.01,7.83,17.52,7.79,1429.9,2.0,749125670.8,4641185.0,6504148.0,534555921.31,0.0,0.0,12797.0,2.22,0.0,0.0,0.0,18.21,12602.0,120804.0,0.0,0.0,2.22,12797.0,0.0,0.0,15428.0,706.6,2.34,0.16,0.0,35.2,35.2,8543287.0,983986773.48,1050.0,1300.66,35.2,15.76,0.1278,22.22,0.7097,152.4
2006-07-05,9274763.0,1053515911.01,7.76,18.22,7.72,1415.13,2.0,737502245.75,4575809.0,6492696.0,519763964.56,0.0,4002.0,29656.0,1.9,0.6,500.0,0.0,17.31,14297.0,116532.0,0.0,4002.0,1.9,29656.0,0.08,17498.0,26250.0,697.43,3.52,0.0,0.0,34.46,34.46,8704003.0,988683554.5,0.0,1329.32,34.41,15.71,0.1296,22.44,0.6984,150.3
2006-07-06,9517914.0,1093363727.38,7.96,19.38,7.92,1444.5,2.0,776519035.8,4542730.0,6759728.0,521842937.99,0.0,0.0,90965.0,43.16,0.0,0.0,0.0,21.68,296992.0,130941.0,0.0,0.0,43.16,90965.0,0.0,32533.0,29960.0,686.52,5.44,3.9,0.0,33.92,33.92,8849516.0,1016581973.66,25636.0,1345.11,33.79,16.95,0.1311,21.94,0.7107,152.0
2006-07-07,9364978.0,1066594430.17,7.84,19.14,7.79,1424.93,2.0,751048247.03,4541518.0,6594400.0,517241770.71,0.0,0.0,28055.0,59.09,0.0,0.0,0.0,4.3,384335.0,29267.0,0.0,0.0,59.09,28055.0,0.0,0.0,549662.0,689.14,82.19,0.0,0.0,33.92,33.92,8847947.0,1007708826.3,0.0,1348.45,33.82,16.61,0.1252,20.29,0.6994,150.7
2006-07-10,9396689.0,1074466993.65,7.86,19.43,7.82,1428.89,2.0,751632775.31,4597072.0,6573361.0,525653464.9,0.0,0.0,58495.0,3.7,0.0,0.0,0.0,0.49,28935.0,3161.0,0.0,0.0,3.7,58495.0,0.0,219.0,49975.0,696.69,7.61,0.0,0.0,34.24,34.24,8829416.0,1009602006.11,0.0,1345.28,34.12,16.76,0.125,20.14,0.6999,151.3
2006-07-11,9434449.0,1071654567.68,7.89,19.29,7.85,1432.52,2.0,747133047.1,4621476.0,6577482.0,524951257.34,0.0,0.0,39132.0,6.66,0.0,0.0,0.0,8.73,47624.0,58556.0,0.0,0.0,6.66,39132.0,0.0,50751.0,43502.0,699.6,6.45,1.05,0.0,34.52,34.52,8766870.0,995824587.08,6923.0,1333.52,34.41,17.07,0.1246,19.85,0.7047,150.3
2006-07-12,9298499.0,1063239431.03,7.78,19.48,7.74,1412.27,2.0,750147887.56,4520988.0,6560375.0,516953618.95,0.0,610.0,7494.0,17.73,0.09,0.0,0.0,17.17,116579.0,112460.0,0.0,610.0,17.73,7494.0,0.0,3868.0,133687.0,683.91,20.62,0.0,0.0,33.83,33.83,8841038.0,1010930926.9,0.0,1346.34,33.69,18.43,0.1259,18.83,0.6959,151.3
2006-07-13,9323410.0,1045653947.86,7.8,20.05,7.76,1412.07,2.0,737707093.24,4490206.0,6577650.0,503592744.57,0.0,0.0,10969.0,6.09,0.0,0.0,0.0,6.42,44689.0,41141.0,0.0,0.0,6.09,10969.0,0.0,0.0,27414.0,678.42,4.59,0.09,0.0,33.43,33.43,8941308.0,1002799834.96,610.0,1357.12,33.33,18.68,0.1253,18.7,0.6941,148.4
2006-07-14,8940678.0,989215307.87,7.48,19.05,7.44,1337.71,2.0,686381487.87,4493087.0,6203620.0,497124540.22,0.0,0.0,47885.0,6.45,0.0,0.0,0.0,10.95,62009.0,47500.0,0.0,0.0,6.45,47885.0,0.0,2496.0,436039.0,668.91,69.91,0.0,0.0,33.46,33.46,8934990.0,988585975.65,0.0,1339.91,33.3,17.31,0.1277,19.2,0.6658,146.4
2006-07-17,8701776.0,956863945.02,7.28,19.01,7.24,1294.03,2.0,659220135.55,4455568.0,5994986.0,489942785.68,0.0,0.0,32856.0,0.0,0.0,0.0,0.0,10.92,0.0,70375.0,0.0,0.0,0.0,32856.0,0.0,0.0,208634.0,658.62,33.56,0.0,0.0,33.21,33.21,8959130.0,985163083.46,0.0,1334.32,33.05,17.19,0.1273,19.6,0.6487,145.5
