DATE,AUB FP Equity_DX_SI_QTY,AUB FP Equity_DX_SHORT_INTEREST_VALUE,AUB FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,AUB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AUB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AUB FP Equity_DX_SI_MV,AUB FP Equity_DX_DSS,AUB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AUB FP Equity_DX_SUPPLY_SI_QTY,AUB FP Equity_DX_BROKER_SI_QTY,AUB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AUB FP Equity_DX_BROKER_SI_MV_NEW_x,AUB FP Equity_DX_SUPPLY_SI_QTY_NEW_x,AUB FP Equity_DX_SUPPLY_SI_QTY_INC_x,AUB FP Equity_DX_BROKER_SI_MV_INC_x,AUB FP Equity_DX_SUPPLY_SI_MV_NEW,AUB FP Equity_DX_BROKER_SI_QTY_ADD,AUB FP Equity_DX_BROKER_SI_QTY_NEW,AUB FP Equity_DX_SUPPLY_SI_MV_DEC,AUB FP Equity_DX_BROKER_SI_QTY_INC,AUB FP Equity_DX_SUPPLY_SI_QTY_DEC,AUB FP Equity_DX_BROKER_SI_MV_NEW_y,AUB FP Equity_DX_SUPPLY_SI_QTY_NEW_y,AUB FP Equity_DX_BROKER_SI_MV_INC_y,AUB FP Equity_DX_SUPPLY_SI_QTY_INC_y,AUB FP Equity_DX_BROKER_SI_MV_ADD,AUB FP Equity_DX_SUPPLY_SI_QTY_ADD,AUB FP Equity_DX_BROKER_SI_QTY_DEC,AUB FP Equity_DX_SUPPLY_SI_MV,AUB FP Equity_DX_BROKER_SI_MV_DEC,AUB FP Equity_DX_SUPPLY_SI_MV_RMV,AUB FP Equity_DX_BROKER_SI_MV_RMV,AUB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AUB FP Equity_DX_UTILIZATION_QUANTITY,AUB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AUB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AUB FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,AUB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AUB FP Equity_DX_ACTIVE_UTILIZATION_MV,AUB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AUB FP Equity_DX_BROKER_SI_CON_RATIO,AUB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AUB FP Equity_DX_DEMAND_SUPPLY_RATIO,AUB FP Equity_PX_LAST
2006-07-03,9000.0,44874.02,0.12,0.88,0.07,0.06,0.0,44874.02,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108828.0,542616.7,0.0,0.77,0.0,30.72,0.5744,69.28,0.0827,6.61
2006-07-04,9000.0,47657.44,0.12,0.96,0.07,0.06,0.0,47657.44,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109167.0,578068.81,0.0,0.77,0.0,30.77,0.574,69.23,0.0824,7.02
2006-07-05,9000.0,47182.22,0.12,0.93,0.07,0.07,0.0,47182.22,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118471.0,621080.52,0.0,0.86,0.0,32.38,0.5621,67.62,0.076,6.95
2006-07-06,9000.0,47521.66,0.12,1.01,0.07,0.06,0.0,47521.66,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118441.0,625390.32,0.0,0.85,0.0,32.16,0.5636,67.84,0.076,7.0
2006-07-07,9000.0,47521.66,0.12,1.0,0.07,0.07,0.0,47521.66,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118780.0,627180.3,0.0,0.86,0.0,32.32,0.5625,67.68,0.0758,7.0
2006-07-10,9000.0,46842.78,0.12,1.02,0.07,0.07,0.0,46842.78,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118870.0,618689.01,0.0,0.86,0.0,32.32,0.5625,67.68,0.0757,6.9
2006-07-11,9000.0,47114.33,0.12,1.04,0.07,0.06,0.0,47114.33,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119247.0,624249.18,0.0,0.86,0.0,32.0,0.5648,68.0,0.0755,6.94
2006-07-12,9000.0,50169.29,0.12,1.12,0.07,0.06,0.0,50169.29,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117587.0,655472.99,0.0,0.85,0.0,32.13,0.5639,67.87,0.0765,7.39
2006-07-13,9000.0,48404.2,0.12,0.93,0.07,0.07,0.0,48404.2,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116405.0,626054.6,0.0,0.86,0.0,33.51,0.5544,66.49,0.0773,7.13
2006-07-14,9000.0,48200.54,0.12,0.92,0.07,0.07,0.0,48200.54,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117450.0,629017.05,0.0,0.85,0.0,32.72,0.5597,67.28,0.0766,7.1
2006-07-17,19000.0,98317.03,0.26,1.94,0.15,0.14,0.0,98317.03,0.0,19000.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118556.0,613477.59,0.0,0.85,0.0,15.6,0.7367,84.4,0.1603,6.86
2006-07-18,19000.0,90291.15,0.26,1.98,0.15,0.14,0.0,90291.15,0.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118958.0,565308.16,0.0,0.85,0.0,15.15,0.7429,84.85,0.1597,6.3
2006-07-19,19000.0,96740.52,0.26,1.51,0.15,0.13,0.0,96740.52,0.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109141.0,555703.01,0.0,0.77,0.0,14.09,0.758,85.91,0.1741,6.75
2006-07-20,19000.0,98890.31,0.26,1.53,0.15,0.14,0.0,98890.31,0.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108675.0,565626.55,0.0,0.77,0.0,14.94,0.7458,85.06,0.1748,6.9
2006-07-21,19000.0,95020.69,0.26,1.67,0.15,0.14,0.0,95020.69,0.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108505.0,542643.15,0.0,0.78,0.0,15.22,0.7419,84.78,0.1751,6.63
2006-07-24,19000.0,99463.59,0.26,1.68,0.15,0.14,0.0,99463.59,0.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108881.0,569983.94,0.0,0.77,0.0,14.71,0.749,85.29,0.1745,6.94
2006-07-25,19000.0,100180.18,0.26,1.69,0.15,0.14,0.0,100180.18,0.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108345.0,571264.32,0.0,0.78,0.0,15.3,0.7409,84.7,0.1754,6.99
2006-07-26,19000.0,99463.59,0.26,1.8,0.15,0.14,0.0,99463.59,0.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118865.0,622249.44,0.0,0.85,0.0,15.39,0.7396,84.61,0.1598,6.94
2006-07-27,19000.0,101040.1,0.26,1.82,0.15,0.14,0.0,101040.1,0.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119234.0,634074.49,0.0,0.85,0.0,15.3,0.7409,84.7,0.1594,7.05
2006-07-28,19000.0,102329.97,0.26,1.74,0.15,0.14,0.0,102329.97,0.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118931.0,640537.16,0.0,0.85,0.0,15.5,0.738,84.5,0.1598,7.14
2006-07-31,19000.0,102903.25,0.26,1.73,0.15,0.14,0.0,102903.25,0.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118988.0,644434.32,0.0,0.86,0.0,15.67,0.7357,84.33,0.1597,7.18
