DATE,DIM FP Equity_DX_SI_QTY,DIM FP Equity_DX_SHORT_INTEREST_VALUE,DIM FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,DIM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,DIM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,DIM FP Equity_DX_SI_MV,DIM FP Equity_DX_DSS,DIM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,DIM FP Equity_DX_SUPPLY_SI_QTY,DIM FP Equity_DX_BROKER_SI_QTY,DIM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,DIM FP Equity_DX_BROKER_SI_MV_NEW_x,DIM FP Equity_DX_SUPPLY_SI_QTY_NEW_x,DIM FP Equity_DX_SUPPLY_SI_QTY_INC_x,DIM FP Equity_DX_BROKER_SI_MV_INC_x,DIM FP Equity_DX_SUPPLY_SI_MV_NEW,DIM FP Equity_DX_BROKER_SI_QTY_ADD,DIM FP Equity_DX_BROKER_SI_QTY_NEW,DIM FP Equity_DX_SUPPLY_SI_MV_DEC,DIM FP Equity_DX_BROKER_SI_QTY_INC,DIM FP Equity_DX_SUPPLY_SI_QTY_DEC,DIM FP Equity_DX_BROKER_SI_MV_NEW_y,DIM FP Equity_DX_SUPPLY_SI_QTY_NEW_y,DIM FP Equity_DX_BROKER_SI_MV_INC_y,DIM FP Equity_DX_SUPPLY_SI_QTY_INC_y,DIM FP Equity_DX_BROKER_SI_MV_ADD,DIM FP Equity_DX_SUPPLY_SI_QTY_ADD,DIM FP Equity_DX_BROKER_SI_QTY_DEC,DIM FP Equity_DX_SUPPLY_SI_MV,DIM FP Equity_DX_BROKER_SI_MV_DEC,DIM FP Equity_DX_SUPPLY_SI_MV_RMV,DIM FP Equity_DX_BROKER_SI_MV_RMV,DIM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,DIM FP Equity_DX_UTILIZATION_QUANTITY,DIM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,DIM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,DIM FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,DIM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,DIM FP Equity_DX_ACTIVE_UTILIZATION_MV,DIM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,DIM FP Equity_DX_BROKER_SI_CON_RATIO,DIM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,DIM FP Equity_DX_DEMAND_SUPPLY_RATIO,DIM FP Equity_PX_LAST
2006-07-03,88855.0,2314741.15,2.57,10.91,1.27,2.61,1.0,1048152.72,51496.0,40235.0,1341510.44,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.01,2097.0,1561.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0,19.49,16.96,212661.0,5539982.75,0.0,0.0,346.28,26.83,0.4889,63.9,0.2927,29.64
2006-07-04,85001.0,2345827.34,2.46,11.46,1.22,2.61,1.0,1043880.89,50497.0,37825.0,1393598.23,0.0,0.0,0.0,0.0,0.0,590.0,0.0,0.0,0.0,1567.0,0.0,0.0,0.0,0.0,0.02,568.0,3000.0,1.54,0.09,0.0,0.0,19.9,17.23,203222.0,5608448.43,0.0,0.0,345.45,27.38,0.5349,67.7,0.29,31.4
2006-07-05,88265.0,2408754.24,2.55,13.19,1.26,2.74,1.0,1032245.27,51039.0,37825.0,1392855.69,0.0,0.0,3295.0,0.0,0.0,0.0,0.0,0.08,0.0,2752.0,0.0,0.0,0.0,3295.0,0.0,0.0,0.0,1.59,0.0,0.0,0.0,18.7,16.34,221951.0,6057048.79,0.0,0.0,337.52,28.72,0.5242,66.34,0.2825,31.05
2006-07-06,85773.0,2363363.41,2.48,13.07,1.23,2.68,1.0,981600.52,50148.0,35625.0,1381762.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,891.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,1.56,0.06,0.0,0.0,21.62,18.48,181806.0,5009427.76,0.0,0.0,335.49,29.48,0.5681,69.36,0.3161,31.35
2006-07-07,84951.0,2366254.78,2.46,12.81,1.22,2.68,1.0,975877.11,49916.0,35035.0,1390377.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,1.57,0.02,0.0,0.0,21.65,18.49,180621.0,5031080.32,0.0,0.0,333.32,29.91,0.5807,70.09,0.3147,31.5
2006-07-10,84368.0,2416412.96,2.44,12.53,1.21,2.71,1.0,1003449.51,49333.0,35035.0,1412963.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,21.74,18.52,177611.0,5087017.86,0.0,0.0,333.52,29.38,0.585,70.62,0.3168,32.39
2006-07-11,84366.0,2387260.94,2.44,10.7,1.21,2.71,1.0,991367.22,49331.0,35035.0,1395893.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.0,0.0,0.0,21.7,18.5,177964.0,5035754.99,0.0,0.0,327.02,30.22,0.5782,69.78,0.3163,32.0
2006-07-12,85104.0,2408143.74,2.46,10.38,1.22,2.72,1.0,991367.22,50069.0,35035.0,1416776.52,0.0,0.0,738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,22.47,19.1,172741.0,4887962.47,0.0,0.0,333.57,30.01,0.5799,69.99,0.3246,32.0
2006-07-13,88046.0,2491391.99,2.55,12.28,1.26,2.82,1.0,1030274.88,51636.0,36410.0,1461117.11,0.0,0.0,125.0,0.05,0.0,0.0,0.0,0.0,1375.0,0.0,0.0,0.0,0.05,125.0,0.0,1442.0,0.0,1.65,0.0,0.0,0.0,23.1,20.06,171854.0,4862863.49,0.0,0.0,344.59,29.14,0.5871,70.86,0.342,32.0
2006-07-14,58066.0,1643063.48,1.68,8.0,0.83,1.86,0.0,180390.07,51691.0,6375.0,1462673.41,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,30035.0,1.65,0.96,0.0,0.0,23.1,20.41,172112.0,4870163.98,0.0,0.0,344.61,29.82,0.5814,70.18,0.2292,32.0
2006-07-17,58231.0,1620956.75,1.68,8.04,0.83,1.85,0.0,177458.73,51856.0,6375.0,1443498.02,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,1.65,0.0,0.0,0.0,20.4,20.4,202387.0,5633778.8,0.0,6.46,20.39,29.48,0.5842,70.52,0.229,31.48
2006-07-18,58980.0,1619380.21,1.71,8.65,0.84,1.85,0.0,175034.74,52605.0,6375.0,1444345.47,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0,1.65,0.0,0.0,0.0,20.34,20.34,206019.0,5656546.14,0.0,6.46,20.35,29.54,0.5837,70.46,0.2281,31.05
2006-07-19,24803.0,682098.44,0.72,3.56,0.35,0.78,0.0,230317.88,16428.0,8375.0,451780.56,0.0,0.0,0.0,0.06,0.0,0.0,0.0,1.13,2000.0,36177.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,7.63,7.63,199013.0,5472985.41,0.0,6.23,7.67,35.5,0.542,64.5,0.1151,31.1
2006-07-20,24818.0,683608.24,0.72,3.45,0.36,0.77,0.0,230688.17,16443.0,8375.0,452920.07,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,7.58,7.58,200570.0,5524671.76,0.0,6.24,7.58,35.87,0.54,64.13,0.1144,31.15
