DATE,ALBLD FP Equity_DX_SI_QTY,ALBLD FP Equity_DX_SHORT_INTEREST_VALUE,ALBLD FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALBLD FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALBLD FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALBLD FP Equity_DX_SI_MV,ALBLD FP Equity_DX_DSS,ALBLD FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALBLD FP Equity_DX_SUPPLY_SI_QTY,ALBLD FP Equity_DX_BROKER_SI_QTY,ALBLD FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALBLD FP Equity_DX_BROKER_SI_MV_NEW_x,ALBLD FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALBLD FP Equity_DX_BROKER_SI_MV_INC_x,ALBLD FP Equity_DX_BROKER_SI_QTY_ADD,ALBLD FP Equity_DX_BROKER_SI_QTY_NEW,ALBLD FP Equity_DX_SUPPLY_SI_MV_DEC,ALBLD FP Equity_DX_BROKER_SI_QTY_INC,ALBLD FP Equity_DX_SUPPLY_SI_QTY_DEC,ALBLD FP Equity_DX_BROKER_SI_MV_NEW_y,ALBLD FP Equity_DX_BROKER_SI_MV_INC_y,ALBLD FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALBLD FP Equity_DX_BROKER_SI_MV_ADD,ALBLD FP Equity_DX_SUPPLY_SI_QTY_ADD,ALBLD FP Equity_DX_BROKER_SI_QTY_DEC,ALBLD FP Equity_DX_SUPPLY_SI_MV,ALBLD FP Equity_DX_BROKER_SI_MV_DEC,ALBLD FP Equity_DX_BROKER_SI_MV_RMV,ALBLD FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALBLD FP Equity_DX_UTILIZATION_QUANTITY,ALBLD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALBLD FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALBLD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALBLD FP Equity_DX_ACTIVE_UTILIZATION_MV,ALBLD FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALBLD FP Equity_DX_BROKER_SI_CON_RATIO,ALBLD FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALBLD FP Equity_DX_DEMAND_SUPPLY_RATIO,ALBLD FP Equity_PX_LAST
2006-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,11.08
2006-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,11.5
2006-07-05,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,11.5
2006-07-06,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,11.4
2006-07-07,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,11.3
2006-07-10,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,11.3
2006-07-11,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,11.2
2006-07-12,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,11.1
2006-07-13,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,11.09
2006-07-14,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,11.0
