DATE,PLEM FP Equity_DX_SI_QTY,PLEM FP Equity_DX_SHORT_INTEREST_VALUE,PLEM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PLEM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PLEM FP Equity_DX_SI_MV,PLEM FP Equity_DX_DSS,PLEM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PLEM FP Equity_DX_SUPPLY_SI_QTY,PLEM FP Equity_DX_BROKER_SI_QTY,PLEM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PLEM FP Equity_DX_BROKER_SI_MV_INC_x,PLEM FP Equity_DX_BROKER_SI_QTY_ADD,PLEM FP Equity_DX_SUPPLY_SI_MV_DEC,PLEM FP Equity_DX_BROKER_SI_QTY_INC,PLEM FP Equity_DX_SUPPLY_SI_QTY_DEC,PLEM FP Equity_DX_BROKER_SI_MV_INC_y,PLEM FP Equity_DX_BROKER_SI_MV_ADD,PLEM FP Equity_DX_SUPPLY_SI_QTY_ADD,PLEM FP Equity_DX_BROKER_SI_QTY_DEC,PLEM FP Equity_DX_SUPPLY_SI_MV,PLEM FP Equity_DX_BROKER_SI_MV_DEC,PLEM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PLEM FP Equity_DX_UTILIZATION_QUANTITY,PLEM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PLEM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PLEM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PLEM FP Equity_DX_ACTIVE_UTILIZATION_MV,PLEM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PLEM FP Equity_DX_BROKER_SI_CON_RATIO,PLEM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PLEM FP Equity_DX_DEMAND_SUPPLY_RATIO,PLEM FP Equity_PX_LAST
2014-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.59
2014-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.64
2014-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.48
2014-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.55
2014-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.56
2014-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.51
2014-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6
2014-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.73
2014-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.78
2014-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.77
