DATE,ENAM FP Equity_DX_SI_QTY,ENAM FP Equity_DX_SHORT_INTEREST_VALUE,ENAM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ENAM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ENAM FP Equity_DX_SI_MV,ENAM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ENAM FP Equity_DX_SUPPLY_SI_QTY,ENAM FP Equity_DX_BROKER_SI_QTY,ENAM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ENAM FP Equity_DX_BROKER_SI_MV_NEW_x,ENAM FP Equity_DX_SUPPLY_SI_QTY_INC_x,ENAM FP Equity_DX_BROKER_SI_MV_INC_x,ENAM FP Equity_DX_BROKER_SI_QTY_ADD,ENAM FP Equity_DX_BROKER_SI_QTY_NEW,ENAM FP Equity_DX_SUPPLY_SI_MV_DEC,ENAM FP Equity_DX_BROKER_SI_QTY_INC,ENAM FP Equity_DX_SUPPLY_SI_QTY_DEC,ENAM FP Equity_DX_BROKER_SI_MV_NEW_y,ENAM FP Equity_DX_BROKER_SI_MV_INC_y,ENAM FP Equity_DX_SUPPLY_SI_QTY_INC_y,ENAM FP Equity_DX_BROKER_SI_MV_ADD,ENAM FP Equity_DX_SUPPLY_SI_QTY_ADD,ENAM FP Equity_DX_BROKER_SI_QTY_DEC,ENAM FP Equity_DX_SUPPLY_SI_MV,ENAM FP Equity_DX_BROKER_SI_MV_DEC,ENAM FP Equity_DX_BROKER_SI_MV_RMV,ENAM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ENAM FP Equity_DX_UTILIZATION_QUANTITY,ENAM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ENAM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ENAM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ENAM FP Equity_DX_ACTIVE_UTILIZATION_MV,ENAM FP Equity_DX_BROKER_SI_CON_RATIO,ENAM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ENAM FP Equity_DX_DEMAND_SUPPLY_RATIO,ENAM FP Equity_PX_LAST
2016-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.764
2016-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.845
2016-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.193
2016-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.639
2016-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.727
2016-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.676
2016-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.807
2016-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.677
2016-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.911
2016-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.418
