DATE,HLT FP Equity_DX_DSS,HLT FP Equity_PX_LAST
2006-08-28,0.0,45.48
2006-08-30,0.0,46.29
2006-08-31,0.0,46.49
2006-09-01,0.0,46.65
2006-09-04,0.0,46.44
2006-09-05,0.0,46.14
2006-09-06,0.0,45.73
2006-09-07,0.0,45.54
2006-09-08,0.0,45.6
2006-09-11,0.0,45.15
2006-09-12,0.0,45.79
2006-09-13,0.0,45.76
2006-09-14,0.0,45.42
2006-09-15,0.0,45.3
2006-09-18,0.0,45.49
2006-09-19,0.0,45.2
2006-09-20,0.0,45.66
2006-09-21,0.0,45.62
2006-09-22,0.0,45.33
2006-09-25,0.0,45.58
2006-09-26,0.0,45.95
2006-09-27,0.0,45.92
2006-09-28,0.0,45.92
2006-09-29,0.0,45.74
2006-10-03,0.0,46.11
2006-10-04,0.0,46.07
2006-10-05,0.0,45.93
2006-10-06,0.0,45.89
2006-10-09,0.0,46.04
2006-10-10,0.0,46.17
2006-10-12,0.0,46.3
2006-10-13,0.0,46.34
2006-10-16,0.0,46.49
2006-10-17,0.0,46.43
2006-10-18,0.0,46.71
2006-10-19,0.0,47.25
2006-10-20,0.0,47.34
2006-10-23,0.0,47.64
2006-10-24,0.0,47.42
2006-10-25,0.0,47.62
2006-10-26,0.0,46.48
2006-10-27,0.0,45.97
2006-10-30,0.0,45.82
2006-10-31,0.0,45.77
2006-11-01,0.0,45.82
2006-11-02,0.0,46.16
2006-11-03,0.0,46.08
2006-11-06,0.0,46.27
2006-11-07,0.0,46.44
2006-11-08,0.0,45.92
2006-11-09,0.0,45.44
2006-11-10,0.0,44.79
2006-11-13,0.0,45.11
2006-11-14,0.0,44.77
2006-11-15,0.0,44.97
2006-11-16,0.0,45.02
2006-11-17,0.0,44.99
2006-11-20,0.0,45.32
2006-11-21,0.0,45.2
2006-11-22,0.0,45.02
2006-11-23,0.0,44.95
2006-11-24,0.0,44.51
2006-11-27,0.0,44.15
2006-11-28,0.0,43.83
2006-11-29,0.0,44.69
2006-11-30,0.0,44.67
2006-12-01,0.0,44.27
2006-12-04,0.0,43.85
2006-12-05,0.0,43.99
2006-12-06,0.0,43.82
2006-12-07,0.0,44.24
2006-12-08,0.0,44.22
2006-12-11,0.0,44.35
2006-12-12,0.0,44.77
2006-12-13,0.0,44.65
2006-12-14,0.0,44.85
2006-12-15,0.0,44.98
2006-12-18,0.0,45.18
2006-12-19,0.0,44.77
2006-12-20,0.0,44.44
2006-12-21,0.0,44.53
2006-12-22,0.0,44.55
2006-12-27,0.0,44.51
2006-12-28,0.0,44.54
2006-12-29,0.0,44.38
2007-01-02,0.0,44.77
2007-01-03,0.0,45.06
2007-01-04,0.0,45.5
2007-01-05,0.0,45.77
2007-01-08,0.0,45.12
2007-01-09,0.0,45.24
2007-01-10,0.0,45.24
2007-01-11,0.0,45.78
2007-01-12,0.0,46.0
2007-01-15,0.0,46.5
2007-01-16,0.0,46.51
2007-01-17,0.0,46.69
2007-01-18,0.0,46.7
2007-01-19,0.0,46.88
2007-01-22,0.0,46.42
2007-01-23,0.0,46.21
2007-01-24,0.0,46.62
2007-01-25,0.0,46.63
2007-01-26,0.0,45.94
2007-01-29,0.0,45.92
2007-01-30,0.0,45.88
2007-01-31,0.0,45.6
2007-02-01,0.0,46.24
2007-02-02,0.0,46.73
2007-02-05,0.0,46.76
2007-02-06,0.0,47.13
2007-02-07,0.0,46.67
2007-02-08,0.0,46.47
2007-02-09,0.0,46.47
2007-02-12,0.0,46.78
2007-02-13,0.0,46.6
2007-02-14,0.0,46.81
2007-02-15,0.0,46.79
2007-02-19,0.0,46.84
2007-02-20,0.0,46.68
2007-02-21,0.0,46.28
2007-02-22,0.0,45.9
2007-02-23,0.0,46.11
2007-02-26,0.0,45.96
2007-02-27,0.0,44.94
2007-02-28,0.0,45.0
2007-03-01,0.0,44.41
2007-03-02,0.0,44.37
2007-03-05,0.0,44.03
2007-03-06,0.0,44.65
2007-03-07,0.0,44.96
2007-03-08,0.0,45.49
2007-03-09,0.0,45.27
2007-03-12,0.0,45.25
2007-03-13,0.0,45.01
2007-03-14,0.0,44.41
2007-03-15,0.0,44.45
2007-03-16,0.0,44.5
2007-03-19,0.0,44.72
2007-03-20,0.0,45.11
2007-03-21,0.0,45.06
2007-03-22,0.0,45.37
2007-03-23,0.0,45.07
2007-03-26,0.0,44.88
2007-03-27,0.0,44.68
2007-03-28,0.0,44.38
2007-03-29,0.0,44.7
2007-03-30,0.0,44.83
2007-04-02,0.0,44.43
2007-04-03,0.0,44.65
2007-04-04,0.0,44.89
2007-04-05,0.0,44.83
2007-04-10,0.0,44.91
2007-04-11,0.0,44.83
2007-04-12,0.0,44.83
2007-04-13,0.0,45.55
2007-04-16,0.0,45.95
2007-04-17,0.0,45.98
2007-04-18,0.0,46.0
2007-04-19,0.0,46.36
2007-04-20,0.0,46.51
2007-04-23,0.0,46.36
2007-04-24,0.0,46.05
2007-04-25,0.0,46.1
2007-04-26,0.0,46.31
2007-04-27,0.0,45.92
2007-04-30,0.0,45.84
2007-05-02,0.0,45.95
2007-05-03,0.0,45.81
2007-05-04,0.0,46.39
2007-05-07,0.0,46.26
2007-05-08,0.0,46.16
2007-05-09,0.0,46.11
2007-05-10,0.0,45.8
2007-05-11,0.0,45.72
2007-05-14,0.0,45.55
2007-05-15,0.0,45.68
2007-05-16,0.0,45.7
2007-05-17,0.0,45.84
2007-05-18,0.0,46.17
2007-05-21,0.0,45.95
2007-05-22,0.0,45.35
2007-05-23,0.0,45.45
2007-05-24,0.0,45.3
2007-05-25,0.0,45.37
2007-05-28,0.0,45.39
2007-05-29,0.0,45.13
2007-05-30,0.0,45.23
2007-05-31,0.0,45.19
2007-06-01,0.0,45.23
2007-06-04,0.0,45.1
2007-06-05,0.0,44.89
2007-06-06,0.0,44.43
2007-06-07,0.0,44.13
2007-06-08,0.0,44.17
2007-06-11,0.0,44.38
2007-06-12,0.0,44.36
2007-06-13,0.0,44.32
2007-06-14,0.0,44.13
2007-06-15,0.0,44.59
2007-06-18,0.0,44.27
2007-06-19,0.0,44.19
2007-06-20,0.0,44.2
2007-06-21,0.0,43.81
2007-06-22,0.0,43.65
2007-06-25,0.0,43.62
2007-06-26,0.0,43.55
2007-06-27,0.0,43.92
2007-06-28,0.0,44.04
2007-06-29,0.0,44.13
2007-07-02,0.0,44.11
2007-07-03,0.0,44.12
2007-07-04,0.0,44.36
2007-07-05,0.0,44.05
2007-07-06,0.0,44.04
2007-07-09,0.0,43.88
2007-07-10,0.0,44.14
2007-07-11,0.0,43.62
2007-07-12,0.0,43.83
2007-07-13,0.0,43.95
2007-07-16,0.0,44.31
2007-07-17,0.0,44.09
2007-07-18,0.0,43.45
2007-07-19,0.0,44.05
2007-07-20,0.0,44.07
2007-07-23,0.0,43.79
2007-07-24,0.0,43.52
2007-07-25,0.0,43.57
2007-07-26,0.0,42.83
2007-07-27,0.0,42.5
2007-07-30,0.0,42.26
2007-07-31,0.0,42.98
2007-08-01,0.0,42.8
2007-08-02,0.0,43.17
2007-08-03,0.0,42.69
2007-08-06,0.0,42.93
2007-08-07,0.0,43.2
2007-08-08,0.0,43.7
2007-08-09,0.0,43.39
2007-08-10,0.0,42.6
2007-08-13,0.0,42.7
