DATE,SAVE FP Equity_DX_SI_QTY,SAVE FP Equity_DX_SHORT_INTEREST_VALUE,SAVE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SAVE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SAVE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SAVE FP Equity_DX_SI_MV,SAVE FP Equity_DX_DSS,SAVE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SAVE FP Equity_DX_SUPPLY_SI_QTY,SAVE FP Equity_DX_BROKER_SI_QTY,SAVE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SAVE FP Equity_DX_BROKER_SI_MV_NEW_x,SAVE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,SAVE FP Equity_DX_SUPPLY_SI_QTY_INC_x,SAVE FP Equity_DX_BROKER_SI_MV_INC_x,SAVE FP Equity_DX_SUPPLY_SI_MV_NEW,SAVE FP Equity_DX_BROKER_SI_QTY_ADD,SAVE FP Equity_DX_BROKER_SI_QTY_NEW,SAVE FP Equity_DX_SUPPLY_SI_MV_DEC,SAVE FP Equity_DX_BROKER_SI_QTY_INC,SAVE FP Equity_DX_SUPPLY_SI_QTY_DEC,SAVE FP Equity_DX_BROKER_SI_MV_NEW_y,SAVE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,SAVE FP Equity_DX_BROKER_SI_MV_INC_y,SAVE FP Equity_DX_SUPPLY_SI_QTY_INC_y,SAVE FP Equity_DX_BROKER_SI_MV_ADD,SAVE FP Equity_DX_SUPPLY_SI_QTY_ADD,SAVE FP Equity_DX_BROKER_SI_QTY_DEC,SAVE FP Equity_DX_SUPPLY_SI_MV,SAVE FP Equity_DX_BROKER_SI_MV_DEC,SAVE FP Equity_DX_SUPPLY_SI_MV_RMV,SAVE FP Equity_DX_BROKER_SI_MV_RMV,SAVE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SAVE FP Equity_DX_UTILIZATION_QUANTITY,SAVE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SAVE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SAVE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,SAVE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SAVE FP Equity_DX_ACTIVE_UTILIZATION_MV,SAVE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SAVE FP Equity_DX_BROKER_SI_CON_RATIO,SAVE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SAVE FP Equity_DX_DEMAND_SUPPLY_RATIO,SAVE FP Equity_PX_LAST
2006-07-03,187682.0,8795033.95,4.23,30.11,1.22,10.61,1.0,2177647.44,150315.0,46470.0,7043965.47,0.0,0.0,1345.0,0.08,0.0,0.0,0.0,0.0,478.0,0.0,0.0,0.0,0.08,1345.0,0.0,0.0,0.0,8.54,0.0,0.0,0.0,22.77,22.77,509889.0,23894092.48,0.0,29.12,22.67,28.44,0.4689,61.51,0.2843,57.9
2006-07-04,187670.0,8718526.26,4.23,28.35,1.22,10.62,1.0,2157123.3,150343.0,46433.0,6984437.54,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,31.0,0.0,0.0,38.0,8.55,0.0,0.0,0.0,22.61,22.61,514585.0,23905913.76,0.0,29.2,22.65,28.43,0.469,61.52,0.2822,57.4
2006-07-05,187712.0,8758458.61,4.23,28.4,1.22,10.6,1.0,2170111.18,150310.0,46510.0,7013317.82,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,77.0,55.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,8.53,0.0,0.0,0.0,21.98,21.98,533584.0,24896508.38,0.0,30.48,21.86,28.42,0.4691,61.54,0.2745,57.65
2006-07-06,187455.0,8617508.06,4.22,26.21,1.21,10.54,1.0,2132046.56,150172.0,46378.0,6903568.43,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.04,0.0,150.0,0.0,0.0,0.0,12.0,0.0,0.0,132.0,8.48,0.02,0.0,0.0,22.22,22.22,525755.0,24169523.08,0.0,29.93,22.08,28.38,0.4694,61.58,0.2773,56.8
2006-07-07,187578.0,8691479.81,4.23,33.4,1.22,10.43,1.0,2170808.03,149794.0,46850.0,6940747.46,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.09,472.0,378.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,8.36,0.0,0.0,0.0,22.0,22.0,531003.0,24604174.54,0.0,29.87,21.88,28.58,0.4686,61.43,0.2755,57.25
2006-07-10,186959.0,8458522.68,4.21,32.61,1.21,10.55,1.0,2077814.45,150129.0,45926.0,6792235.47,0.0,0.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,367.0,0.0,0.0,925.0,8.51,0.03,0.0,0.0,22.17,22.17,527047.0,23845008.8,0.0,29.92,22.15,28.21,0.4702,61.72,0.2761,55.9
2006-07-11,187410.0,8562351.26,4.22,32.55,1.21,10.32,1.0,2145316.5,149460.0,46956.0,6828499.12,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.22,1031.0,1125.0,0.0,0.0,0.01,0.0,0.0,456.0,0.0,8.25,0.0,0.0,0.0,21.82,21.82,535355.0,24459194.07,0.0,29.78,21.69,28.59,0.4659,61.21,0.2737,56.45
2006-07-12,186971.0,8580125.56,4.21,32.91,1.21,10.42,1.0,2123107.38,150225.0,46265.0,6893846.44,0.0,0.0,766.0,0.0,0.0,449.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,766.0,0.03,0.0,1140.0,8.4,0.04,0.0,0.0,21.71,21.71,541810.0,24863737.32,0.0,30.41,21.65,28.12,0.4683,61.62,0.2702,56.7
2006-07-13,187568.0,8599931.57,4.23,32.91,1.22,10.45,1.0,2149707.79,150199.0,46886.0,6886575.12,0.0,0.0,28.0,0.06,0.0,0.0,0.0,0.0,1051.0,54.0,0.0,0.0,0.06,28.0,0.0,0.0,430.0,8.4,0.02,0.0,0.0,21.9,21.9,535579.0,24556122.31,0.0,30.12,21.81,28.27,0.4664,61.39,0.2735,56.65
2006-07-14,187478.0,8595805.1,4.22,32.74,1.21,10.47,1.0,2145810.57,150193.0,46801.0,6886300.02,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,9.0,0.0,0.0,86.0,8.42,0.0,0.0,0.0,21.98,21.98,533217.0,24447825.38,0.0,30.06,21.88,28.24,0.4665,61.41,0.2743,0.0
