DATE,COH FP Equity_DX_SI_QTY,COH FP Equity_DX_SHORT_INTEREST_VALUE,COH FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,COH FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,COH FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,COH FP Equity_DX_SI_MV,COH FP Equity_DX_DSS,COH FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,COH FP Equity_DX_SUPPLY_SI_QTY,COH FP Equity_DX_BROKER_SI_QTY,COH FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,COH FP Equity_DX_BROKER_SI_MV_NEW_x,COH FP Equity_DX_SUPPLY_SI_QTY_INC_x,COH FP Equity_DX_BROKER_SI_MV_INC_x,COH FP Equity_DX_BROKER_SI_QTY_ADD,COH FP Equity_DX_BROKER_SI_QTY_NEW,COH FP Equity_DX_SUPPLY_SI_MV_DEC,COH FP Equity_DX_BROKER_SI_QTY_INC,COH FP Equity_DX_SUPPLY_SI_QTY_DEC,COH FP Equity_DX_BROKER_SI_MV_NEW_y,COH FP Equity_DX_BROKER_SI_MV_INC_y,COH FP Equity_DX_SUPPLY_SI_QTY_INC_y,COH FP Equity_DX_BROKER_SI_MV_ADD,COH FP Equity_DX_SUPPLY_SI_QTY_ADD,COH FP Equity_DX_BROKER_SI_QTY_DEC,COH FP Equity_DX_SUPPLY_SI_MV,COH FP Equity_DX_BROKER_SI_MV_DEC,COH FP Equity_DX_BROKER_SI_MV_RMV,COH FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,COH FP Equity_DX_UTILIZATION_QUANTITY,COH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,COH FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,COH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,COH FP Equity_DX_ACTIVE_UTILIZATION_MV,COH FP Equity_DX_BROKER_SI_MARKET_SHARE_2,COH FP Equity_DX_BROKER_SI_CON_RATIO,COH FP Equity_DX_BROKER_SI_MARKET_SHARE_1,COH FP Equity_DX_DEMAND_SUPPLY_RATIO,COH FP Equity_PX_LAST
2006-07-03,9497.0,54592.99,0.37,0.41,0.17,0.06,0.0,54592.99,4584.0,9497.0,26350.87,0.0,0.0,0.03,0.0,0.0,0.0,5000.0,72.0,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.0,32.12,32.12,9687.0,55685.19,0.0,0.0,0.0,1.0,100.0,0.6654,6.99
2006-07-04,9497.0,54671.09,0.37,0.41,0.17,0.06,0.0,54671.09,4758.0,9497.0,27390.23,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,0.03,0.0,0.0,32.12,32.12,10054.0,57877.55,0.0,0.0,0.0,1.0,100.0,0.6412,7.0
2006-07-05,9497.0,54124.38,0.37,0.42,0.17,0.06,0.0,54124.38,4691.0,9497.0,26734.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,32.12,32.12,9913.0,56495.2,0.0,0.0,0.0,1.0,100.0,0.6503,6.93
2006-07-06,9497.0,55452.1,0.37,0.42,0.17,0.06,0.0,55452.1,4667.0,9497.0,27250.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,32.12,32.12,9863.0,57589.14,0.0,0.0,0.0,1.0,100.0,0.6536,7.1
2006-07-07,9497.0,54749.19,0.37,0.41,0.17,0.06,0.0,54749.19,4725.0,9497.0,27239.12,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.03,0.0,0.0,32.12,32.12,9984.0,57556.69,0.0,0.0,0.0,1.0,100.0,0.6457,7.01
2006-07-10,9497.0,52093.74,0.37,0.42,0.17,0.06,0.0,52093.74,4694.0,9497.0,25747.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,32.12,32.12,9920.0,54414.01,0.0,0.0,0.0,1.0,100.0,0.6498,6.67
2006-07-11,9497.0,50766.01,0.37,0.42,0.17,0.06,0.0,50766.01,4576.0,9497.0,24460.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,32.12,32.12,9671.0,51696.12,0.0,0.0,0.0,1.0,100.0,0.6666,6.5
2006-07-12,9497.0,50375.5,0.37,0.37,0.17,0.06,0.0,50375.5,4515.0,9497.0,23949.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,32.12,32.12,9542.0,50614.2,0.0,0.0,0.0,1.0,100.0,0.6756,6.45
2006-07-13,9497.0,48813.47,0.37,0.36,0.17,0.06,0.0,48813.47,4497.0,9497.0,23114.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,32.12,32.12,9503.0,48844.31,0.0,0.0,0.0,1.0,100.0,0.6784,6.25
2006-07-14,9497.0,48969.68,0.37,0.36,0.17,0.06,0.0,48969.68,4422.0,9497.0,22801.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,3.94,3.94,107689.0,555280.13,0.0,0.0,0.0,1.0,100.0,0.0847,6.27
