DATE,GUI FP Equity_DX_SI_QTY,GUI FP Equity_DX_SHORT_INTEREST_VALUE,GUI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,GUI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GUI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GUI FP Equity_DX_SI_MV,GUI FP Equity_DX_DSS,GUI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GUI FP Equity_DX_SUPPLY_SI_QTY,GUI FP Equity_DX_BROKER_SI_QTY,GUI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GUI FP Equity_DX_BROKER_SI_MV_NEW_x,GUI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,GUI FP Equity_DX_SUPPLY_SI_QTY_INC_x,GUI FP Equity_DX_BROKER_SI_MV_INC_x,GUI FP Equity_DX_SUPPLY_SI_MV_NEW,GUI FP Equity_DX_BROKER_SI_QTY_ADD,GUI FP Equity_DX_BROKER_SI_QTY_NEW,GUI FP Equity_DX_SUPPLY_SI_MV_DEC,GUI FP Equity_DX_BROKER_SI_QTY_INC,GUI FP Equity_DX_SUPPLY_SI_QTY_DEC,GUI FP Equity_DX_BROKER_SI_MV_NEW_y,GUI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,GUI FP Equity_DX_BROKER_SI_MV_INC_y,GUI FP Equity_DX_SUPPLY_SI_QTY_INC_y,GUI FP Equity_DX_BROKER_SI_MV_ADD,GUI FP Equity_DX_SUPPLY_SI_QTY_ADD,GUI FP Equity_DX_BROKER_SI_QTY_DEC,GUI FP Equity_DX_SUPPLY_SI_MV,GUI FP Equity_DX_BROKER_SI_MV_DEC,GUI FP Equity_DX_SUPPLY_SI_MV_RMV,GUI FP Equity_DX_BROKER_SI_MV_RMV,GUI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GUI FP Equity_DX_UTILIZATION_QUANTITY,GUI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GUI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GUI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,GUI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GUI FP Equity_DX_ACTIVE_UTILIZATION_MV,GUI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GUI FP Equity_DX_BROKER_SI_CON_RATIO,GUI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GUI FP Equity_DX_DEMAND_SUPPLY_RATIO,GUI FP Equity_PX_LAST
2006-07-03,8000.0,17360.0,0.3,0.63,0.06,0.02,0.0,17360.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3568.0,7742.56,0.0,0.0,0.0,0.0,1.0,100.0,2.2422,2.17
2006-07-04,8000.0,17440.0,0.3,0.67,0.06,0.02,0.0,17440.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3593.0,7832.74,0.0,0.0,0.0,0.0,1.0,100.0,2.2266,2.18
2006-07-05,8000.0,17360.0,0.3,0.7,0.06,0.02,0.0,17360.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3369.0,7310.73,0.0,0.0,0.0,0.0,1.0,100.0,2.3746,2.17
2006-07-06,8000.0,17200.0,0.3,0.86,0.06,0.02,0.0,17200.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3602.0,7744.3,0.0,0.0,0.0,0.0,1.0,100.0,2.221,2.15
2006-07-07,8000.0,17360.0,0.3,0.94,0.06,0.02,0.0,17360.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3568.0,7742.56,0.0,0.0,0.0,0.0,1.0,100.0,2.2422,2.17
2006-07-10,8000.0,17360.0,0.3,1.0,0.06,0.02,0.0,17360.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3602.0,7816.34,0.0,0.0,0.0,0.0,1.0,100.0,2.221,2.17
2006-07-11,8000.0,16800.0,0.3,1.05,0.06,0.02,0.0,16800.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3602.0,7564.2,0.0,0.0,0.0,0.0,1.0,100.0,2.221,2.1
2006-07-12,8000.0,17440.0,0.3,1.04,0.06,0.02,0.0,17440.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3485.0,7597.3,0.0,0.0,0.0,0.0,1.0,100.0,2.2956,2.18
2006-07-13,8000.0,17120.0,0.3,1.04,0.06,0.02,0.0,17120.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3618.0,7742.52,0.0,0.0,0.0,0.0,1.0,100.0,2.2112,2.14
2006-07-14,8000.0,17200.0,0.3,1.02,0.06,0.02,0.0,17200.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3402.0,7314.3,0.0,0.0,0.0,0.0,1.0,100.0,2.3516,2.15
2006-07-17,8000.0,17360.0,0.3,1.0,0.06,0.02,0.0,17360.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3568.0,7742.56,0.0,0.0,0.0,0.0,1.0,100.0,2.2422,2.17
2006-07-18,8000.0,17040.0,0.3,0.96,0.06,0.02,0.0,17040.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3602.0,7672.26,0.0,0.0,0.0,0.0,1.0,100.0,2.221,2.13
2006-07-19,8000.0,17040.0,0.3,0.97,0.06,0.02,0.0,17040.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3535.0,7529.55,0.0,0.0,0.0,0.0,1.0,100.0,2.2631,2.13
2006-07-20,8000.0,16960.0,0.3,0.98,0.06,0.02,0.0,16960.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3535.0,7494.2,0.0,0.0,0.0,0.0,1.0,100.0,2.2631,2.12
2006-07-21,8000.0,16880.0,0.3,0.98,0.06,0.02,0.0,16880.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3386.0,7144.46,0.0,0.0,0.0,0.0,1.0,100.0,2.3627,2.11
2006-07-24,8000.0,16800.0,0.3,0.99,0.06,0.02,0.0,16800.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3502.0,7354.2,0.0,0.0,0.0,0.0,1.0,100.0,2.2844,2.1
