DATE,SRIC3 FP Equity_DX_SI_QTY,SRIC3 FP Equity_DX_SHORT_INTEREST_VALUE,SRIC3 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SRIC3 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SRIC3 FP Equity_DX_SI_MV,SRIC3 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SRIC3 FP Equity_DX_SUPPLY_SI_QTY,SRIC3 FP Equity_DX_BROKER_SI_QTY,SRIC3 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SRIC3 FP Equity_DX_SUPPLY_SI_QTY_INC_x,SRIC3 FP Equity_DX_BROKER_SI_MV_INC_x,SRIC3 FP Equity_DX_BROKER_SI_QTY_ADD,SRIC3 FP Equity_DX_SUPPLY_SI_MV_DEC,SRIC3 FP Equity_DX_BROKER_SI_QTY_INC,SRIC3 FP Equity_DX_SUPPLY_SI_QTY_DEC,SRIC3 FP Equity_DX_BROKER_SI_MV_INC_y,SRIC3 FP Equity_DX_SUPPLY_SI_QTY_INC_y,SRIC3 FP Equity_DX_BROKER_SI_MV_ADD,SRIC3 FP Equity_DX_SUPPLY_SI_QTY_ADD,SRIC3 FP Equity_DX_BROKER_SI_QTY_DEC,SRIC3 FP Equity_DX_SUPPLY_SI_MV,SRIC3 FP Equity_DX_BROKER_SI_MV_DEC,SRIC3 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SRIC3 FP Equity_DX_UTILIZATION_QUANTITY,SRIC3 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SRIC3 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SRIC3 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SRIC3 FP Equity_DX_ACTIVE_UTILIZATION_MV,SRIC3 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SRIC3 FP Equity_DX_BROKER_SI_CON_RATIO,SRIC3 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SRIC3 FP Equity_DX_DEMAND_SUPPLY_RATIO,SRIC3 FP Equity_PX_LAST
2019-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9939
2019-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9919
2019-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9905
2019-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9928
2019-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9887
2019-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9846
2019-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9906
2019-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9916
2019-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9962
2019-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0009
2019-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9973
2019-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9974
