DATE,VIL FP Equity_DX_SI_QTY,VIL FP Equity_DX_SHORT_INTEREST_VALUE,VIL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,VIL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,VIL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,VIL FP Equity_DX_SI_MV,VIL FP Equity_DX_DSS,VIL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,VIL FP Equity_DX_SUPPLY_SI_QTY,VIL FP Equity_DX_BROKER_SI_QTY,VIL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,VIL FP Equity_DX_BROKER_SI_MV_NEW_x,VIL FP Equity_DX_SUPPLY_SI_QTY_NEW_x,VIL FP Equity_DX_SUPPLY_SI_QTY_INC_x,VIL FP Equity_DX_BROKER_SI_MV_INC_x,VIL FP Equity_DX_SUPPLY_SI_MV_NEW,VIL FP Equity_DX_BROKER_SI_QTY_ADD,VIL FP Equity_DX_BROKER_SI_QTY_NEW,VIL FP Equity_DX_SUPPLY_SI_MV_DEC,VIL FP Equity_DX_BROKER_SI_QTY_INC,VIL FP Equity_DX_SUPPLY_SI_QTY_DEC,VIL FP Equity_DX_BROKER_SI_MV_NEW_y,VIL FP Equity_DX_SUPPLY_SI_QTY_NEW_y,VIL FP Equity_DX_BROKER_SI_MV_INC_y,VIL FP Equity_DX_SUPPLY_SI_QTY_INC_y,VIL FP Equity_DX_BROKER_SI_MV_ADD,VIL FP Equity_DX_SUPPLY_SI_QTY_ADD,VIL FP Equity_DX_BROKER_SI_QTY_DEC,VIL FP Equity_DX_SUPPLY_SI_MV,VIL FP Equity_DX_BROKER_SI_MV_DEC,VIL FP Equity_DX_SUPPLY_SI_MV_RMV,VIL FP Equity_DX_BROKER_SI_MV_RMV,VIL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,VIL FP Equity_DX_UTILIZATION_QUANTITY,VIL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,VIL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,VIL FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,VIL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,VIL FP Equity_DX_ACTIVE_UTILIZATION_MV,VIL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,VIL FP Equity_DX_BROKER_SI_CON_RATIO,VIL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,VIL FP Equity_DX_DEMAND_SUPPLY_RATIO,VIL FP Equity_PX_LAST
2006-07-03,315816.0,819281.5,2.55,31.51,0.44,1.4,0.0,301806.15,214475.0,116340.0,556385.36,0.0,0.0,2605.0,0.02,0.0,0.0,0.0,0.0,3602.0,1754.0,0.0,0.0,0.02,2605.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,71.3,26.63,86338.0,223975.75,0.0,0.0,1409.75,38.4,0.3912,48.46,0.3921,4.46
2006-07-04,316046.0,810366.82,2.55,35.38,0.44,1.4,0.0,296810.06,200289.0,115757.0,513556.76,0.0,0.0,1177.0,0.0,0.0,0.0,0.0,0.07,0.0,15363.0,0.0,0.0,0.0,1177.0,0.0,0.0,583.0,0.88,0.01,0.0,0.0,69.79,24.83,86712.0,222336.39,0.0,0.0,0.0,38.35,0.3899,48.34,0.3918,4.26
2006-07-05,282054.0,735092.37,2.28,28.92,0.39,1.33,0.0,247548.39,187071.0,94984.0,487546.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13218.0,0.0,0.0,0.0,0.0,0.0,0.0,20773.0,0.88,0.07,0.0,0.0,70.08,23.78,79862.0,208137.26,0.0,0.0,0.0,41.67,0.4498,52.19,0.3586,4.33
2006-07-06,276035.0,714421.25,2.23,29.11,0.39,1.3,0.0,236598.74,184619.0,91416.0,477822.51,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.01,0.0,2455.0,0.0,0.0,0.0,3.0,0.0,0.0,3567.0,0.87,0.02,0.0,0.0,69.74,23.54,80088.0,207280.12,0.0,0.0,0.0,41.71,0.4475,51.92,0.3519,4.3
2006-07-07,276244.0,714962.17,2.23,28.79,0.39,1.31,0.0,238966.9,183914.0,92331.0,475997.86,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,914.0,705.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,69.66,23.47,80098.0,207306.0,0.0,0.0,0.0,41.21,0.4487,52.43,0.3525,4.3
2006-07-10,276165.0,706446.57,2.23,27.66,0.39,1.31,0.0,234551.06,184474.0,91691.0,471895.51,0.0,0.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,640.0,0.87,0.0,0.0,0.0,69.77,23.53,79930.0,204465.72,0.0,0.0,0.0,41.58,0.4479,52.05,0.3522,4.25
2006-07-11,274798.0,702949.7,2.22,27.85,0.38,1.3,0.0,234625.24,183078.0,91720.0,468324.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,29.0,1396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,69.59,23.39,80014.0,204680.59,0.0,0.0,0.0,41.05,0.4485,52.52,0.3511,4.25
2006-07-12,220066.0,569564.82,1.78,20.51,0.31,0.99,0.0,246125.74,124969.0,95097.0,323439.09,0.0,0.0,5767.0,0.0,0.0,0.0,0.0,0.3,3377.0,63876.0,0.0,0.0,0.0,5767.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,45.06,15.68,152396.0,394424.4,0.0,0.0,0.0,10.52,0.8118,89.48,0.2761,4.3
2006-07-13,220555.0,558882.82,1.78,20.03,0.31,1.0,0.0,242213.38,124969.0,95586.0,316669.43,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,489.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,45.34,15.71,150634.0,381704.13,0.0,0.0,0.0,10.46,0.8127,89.54,0.2773,4.21
2006-07-14,218752.0,539830.78,1.76,19.9,0.31,0.99,0.0,231450.18,124963.0,93789.0,308380.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1797.0,0.56,0.01,0.0,0.0,45.67,15.75,148656.0,366849.6,0.0,0.0,0.0,10.66,0.8095,89.34,0.2758,4.1
