DATE,CEU FP Equity_DX_SI_QTY,CEU FP Equity_DX_SHORT_INTEREST_VALUE,CEU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CEU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CEU FP Equity_DX_SI_MV,CEU FP Equity_DX_DSS,CEU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CEU FP Equity_DX_SUPPLY_SI_QTY,CEU FP Equity_DX_BROKER_SI_QTY,CEU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CEU FP Equity_DX_BROKER_SI_MV_NEW_x,CEU FP Equity_DX_SUPPLY_SI_QTY_INC_x,CEU FP Equity_DX_BROKER_SI_MV_INC_x,CEU FP Equity_DX_BROKER_SI_QTY_ADD,CEU FP Equity_DX_BROKER_SI_QTY_NEW,CEU FP Equity_DX_SUPPLY_SI_MV_DEC,CEU FP Equity_DX_BROKER_SI_QTY_INC,CEU FP Equity_DX_SUPPLY_SI_QTY_DEC,CEU FP Equity_DX_BROKER_SI_MV_NEW_y,CEU FP Equity_DX_BROKER_SI_MV_INC_y,CEU FP Equity_DX_SUPPLY_SI_QTY_INC_y,CEU FP Equity_DX_BROKER_SI_MV_ADD,CEU FP Equity_DX_SUPPLY_SI_QTY_ADD,CEU FP Equity_DX_BROKER_SI_QTY_DEC,CEU FP Equity_DX_SUPPLY_SI_MV,CEU FP Equity_DX_BROKER_SI_MV_DEC,CEU FP Equity_DX_BROKER_SI_MV_RMV,CEU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CEU FP Equity_DX_UTILIZATION_QUANTITY,CEU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CEU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CEU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CEU FP Equity_DX_ACTIVE_UTILIZATION_MV,CEU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CEU FP Equity_DX_BROKER_SI_CON_RATIO,CEU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CEU FP Equity_DX_DEMAND_SUPPLY_RATIO,CEU FP Equity_PX_LAST
2008-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.18
2008-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.45
2008-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.74
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.78
2008-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.37
2008-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.67
2008-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.71
2008-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.71
2008-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.22
2008-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77
