DATE,FNAC FP Equity_DX_SI_QTY,FNAC FP Equity_DX_SHORT_INTEREST_VALUE,FNAC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,FNAC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,FNAC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,FNAC FP Equity_DX_SI_MV,FNAC FP Equity_DX_DSS,FNAC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,FNAC FP Equity_DX_SUPPLY_SI_QTY,FNAC FP Equity_DX_BROKER_SI_QTY,FNAC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,FNAC FP Equity_DX_BROKER_SI_MV_NEW_x,FNAC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,FNAC FP Equity_DX_SUPPLY_SI_QTY_INC_x,FNAC FP Equity_DX_BROKER_SI_MV_INC_x,FNAC FP Equity_DX_SUPPLY_SI_MV_NEW,FNAC FP Equity_DX_BROKER_SI_QTY_ADD,FNAC FP Equity_DX_BROKER_SI_QTY_NEW,FNAC FP Equity_DX_SUPPLY_SI_MV_DEC,FNAC FP Equity_DX_BROKER_SI_QTY_INC,FNAC FP Equity_DX_SUPPLY_SI_QTY_DEC,FNAC FP Equity_DX_BROKER_SI_MV_NEW_y,FNAC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,FNAC FP Equity_DX_BROKER_SI_MV_INC_y,FNAC FP Equity_DX_SUPPLY_SI_QTY_INC_y,FNAC FP Equity_DX_BROKER_SI_MV_ADD,FNAC FP Equity_DX_SUPPLY_SI_QTY_ADD,FNAC FP Equity_DX_BROKER_SI_QTY_DEC,FNAC FP Equity_DX_SUPPLY_SI_MV,FNAC FP Equity_DX_BROKER_SI_MV_DEC,FNAC FP Equity_DX_SUPPLY_SI_MV_RMV,FNAC FP Equity_DX_BROKER_SI_MV_RMV,FNAC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,FNAC FP Equity_DX_UTILIZATION_QUANTITY,FNAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,FNAC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,FNAC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,FNAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,FNAC FP Equity_DX_ACTIVE_UTILIZATION_MV,FNAC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,FNAC FP Equity_DX_BROKER_SI_CON_RATIO,FNAC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,FNAC FP Equity_DX_DEMAND_SUPPLY_RATIO,FNAC FP Equity_PX_LAST
2013-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
2013-06-21,5500.0,111210.0,0.05,0.17,0.03,0.11,0.0,0.0,5500.0,0.0,111210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,0.0,0.11,0.0,0.0,0.0,8.19,8.19,61679.0,1247149.38,0.0,1.23,8.27,0.0,0.0,0.0,0.0819,20.22
2013-06-24,5500.0,103840.0,0.05,0.1,0.03,0.11,0.0,0.0,5500.0,0.0,103840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,14.93,14.93,31340.0,591699.2,0.0,0.63,14.94,0.0,0.0,0.0,0.1493,18.88
2013-06-25,10500.0,189210.0,0.1,0.16,0.06,0.2,0.0,0.0,10500.0,0.0,189210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.2,0.0,0.0,0.0,100.0,8.66,0.0,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.0866,18.02
2013-06-26,21417.0,368372.4,0.21,0.28,0.13,0.39,0.0,46302.4,18725.0,2692.0,322070.0,0.0,0.0,0.0,0.0,0.0,2692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,8225.0,0.0,0.34,0.0,0.0,0.0,13.06,13.06,124668.0,2144289.6,0.0,2.24,13.09,24.06,0.3474,48.64,0.1494,17.2
2013-06-27,33903.0,537362.55,0.33,0.35,0.2,0.61,0.0,271890.9,16749.0,17154.0,265471.65,0.0,0.0,0.0,0.0,0.0,14462.0,0.0,0.1,0.0,5750.0,0.0,0.0,0.0,0.0,0.28,3774.0,0.0,0.28,0.0,0.0,0.0,6.68,6.68,234059.0,3709835.15,0.0,3.93,6.72,16.81,0.3552,55.43,0.1352,15.85
2013-06-28,65892.0,1074039.6,0.71,0.59,0.4,1.1,0.0,835521.7,24115.0,51259.0,393074.5,0.0,0.0,1500.0,0.0,0.0,34105.0,0.0,0.09,0.0,5000.0,0.0,0.0,0.0,1500.0,0.54,10866.0,0.0,0.39,0.0,0.0,0.0,9.21,9.21,237771.0,3875667.3,0.0,3.8,9.3,23.6,0.1872,28.13,0.2516,16.3
2013-07-01,82555.0,1311798.95,0.89,0.68,0.5,1.38,0.0,862270.85,37772.0,54265.0,600197.08,0.0,0.0,6485.0,0.04,0.0,8000.0,0.0,0.04,2475.0,2505.0,0.0,0.0,0.04,6485.0,0.14,9677.0,7469.0,0.6,0.12,0.0,0.0,10.84,10.84,310571.0,4934973.19,0.0,5.01,10.76,18.97,0.1404,21.91,0.237,15.89
2013-07-02,158365.0,2410315.3,1.71,1.25,0.95,2.56,0.0,1430527.8,155635.0,93990.0,2368764.7,0.0,0.0,914.0,0.13,0.0,31822.0,0.0,0.1,7903.0,6080.0,0.0,0.0,0.13,914.0,0.51,123029.0,0.0,2.47,0.0,0.0,0.0,30.99,30.99,346560.0,5274643.2,0.0,5.43,31.27,11.44,0.1281,27.97,0.3153,15.22
2013-07-03,165261.0,2412810.6,1.79,1.25,1.0,2.62,0.0,1411995.2,157695.0,96712.0,2302347.0,0.0,0.0,2313.0,0.09,0.0,0.0,0.0,0.13,5837.0,8121.0,0.0,0.0,0.09,2313.0,0.0,7868.0,3115.0,2.48,0.06,0.0,0.0,33.73,33.73,309801.0,4523094.6,0.0,4.67,34.69,11.01,0.1186,26.5,0.3535,14.6
2013-07-04,370730.0,5538706.2,4.0,2.67,2.23,5.66,0.0,3584927.7,255411.0,239955.0,3815840.34,0.0,0.0,18015.0,1.64,0.0,40000.0,0.0,0.16,107872.0,9711.0,0.0,0.0,1.64,18015.0,0.62,89412.0,4629.0,3.76,0.07,0.0,0.0,36.81,36.81,438439.0,6550278.66,0.0,6.47,36.76,15.26,0.1253,24.95,0.5343,14.94
2013-07-05,364501.0,5412839.85,3.94,2.56,2.2,5.48,0.0,4022271.0,246924.0,270860.0,3666821.4,0.0,0.0,2943.0,0.51,0.0,55.0,0.0,0.62,34278.0,41656.0,0.0,0.0,0.51,2943.0,0.0,30226.0,3428.0,3.66,0.1,0.0,0.0,38.13,38.13,400704.0,5950454.4,0.0,5.84,38.55,13.38,0.1175,24.62,0.5628,14.85
2013-07-08,540807.0,8085064.65,5.84,3.69,3.26,8.11,0.0,6717662.9,256439.0,449342.0,3833763.05,0.0,0.0,3022.0,1.36,0.0,87328.0,0.0,0.12,91154.0,8353.0,0.0,0.0,1.36,3022.0,1.3,14846.0,0.0,3.81,0.0,0.0,0.0,38.7,38.7,406169.0,6072226.55,0.0,5.88,39.32,16.6,0.1108,18.37,0.8162,14.95
