DATE,CE8 FP Equity_DX_SI_QTY,CE8 FP Equity_DX_SHORT_INTEREST_VALUE,CE8 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CE8 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CE8 FP Equity_DX_SI_MV,CE8 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CE8 FP Equity_DX_SUPPLY_SI_QTY,CE8 FP Equity_DX_BROKER_SI_QTY,CE8 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CE8 FP Equity_DX_SUPPLY_SI_QTY_INC_x,CE8 FP Equity_DX_BROKER_SI_MV_INC_x,CE8 FP Equity_DX_BROKER_SI_QTY_ADD,CE8 FP Equity_DX_SUPPLY_SI_MV_DEC,CE8 FP Equity_DX_BROKER_SI_QTY_INC,CE8 FP Equity_DX_SUPPLY_SI_QTY_DEC,CE8 FP Equity_DX_BROKER_SI_MV_INC_y,CE8 FP Equity_DX_SUPPLY_SI_QTY_INC_y,CE8 FP Equity_DX_BROKER_SI_MV_ADD,CE8 FP Equity_DX_SUPPLY_SI_QTY_ADD,CE8 FP Equity_DX_BROKER_SI_QTY_DEC,CE8 FP Equity_DX_SUPPLY_SI_MV,CE8 FP Equity_DX_BROKER_SI_MV_DEC,CE8 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CE8 FP Equity_DX_UTILIZATION_QUANTITY,CE8 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CE8 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CE8 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CE8 FP Equity_DX_ACTIVE_UTILIZATION_MV,CE8 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CE8 FP Equity_DX_BROKER_SI_CON_RATIO,CE8 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CE8 FP Equity_DX_DEMAND_SUPPLY_RATIO,CE8 FP Equity_PX_LAST
2009-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.45
2009-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.56
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.04
2009-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.76
2009-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.61
2009-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.39
2009-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.83
2009-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.14
2009-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.12
2009-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.69
