DATE,BN FP Equity_DX_SI_QTY,BN FP Equity_DX_SHORT_INTEREST_VALUE,BN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,BN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,BN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,BN FP Equity_DX_SI_MV,BN FP Equity_DX_DSS,BN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,BN FP Equity_DX_SUPPLY_SI_QTY,BN FP Equity_DX_BROKER_SI_QTY,BN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,BN FP Equity_DX_BROKER_SI_MV_NEW_x,BN FP Equity_DX_SUPPLY_SI_QTY_NEW_x,BN FP Equity_DX_SUPPLY_SI_QTY_INC_x,BN FP Equity_DX_BROKER_SI_MV_INC_x,BN FP Equity_DX_SUPPLY_SI_MV_NEW,BN FP Equity_DX_BROKER_SI_QTY_ADD,BN FP Equity_DX_BROKER_SI_QTY_NEW,BN FP Equity_DX_SUPPLY_SI_MV_DEC,BN FP Equity_DX_BROKER_SI_QTY_INC,BN FP Equity_DX_SUPPLY_SI_QTY_DEC,BN FP Equity_DX_BROKER_SI_MV_NEW_y,BN FP Equity_DX_SUPPLY_SI_QTY_NEW_y,BN FP Equity_DX_BROKER_SI_MV_INC_y,BN FP Equity_DX_SUPPLY_SI_QTY_INC_y,BN FP Equity_DX_BROKER_SI_MV_ADD,BN FP Equity_DX_SUPPLY_SI_QTY_ADD,BN FP Equity_DX_BROKER_SI_QTY_DEC,BN FP Equity_DX_SUPPLY_SI_MV,BN FP Equity_DX_BROKER_SI_MV_DEC,BN FP Equity_DX_SUPPLY_SI_MV_RMV,BN FP Equity_DX_BROKER_SI_MV_RMV,BN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,BN FP Equity_DX_UTILIZATION_QUANTITY,BN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,BN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,BN FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,BN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,BN FP Equity_DX_ACTIVE_UTILIZATION_MV,BN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,BN FP Equity_DX_BROKER_SI_CON_RATIO,BN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,BN FP Equity_DX_DEMAND_SUPPLY_RATIO,BN FP Equity_PX_LAST
2006-07-03,13736075.0,1032978463.65,6.13,9.76,5.19,1365.13,2.0,638877146.93,9409742.0,8495496.0,707630151.59,0.0,51402.0,262123.0,48.23,5.1,0.0,0.0,6.99,330280.0,101888.0,0.0,51402.0,48.23,262123.0,0.0,40453.0,430160.0,928.34,31.93,2.54,0.0,27.19,27.19,25192170.0,1894498178.17,26763.0,2493.67,27.13,16.85,0.1632,33.38,0.397,99.35
2006-07-04,13649187.0,1023344844.38,6.09,9.92,5.15,1356.97,2.0,633102444.24,9376253.0,8444205.0,702982541.53,0.0,0.0,44558.0,2.76,0.0,0.0,0.0,7.7,27748.0,78048.0,0.0,0.0,2.76,44558.0,0.0,0.0,79039.0,925.18,7.6,0.0,0.0,27.01,27.01,25339564.0,1899828332.5,0.0,2509.98,26.93,16.99,0.1646,33.6,0.3932,99.05
2006-07-05,14436265.0,1071974847.21,6.45,10.84,5.45,1448.17,2.0,681559730.15,9643285.0,9178552.0,716068800.66,0.0,26763.0,92869.0,86.67,2.62,0.0,0.0,20.55,808701.0,264250.0,0.0,26763.0,86.67,92869.0,0.0,411650.0,74354.0,959.25,2.99,0.0,0.0,27.41,27.41,25542244.0,1896657003.0,0.0,2543.86,27.38,16.13,0.1517,31.51,0.4103,98.1
2006-07-06,14455746.0,1087099065.35,6.45,11.02,5.46,1435.68,2.0,698553436.84,9395986.0,9289044.0,706595674.73,0.0,0.0,17371.0,29.44,0.0,0.0,0.0,24.09,357406.0,189230.0,0.0,0.0,29.44,17371.0,0.0,2277.0,246915.0,926.83,24.99,7.73,0.0,26.87,26.87,25574326.0,1923237022.25,77718.0,2539.36,26.74,15.87,0.1522,31.66,0.4134,99.35
2006-07-07,13693563.0,1034445816.79,6.11,10.84,5.17,1375.28,2.0,644065657.66,9401759.0,8525873.0,710232265.19,0.0,0.0,26121.0,2.91,0.0,0.0,0.0,0.32,26485.0,20348.0,0.0,0.0,2.91,26121.0,0.0,0.0,789656.0,937.5,73.58,0.0,0.0,26.89,26.89,25560096.0,1930873241.98,0.0,2560.56,26.8,16.8,0.1359,27.97,0.3917,99.8
2006-07-10,13120025.0,993105540.47,5.86,10.56,4.95,1328.88,1.0,601737093.34,9362860.0,7949614.0,708711160.28,0.0,0.0,23545.0,7.71,0.0,0.0,0.0,5.36,47054.0,62445.0,0.0,0.0,7.71,23545.0,0.0,0.0,623313.0,940.21,60.79,0.0,0.0,26.74,26.74,25648840.0,1941460104.73,0.0,2581.67,26.7,17.55,0.1435,29.23,0.3747,100.0
2006-07-11,13008886.0,967460871.35,5.81,10.45,4.91,1314.25,1.0,585940311.35,9243719.0,7878800.0,687448290.21,0.0,0.0,16830.0,1.85,0.0,0.0,0.0,14.65,29146.0,135971.0,0.0,0.0,1.85,16830.0,0.0,0.0,99960.0,924.68,10.17,0.0,0.0,26.58,26.58,25534152.0,1898955294.33,0.0,2555.43,26.57,17.62,0.1468,29.79,0.3741,98.25
2006-07-12,13461154.0,1009756574.32,6.01,11.15,5.08,1346.0,2.0,603629790.08,9524427.0,8047042.0,714452325.55,0.0,26763.0,39555.0,15.78,2.65,0.0,0.0,9.76,195161.0,95468.0,0.0,26763.0,15.78,39555.0,0.0,309858.0,26920.0,945.1,3.93,0.0,0.0,27.14,27.14,25563140.0,1917558381.33,0.0,2548.6,27.05,17.68,0.1534,31.01,0.3836,99.1
2006-07-13,13407395.0,989993676.11,5.99,11.46,5.06,1345.12,2.0,587432623.56,9400607.0,7955547.0,694134951.76,0.0,0.0,15885.0,7.58,0.0,0.0,0.0,10.99,75990.0,112942.0,0.0,0.0,7.58,15885.0,0.0,0.0,167485.0,935.1,15.01,2.65,0.0,26.87,26.87,25587160.0,1889339919.47,26763.0,2545.77,26.86,17.6,0.1511,30.71,0.3832,97.55
2006-07-14,13261146.0,968654972.13,5.92,11.35,5.01,1314.35,2.0,570378541.82,9396990.0,7808635.0,686399281.52,0.0,0.0,11203.0,0.12,0.0,0.0,0.0,5.38,3003.0,14820.0,0.0,0.0,0.12,11203.0,0.0,0.0,149915.0,923.47,20.71,0.0,0.0,26.79,26.79,25674786.0,1875404216.0,0.0,2527.9,26.76,17.8,0.1528,30.97,0.3781,96.5
