DATE,ALIMP FP Equity_DX_SI_QTY,ALIMP FP Equity_DX_SHORT_INTEREST_VALUE,ALIMP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALIMP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALIMP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALIMP FP Equity_DX_SI_MV,ALIMP FP Equity_DX_DSS,ALIMP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALIMP FP Equity_DX_SUPPLY_SI_QTY,ALIMP FP Equity_DX_BROKER_SI_QTY,ALIMP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALIMP FP Equity_DX_BROKER_SI_MV_NEW_x,ALIMP FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALIMP FP Equity_DX_BROKER_SI_MV_INC_x,ALIMP FP Equity_DX_BROKER_SI_QTY_ADD,ALIMP FP Equity_DX_BROKER_SI_QTY_NEW,ALIMP FP Equity_DX_SUPPLY_SI_MV_DEC,ALIMP FP Equity_DX_BROKER_SI_QTY_INC,ALIMP FP Equity_DX_SUPPLY_SI_QTY_DEC,ALIMP FP Equity_DX_BROKER_SI_MV_NEW_y,ALIMP FP Equity_DX_BROKER_SI_MV_INC_y,ALIMP FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALIMP FP Equity_DX_BROKER_SI_MV_ADD,ALIMP FP Equity_DX_SUPPLY_SI_QTY_ADD,ALIMP FP Equity_DX_BROKER_SI_QTY_DEC,ALIMP FP Equity_DX_SUPPLY_SI_MV,ALIMP FP Equity_DX_BROKER_SI_MV_DEC,ALIMP FP Equity_DX_SUPPLY_SI_MV_RMV,ALIMP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALIMP FP Equity_DX_UTILIZATION_QUANTITY,ALIMP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALIMP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALIMP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALIMP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALIMP FP Equity_DX_ACTIVE_UTILIZATION_MV,ALIMP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALIMP FP Equity_DX_BROKER_SI_CON_RATIO,ALIMP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALIMP FP Equity_DX_DEMAND_SUPPLY_RATIO,ALIMP FP Equity_PX_LAST
2013-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19230.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19230.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19230.0,138456.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,7.2
2013-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19230.0,138456.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,7.2
2013-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19230.0,138456.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,7.2
2013-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19230.0,134610.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,7.0
2013-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19230.0,134610.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,7.0
2013-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19230.0,133840.8,0.0,0.14,0.0,0.0,0.0,0.0,0.0,6.96
2013-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19230.0,130764.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,6.8
2013-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19230.0,130764.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,6.8
2013-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19230.0,130571.7,0.0,0.13,0.0,0.0,0.0,0.0,0.0,6.79
2013-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19230.0,125187.3,0.0,0.13,0.0,0.0,0.0,0.0,0.0,6.51
2013-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19230.0,122302.8,0.0,0.13,0.0,0.0,0.0,0.0,0.0,6.36
2013-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19230.0,122495.1,0.0,0.12,0.0,0.0,0.0,0.0,0.0,6.37
2013-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19230.0,123072.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,6.4
2013-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19230.0,120187.5,0.0,0.12,0.0,0.0,0.0,0.0,0.0,6.25
2013-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19230.0,119226.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,6.2
2013-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19230.0,120956.7,0.0,0.12,0.0,0.0,0.0,0.0,0.0,6.29
2013-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19230.0,133648.5,0.0,0.12,0.0,0.0,0.0,0.0,0.0,6.95
2013-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19230.0,132879.3,0.0,0.13,0.0,0.0,0.0,0.0,0.0,6.91
2013-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19230.0,132302.4,0.0,0.13,0.0,0.0,0.0,0.0,0.0,6.88
