DATE,ALTAI FP Equity_DX_SI_QTY,ALTAI FP Equity_DX_SHORT_INTEREST_VALUE,ALTAI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALTAI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALTAI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALTAI FP Equity_DX_SI_MV,ALTAI FP Equity_DX_DSS,ALTAI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALTAI FP Equity_DX_SUPPLY_SI_QTY,ALTAI FP Equity_DX_BROKER_SI_QTY,ALTAI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALTAI FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALTAI FP Equity_DX_BROKER_SI_MV_INC_x,ALTAI FP Equity_DX_BROKER_SI_QTY_ADD,ALTAI FP Equity_DX_SUPPLY_SI_MV_DEC,ALTAI FP Equity_DX_BROKER_SI_QTY_INC,ALTAI FP Equity_DX_SUPPLY_SI_QTY_DEC,ALTAI FP Equity_DX_BROKER_SI_MV_INC_y,ALTAI FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALTAI FP Equity_DX_BROKER_SI_MV_ADD,ALTAI FP Equity_DX_SUPPLY_SI_QTY_ADD,ALTAI FP Equity_DX_BROKER_SI_QTY_DEC,ALTAI FP Equity_DX_SUPPLY_SI_MV,ALTAI FP Equity_DX_BROKER_SI_MV_DEC,ALTAI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALTAI FP Equity_DX_UTILIZATION_QUANTITY,ALTAI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALTAI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALTAI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALTAI FP Equity_DX_ACTIVE_UTILIZATION_MV,ALTAI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALTAI FP Equity_DX_BROKER_SI_CON_RATIO,ALTAI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALTAI FP Equity_DX_DEMAND_SUPPLY_RATIO,ALTAI FP Equity_PX_LAST
2024-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.35
2024-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.35
2024-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.35
2024-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.62
2024-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.79
2024-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8
2024-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
2024-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1
2024-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.29
2024-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.72
2024-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
2024-12-06,2462.0,35699.0,0.05,0.08,0.05,0.03,0.0,35699.0,0.0,2462.0,0.0,0.0,0.0,2462.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,14.5
2024-12-09,2462.0,34768.36,0.04,0.08,0.04,0.04,0.0,34768.36,0.0,2462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,14.122
2024-12-10,2464.0,33998.27,0.04,0.08,0.04,0.03,0.0,33998.27,0.0,2464.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,2.0533,13.798
2024-12-11,2514.0,37056.36,0.04,0.08,0.04,0.03,0.0,37056.36,0.0,2514.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,25.14,14.74
2024-12-12,4114.0,58418.8,0.07,0.12,0.07,0.06,0.0,58418.8,1600.0,4114.0,22720.0,0.0,0.03,0.0,0.0,1600.0,0.0,0.03,0.0,0.0,1600.0,0.0,0.02,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,1.0,100.0,2.5713,14.2
2024-12-13,4114.0,57925.12,0.07,0.12,0.07,0.06,0.0,57925.12,1600.0,4114.0,22528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,1.0,100.0,2.5713,14.08
2024-12-16,4114.0,55374.44,0.07,0.12,0.07,0.06,0.0,55374.44,1600.0,4114.0,21536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,1.0,100.0,2.5713,13.46
2024-12-17,4214.0,54453.31,0.07,0.12,0.07,0.06,0.0,54453.31,1700.0,4214.0,21967.4,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.02,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,1.0,100.0,2.4788,12.922
2024-12-18,5959.0,70316.2,0.1,0.17,0.1,0.08,0.0,70316.2,1700.0,5959.0,20060.0,0.0,0.02,0.0,0.0,1745.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,1.0,100.0,3.5053,11.8
2024-12-19,5859.0,65620.8,0.1,0.16,0.1,0.07,0.0,65620.8,1600.0,5859.0,17920.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.02,0.01,100.0,100.0,0.0,0.0,0.0,100.0,0.0,1.0,100.0,3.6619,11.2
2024-12-20,5859.0,77631.75,0.1,0.16,0.1,0.07,0.0,77631.75,1600.0,5859.0,21200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,1.0,100.0,3.6619,13.25
