DATE,CD9 FP Equity_DX_DSS,CD9 FP Equity_PX_LAST
2009-03-04,0.0,37.71
2009-03-05,0.0,35.79
2009-03-06,0.0,35.1
2009-03-09,0.0,34.84
2009-03-10,0.0,37.16
2009-03-11,0.0,37.35
2009-03-12,0.0,37.95
2009-03-13,0.0,38.18
2009-03-16,0.0,39.21
2009-03-17,0.0,39.04
2009-03-19,0.0,39.96
2009-03-20,0.0,39.92
2009-03-23,0.0,41.41
2009-03-24,0.0,41.27
2009-03-25,0.0,41.61
2009-03-26,0.0,41.76
2009-03-27,0.0,41.42
2009-03-30,0.0,39.26
2009-03-31,0.0,40.69
2009-04-01,0.0,40.32
2009-04-02,0.0,44.19
2009-04-03,0.0,43.86
2009-04-06,0.0,43.55
2009-04-07,0.0,42.94
2009-04-08,0.0,43.21
2009-04-09,0.0,44.58
2009-04-14,0.0,45.63
2009-04-15,0.0,45.09
2009-04-16,0.0,46.08
2009-04-17,0.0,47.47
2009-04-20,0.0,45.51
2009-04-21,0.0,45.29
2009-04-22,0.0,46.09
2009-04-23,0.0,46.01
2009-04-24,0.0,47.25
2009-04-27,0.0,47.56
2009-04-28,0.0,46.79
2009-04-29,0.0,48.03
2009-04-30,0.0,49.16
2009-05-04,0.0,50.26
2009-05-05,0.0,50.72
2009-05-06,0.0,51.42
2009-05-07,0.0,50.86
2009-05-08,0.0,52.06
2009-05-11,0.0,51.33
2009-05-12,0.0,51.01
2009-05-13,0.0,49.3
2009-05-14,0.0,49.37
2009-05-15,0.0,49.7
2009-05-18,0.0,51.47
2009-05-19,0.0,52.08
2009-05-20,0.0,52.23
2009-05-21,0.0,50.7
2009-05-22,0.0,51.02
2009-05-25,0.0,51.07
2009-05-26,0.0,51.56
2009-05-27,0.0,52.06
2009-05-28,0.0,51.36
2009-05-29,0.0,51.49
2009-06-01,0.0,53.15
2009-06-02,0.0,53.0
2009-06-03,0.0,52.0
2009-06-04,0.0,51.8
2009-06-05,0.0,52.01
2009-06-08,0.0,51.67
2009-06-09,0.0,52.08
2009-06-10,0.0,52.76
2009-06-11,0.0,53.19
2009-06-12,0.0,52.94
2009-06-15,0.0,51.74
2009-06-16,0.0,51.77
2009-06-17,0.0,51.03
2009-06-18,0.0,51.11
2009-06-19,0.0,51.87
2009-06-22,0.0,50.37
2009-06-23,0.0,50.01
