DATE,ALBOU FP Equity_DX_SI_QTY,ALBOU FP Equity_DX_SHORT_INTEREST_VALUE,ALBOU FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALBOU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALBOU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALBOU FP Equity_DX_SI_MV,ALBOU FP Equity_DX_DSS,ALBOU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALBOU FP Equity_DX_SUPPLY_SI_QTY,ALBOU FP Equity_DX_BROKER_SI_QTY,ALBOU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALBOU FP Equity_DX_BROKER_SI_MV_NEW_x,ALBOU FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALBOU FP Equity_DX_BROKER_SI_MV_INC_x,ALBOU FP Equity_DX_BROKER_SI_QTY_ADD,ALBOU FP Equity_DX_BROKER_SI_QTY_NEW,ALBOU FP Equity_DX_SUPPLY_SI_MV_DEC,ALBOU FP Equity_DX_BROKER_SI_QTY_INC,ALBOU FP Equity_DX_SUPPLY_SI_QTY_DEC,ALBOU FP Equity_DX_BROKER_SI_MV_NEW_y,ALBOU FP Equity_DX_BROKER_SI_MV_INC_y,ALBOU FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALBOU FP Equity_DX_BROKER_SI_MV_ADD,ALBOU FP Equity_DX_SUPPLY_SI_QTY_ADD,ALBOU FP Equity_DX_BROKER_SI_QTY_DEC,ALBOU FP Equity_DX_SUPPLY_SI_MV,ALBOU FP Equity_DX_BROKER_SI_MV_DEC,ALBOU FP Equity_DX_SUPPLY_SI_MV_RMV,ALBOU FP Equity_DX_BROKER_SI_MV_RMV,ALBOU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALBOU FP Equity_DX_UTILIZATION_QUANTITY,ALBOU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALBOU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALBOU FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALBOU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALBOU FP Equity_DX_ACTIVE_UTILIZATION_MV,ALBOU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALBOU FP Equity_DX_BROKER_SI_CON_RATIO,ALBOU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALBOU FP Equity_DX_DEMAND_SUPPLY_RATIO,ALBOU FP Equity_PX_LAST
2006-07-03,24108.0,821270.34,2.96,27.44,0.43,1.06,0.0,481220.54,9982.0,14126.0,340049.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,26.0,0.44,0.0,0.0,0.0,20.77,19.94,38088.0,1297517.2,0.0,0.0,0.0,15.63,0.7363,84.37,0.4815,44.1
2006-07-04,24015.0,825522.6,2.94,30.15,0.43,1.07,0.0,484691.59,9915.0,14100.0,340831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,26.0,0.44,0.0,0.0,0.0,20.8,19.96,37757.0,1297907.84,0.0,0.0,0.0,15.66,0.7359,84.34,0.4835,44.5
2006-07-05,24479.0,837690.83,3.0,32.26,0.44,1.08,0.0,484361.13,10325.0,14154.0,353329.7,0.0,411.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,411.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,21.25,20.41,38255.0,1309116.5,0.0,0.0,0.0,15.6,0.7367,84.4,0.484,44.3
2006-07-06,24557.0,840360.05,3.01,23.56,0.44,1.09,0.0,488056.97,10295.0,14262.0,352303.08,0.0,0.0,0.0,0.0,0.0,0.0,108.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,21.21,20.37,38240.0,1308603.19,0.0,0.0,0.0,15.48,0.7383,84.52,0.486,44.3
2006-07-07,47844.0,1649248.76,5.87,46.25,0.86,2.11,0.0,1290298.27,10413.0,37431.0,358950.49,0.0,119.0,1.02,0.0,0.0,0.0,23168.0,0.0,0.0,1.02,119.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,20.53,20.53,40297.0,1389093.24,0.0,1.77,20.53,5.9,0.889,94.1,0.9435,44.02
2006-07-10,47656.0,1649858.69,5.84,47.68,0.86,2.11,0.0,1290605.21,10377.0,37279.0,359253.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,152.0,0.46,0.0,0.0,0.0,21.33,20.49,38280.0,1325260.0,0.0,0.0,0.0,5.92,0.8886,94.08,0.9408,44.21
2006-07-11,46053.0,1644490.67,5.65,47.56,0.83,2.1,0.0,1285333.02,10057.0,35995.0,359121.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,1284.0,0.46,0.01,0.0,0.0,20.87,20.04,38125.0,1361392.46,0.0,0.0,0.0,6.13,0.8848,93.87,0.9177,45.6
2006-07-12,46036.0,1658303.66,5.65,42.07,0.83,2.12,0.0,1291240.61,10190.0,35846.0,367063.04,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,149.0,0.47,0.0,0.0,0.0,21.06,20.23,38189.0,1375639.9,0.0,0.0,0.0,6.16,0.8844,93.84,0.9138,46.0
2006-07-13,37459.0,1349343.92,4.59,34.06,0.67,1.72,0.0,980083.54,10251.0,27208.0,369260.38,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,8638.0,0.47,0.4,0.0,0.0,21.15,20.31,38218.0,1376684.53,0.0,0.0,0.0,8.12,0.8509,91.88,0.7422,46.0
2006-07-14,37459.0,1349343.92,4.59,34.52,0.67,1.72,0.0,980083.54,10251.0,27208.0,369260.38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,21.15,20.31,38219.0,1376720.55,0.0,0.0,0.0,8.12,0.8509,91.88,0.7422,46.0
2006-07-17,38644.0,1346637.58,4.74,35.76,0.69,1.72,0.0,977500.54,10593.0,28051.0,369137.04,0.0,342.0,0.0,0.0,0.0,0.0,843.0,0.0,0.0,0.0,342.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,21.63,20.78,38384.0,1337577.29,0.0,0.0,0.0,7.87,0.855,92.13,0.7581,44.5
2006-07-18,12981.0,447168.04,1.59,11.74,0.23,0.57,0.0,76060.94,10773.0,2208.0,371107.1,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,25843.0,0.47,1.15,0.0,0.0,21.88,21.02,38471.0,1325244.72,0.0,0.0,0.0,0.0,1.0,100.0,0.2533,43.99
2006-07-19,12603.0,429310.82,1.55,11.37,0.23,0.55,0.0,75213.7,10395.0,2208.0,354097.12,0.0,0.0,0.0,0.0,0.0,0.02,0.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,21.35,20.51,38288.0,1304249.21,0.0,0.0,0.0,0.0,1.0,100.0,0.2487,43.5
2006-07-20,12606.0,429511.73,1.55,12.37,0.23,0.55,0.0,75230.99,10398.0,2208.0,354280.74,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,21.36,20.51,38289.0,1304583.11,0.0,0.0,0.0,0.0,1.0,100.0,0.2487,43.51
