DATE,AWAT FP Equity_DX_SI_QTY,AWAT FP Equity_DX_SHORT_INTEREST_VALUE,AWAT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AWAT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AWAT FP Equity_DX_SI_MV,AWAT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AWAT FP Equity_DX_SUPPLY_SI_QTY,AWAT FP Equity_DX_BROKER_SI_QTY,AWAT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AWAT FP Equity_DX_SUPPLY_SI_QTY_INC_x,AWAT FP Equity_DX_BROKER_SI_MV_INC_x,AWAT FP Equity_DX_BROKER_SI_QTY_ADD,AWAT FP Equity_DX_SUPPLY_SI_MV_DEC,AWAT FP Equity_DX_BROKER_SI_QTY_INC,AWAT FP Equity_DX_SUPPLY_SI_QTY_DEC,AWAT FP Equity_DX_BROKER_SI_MV_INC_y,AWAT FP Equity_DX_SUPPLY_SI_QTY_INC_y,AWAT FP Equity_DX_BROKER_SI_MV_ADD,AWAT FP Equity_DX_SUPPLY_SI_QTY_ADD,AWAT FP Equity_DX_BROKER_SI_QTY_DEC,AWAT FP Equity_DX_SUPPLY_SI_MV,AWAT FP Equity_DX_BROKER_SI_MV_DEC,AWAT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AWAT FP Equity_DX_UTILIZATION_QUANTITY,AWAT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AWAT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AWAT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AWAT FP Equity_DX_ACTIVE_UTILIZATION_MV,AWAT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AWAT FP Equity_DX_BROKER_SI_CON_RATIO,AWAT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AWAT FP Equity_DX_DEMAND_SUPPLY_RATIO,AWAT FP Equity_PX_LAST
2014-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.15
2014-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.15
2014-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.21
2014-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.29
2014-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.43
2014-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.39
2014-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.39
2014-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.46
2014-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4
2014-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.43
