DATE,PLNW FP Equity_DX_SI_QTY,PLNW FP Equity_DX_SHORT_INTEREST_VALUE,PLNW FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,PLNW FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PLNW FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PLNW FP Equity_DX_SI_MV,PLNW FP Equity_DX_DSS,PLNW FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PLNW FP Equity_DX_SUPPLY_SI_QTY,PLNW FP Equity_DX_BROKER_SI_QTY,PLNW FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PLNW FP Equity_DX_BROKER_SI_MV_NEW_x,PLNW FP Equity_DX_SUPPLY_SI_QTY_INC_x,PLNW FP Equity_DX_BROKER_SI_MV_INC_x,PLNW FP Equity_DX_BROKER_SI_QTY_ADD,PLNW FP Equity_DX_BROKER_SI_QTY_NEW,PLNW FP Equity_DX_SUPPLY_SI_MV_DEC,PLNW FP Equity_DX_BROKER_SI_QTY_INC,PLNW FP Equity_DX_SUPPLY_SI_QTY_DEC,PLNW FP Equity_DX_BROKER_SI_MV_NEW_y,PLNW FP Equity_DX_BROKER_SI_MV_INC_y,PLNW FP Equity_DX_SUPPLY_SI_QTY_INC_y,PLNW FP Equity_DX_BROKER_SI_MV_ADD,PLNW FP Equity_DX_SUPPLY_SI_QTY_ADD,PLNW FP Equity_DX_BROKER_SI_QTY_DEC,PLNW FP Equity_DX_SUPPLY_SI_MV,PLNW FP Equity_DX_BROKER_SI_MV_DEC,PLNW FP Equity_DX_SUPPLY_SI_MV_RMV,PLNW FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PLNW FP Equity_DX_UTILIZATION_QUANTITY,PLNW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PLNW FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PLNW FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,PLNW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PLNW FP Equity_DX_ACTIVE_UTILIZATION_MV,PLNW FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PLNW FP Equity_DX_BROKER_SI_CON_RATIO,PLNW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PLNW FP Equity_DX_DEMAND_SUPPLY_RATIO,PLNW FP Equity_PX_LAST
2024-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
2024-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.09
2024-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9
2024-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2847527.0,57961412.09,0.0,56.75,0.0,0.0,0.0,0.0,0.0,20.355
2024-04-23,30927.0,621014.16,0.04,0.32,0.04,0.63,0.0,621014.16,30927.0,30927.0,621014.16,0.0,0.0,0.0,30927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,30927.0,0.0,0.62,0.0,0.0,0.58,0.58,5331883.0,107064210.64,0.0,107.98,0.57,0.0,1.0,100.0,0.0058,20.08
2024-04-24,89666.0,1835463.02,0.13,0.93,0.13,1.82,0.0,1835463.02,89666.0,89666.0,1835463.02,0.0,0.0,1.19,0.0,0.0,0.0,58739.0,0.0,0.0,1.19,0.0,0.0,58739.0,0.0,1.81,0.0,0.0,1.66,1.66,5316247.0,108823576.09,0.0,106.75,1.67,0.0,1.0,100.0,0.0166,20.47
2024-04-25,112586.0,2285495.8,0.16,1.13,0.16,2.29,0.0,1504737.5,74125.0,74125.0,1504737.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,20278.0,0.0,0.0,0.0,0.0,4737.0,15541.0,1.51,0.32,0.0,18.41,1.33,328454.0,6667616.2,0.0,6.7,18.37,0.0,1.0,100.0,0.0202,20.3
2024-04-26,148250.0,3009475.0,0.21,1.49,0.21,3.01,0.0,1504737.5,74125.0,74125.0,1504737.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,0.0,18.41,1.33,328454.0,6667616.2,0.0,6.68,18.39,0.0,1.0,100.0,0.0265,20.3
2024-04-29,4737.0,98529.6,0.01,0.05,0.01,0.1,0.0,98529.6,0.0,4737.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,74125.0,0.0,0.0,0.0,0.0,0.0,69388.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0009,20.8
2024-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4737.0,0.0,0.1,0.0,0.0,0.0,5748746.0,117763061.81,0.0,119.94,0.0,0.0,0.0,0.0,0.0,20.485
