DATE,ALGIL FP Equity_DX_SI_QTY,ALGIL FP Equity_DX_SHORT_INTEREST_VALUE,ALGIL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALGIL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALGIL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALGIL FP Equity_DX_SI_MV,ALGIL FP Equity_DX_DSS,ALGIL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALGIL FP Equity_DX_SUPPLY_SI_QTY,ALGIL FP Equity_DX_BROKER_SI_QTY,ALGIL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALGIL FP Equity_DX_BROKER_SI_MV_NEW_x,ALGIL FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALGIL FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALGIL FP Equity_DX_BROKER_SI_MV_INC_x,ALGIL FP Equity_DX_SUPPLY_SI_MV_NEW,ALGIL FP Equity_DX_BROKER_SI_QTY_ADD,ALGIL FP Equity_DX_BROKER_SI_QTY_NEW,ALGIL FP Equity_DX_SUPPLY_SI_MV_DEC,ALGIL FP Equity_DX_BROKER_SI_QTY_INC,ALGIL FP Equity_DX_SUPPLY_SI_QTY_DEC,ALGIL FP Equity_DX_BROKER_SI_MV_NEW_y,ALGIL FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALGIL FP Equity_DX_BROKER_SI_MV_INC_y,ALGIL FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALGIL FP Equity_DX_BROKER_SI_MV_ADD,ALGIL FP Equity_DX_SUPPLY_SI_QTY_ADD,ALGIL FP Equity_DX_BROKER_SI_QTY_DEC,ALGIL FP Equity_DX_SUPPLY_SI_MV,ALGIL FP Equity_DX_BROKER_SI_MV_DEC,ALGIL FP Equity_DX_SUPPLY_SI_MV_RMV,ALGIL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALGIL FP Equity_DX_UTILIZATION_QUANTITY,ALGIL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALGIL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALGIL FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALGIL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALGIL FP Equity_DX_ACTIVE_UTILIZATION_MV,ALGIL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALGIL FP Equity_DX_BROKER_SI_CON_RATIO,ALGIL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALGIL FP Equity_DX_DEMAND_SUPPLY_RATIO,ALGIL FP Equity_PX_LAST
2006-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1855.0,144690.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,78.0
2006-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1836.0,143208.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,78.0
2006-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1945.0,151710.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,78.0
2006-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1958.0,151745.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,77.5
2006-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1977.0,152229.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,77.0
2006-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970.0,151690.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,77.0
2006-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986.0,147361.2,0.0,0.15,0.0,0.0,0.0,0.0,0.0,74.2
2006-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1949.0,147247.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,75.55
2006-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1935.0,145125.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,75.0
2006-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1942.0,146523.9,0.0,0.15,0.0,0.0,0.0,0.0,0.0,75.45
