DATE,PASI FP Equity_DX_SI_QTY,PASI FP Equity_DX_SHORT_INTEREST_VALUE,PASI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PASI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PASI FP Equity_DX_SI_MV,PASI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PASI FP Equity_DX_SUPPLY_SI_QTY,PASI FP Equity_DX_BROKER_SI_QTY,PASI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PASI FP Equity_DX_BROKER_SI_QTY_ADD,PASI FP Equity_DX_BROKER_SI_MV_ADD,PASI FP Equity_DX_BROKER_SI_QTY_DEC,PASI FP Equity_DX_SUPPLY_SI_MV,PASI FP Equity_DX_BROKER_SI_MV_DEC,PASI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PASI FP Equity_DX_UTILIZATION_QUANTITY,PASI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PASI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PASI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PASI FP Equity_DX_ACTIVE_UTILIZATION_MV,PASI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PASI FP Equity_DX_BROKER_SI_CON_RATIO,PASI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PASI FP Equity_DX_DEMAND_SUPPLY_RATIO,PASI FP Equity_PX_LAST
2014-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.85
2014-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.88
2014-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.82
2014-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.83
2014-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.73
2014-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.79
2014-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.93
2014-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.59
2014-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7
2014-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.69
