DATE,QDT FP Equity_DX_SI_QTY,QDT FP Equity_DX_SHORT_INTEREST_VALUE,QDT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,QDT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,QDT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,QDT FP Equity_DX_SI_MV,QDT FP Equity_DX_DSS,QDT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,QDT FP Equity_DX_SUPPLY_SI_QTY,QDT FP Equity_DX_BROKER_SI_QTY,QDT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,QDT FP Equity_DX_BROKER_SI_MV_NEW_x,QDT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,QDT FP Equity_DX_SUPPLY_SI_QTY_INC_x,QDT FP Equity_DX_BROKER_SI_MV_INC_x,QDT FP Equity_DX_SUPPLY_SI_MV_NEW,QDT FP Equity_DX_BROKER_SI_QTY_ADD,QDT FP Equity_DX_BROKER_SI_QTY_NEW,QDT FP Equity_DX_SUPPLY_SI_MV_DEC,QDT FP Equity_DX_BROKER_SI_QTY_INC,QDT FP Equity_DX_SUPPLY_SI_QTY_DEC,QDT FP Equity_DX_BROKER_SI_MV_NEW_y,QDT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,QDT FP Equity_DX_BROKER_SI_MV_INC_y,QDT FP Equity_DX_SUPPLY_SI_QTY_INC_y,QDT FP Equity_DX_BROKER_SI_MV_ADD,QDT FP Equity_DX_SUPPLY_SI_QTY_ADD,QDT FP Equity_DX_BROKER_SI_QTY_DEC,QDT FP Equity_DX_SUPPLY_SI_MV,QDT FP Equity_DX_BROKER_SI_MV_DEC,QDT FP Equity_DX_SUPPLY_SI_MV_RMV,QDT FP Equity_DX_BROKER_SI_MV_RMV,QDT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,QDT FP Equity_DX_UTILIZATION_QUANTITY,QDT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,QDT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,QDT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,QDT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,QDT FP Equity_DX_ACTIVE_UTILIZATION_MV,QDT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,QDT FP Equity_DX_BROKER_SI_CON_RATIO,QDT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,QDT FP Equity_DX_DEMAND_SUPPLY_RATIO,QDT FP Equity_PX_LAST
2006-07-03,5233704.0,212862792.94,16.38,40.01,16.38,467.81,4.0,138059618.26,2524378.0,3394502.0,102670336.63,0.0,28374.0,162069.0,76.93,2.53,0.0,0.0,0.0,809590.0,11186.0,0.0,28374.0,76.93,162069.0,0.0,426076.0,79766.0,223.54,4.2,0.38,0.0,83.2,60.48,509826.0,20735407.71,4429.0,0.0,154.41,16.88,0.1157,21.17,1.2539,90.9
2006-07-04,5224308.0,212597519.2,16.36,40.12,16.36,469.06,4.0,135222607.19,2615243.0,3322920.0,106424463.09,0.0,0.0,41056.0,3.6,0.0,0.0,0.0,0.0,38994.0,776.0,0.0,0.0,3.6,41056.0,0.0,50586.0,110576.0,233.6,9.41,0.0,0.0,84.44,62.57,481989.0,19614016.95,0.0,0.0,157.69,16.86,0.1087,19.05,1.25,90.95
2006-07-05,5284388.0,214924189.19,16.54,42.88,16.54,478.24,4.0,137198967.84,2708320.0,3373341.0,110151540.74,0.0,4836.0,57877.0,6.7,0.44,0.0,0.0,0.21,58092.0,7946.0,0.0,4836.0,6.7,57877.0,0.0,38310.0,7672.0,243.18,0.0,0.0,0.0,86.98,66.5,405482.0,16491576.71,0.0,0.0,162.33,16.62,0.1066,18.72,1.2975,90.9
2006-07-06,5322260.0,216940771.22,16.66,40.47,16.66,480.56,4.0,138120810.94,2673192.0,3388551.0,108962045.09,0.0,0.0,4542.0,15.96,0.0,0.0,0.0,0.82,172206.0,6782.0,0.0,0.0,15.96,4542.0,0.0,0.0,156996.0,239.29,15.02,2.98,0.0,87.45,64.94,383580.0,15635113.85,32887.0,0.0,159.21,15.94,0.1019,18.55,1.2929,91.1
2006-07-07,6286560.0,254418303.41,19.68,47.53,19.68,569.38,4.0,175612677.48,2687015.0,4339309.0,108744018.6,0.0,0.0,1277.0,94.69,0.0,0.0,0.0,0.0,1038858.0,206.0,0.0,0.0,94.69,1277.0,0.0,12752.0,88100.0,241.03,7.39,0.0,0.0,87.77,64.77,374326.0,15149045.88,0.0,0.0,159.63,13.41,0.1433,31.12,1.5155,90.45
2006-07-10,6323461.0,256293624.38,19.8,48.07,19.8,567.98,4.0,175477526.8,2706690.0,4329508.0,109703750.87,0.0,0.0,10774.0,0.6,0.0,0.0,0.0,0.11,21641.0,1099.0,0.0,0.0,0.6,10774.0,0.0,10000.0,31443.0,240.76,2.87,0.0,0.0,87.91,65.06,372276.0,15088567.05,0.0,0.0,161.27,13.07,0.1436,31.26,1.52,87.6
2006-07-11,6651872.0,266526642.12,20.82,50.11,20.82,585.91,5.0,189203459.48,2661428.0,4722069.0,106637870.98,0.0,0.0,6975.0,30.34,0.0,0.0,0.0,5.85,392561.0,52237.0,0.0,0.0,30.34,6975.0,0.0,0.0,0.0,232.23,0.0,0.0,0.0,86.64,64.05,410375.0,16442870.63,0.0,0.0,158.64,12.48,0.1586,33.98,1.6009,86.6
2006-07-12,6671186.0,268689488.79,20.88,49.3,20.88,587.74,5.0,187665091.56,2740575.0,4659463.0,110379727.94,0.0,3851.0,121769.0,3.78,0.33,0.0,0.0,6.03,43924.0,68232.0,0.0,3851.0,3.78,121769.0,0.0,21759.0,106530.0,238.82,9.49,0.0,0.0,81.18,62.52,635289.0,25586976.09,0.0,0.0,153.47,12.45,0.1496,32.54,1.5219,87.05
2006-07-13,6690848.0,264683050.17,20.95,49.59,20.95,587.78,5.0,186034320.64,2735833.0,4702709.0,108226733.47,0.0,0.0,10482.0,3.62,0.0,0.0,0.0,1.01,46086.0,11562.0,0.0,0.0,3.62,10482.0,0.0,189.0,2840.0,238.03,0.26,0.33,0.0,81.45,62.39,622919.0,24642033.55,3851.0,0.0,155.14,12.22,0.1517,32.98,1.5258,85.5
2006-07-14,6521503.0,254061373.74,20.42,47.4,20.42,566.47,5.0,176781288.27,2687807.0,4537800.0,104710208.49,0.0,0.0,5322.0,0.02,0.0,0.0,0.0,5.24,822.0,53347.0,0.0,0.0,0.02,5322.0,0.0,0.0,165731.0,231.36,17.16,0.0,0.0,80.35,61.21,657239.0,25604380.34,0.0,0.0,154.1,12.13,0.1469,32.1,1.4851,84.2
2006-07-17,6423708.0,249359893.71,20.11,47.0,20.11,554.95,5.0,175152194.44,2596703.0,4512059.0,100800594.31,0.0,0.0,1655.0,0.19,0.0,0.0,0.0,8.34,7808.0,92760.0,0.0,0.0,0.19,1655.0,0.0,0.0,33549.0,222.28,3.96,0.0,0.0,77.8,59.17,741166.0,28771089.06,0.0,0.0,148.83,12.26,0.1485,32.29,1.4638,83.9
2006-07-18,5864927.0,225362213.6,18.36,43.37,18.36,504.68,4.0,148318617.08,2551775.0,3859910.0,98052995.82,0.0,0.0,3634.0,0.61,0.0,0.0,0.0,4.3,9624.0,48562.0,0.0,0.0,0.61,3634.0,0.0,0.0,661773.0,217.77,57.46,0.0,0.0,76.8,52.82,771026.0,29626988.73,0.0,0.0,147.74,11.88,0.1229,27.08,1.2141,83.05
2006-07-19,6244452.0,243557079.84,19.55,46.88,19.55,534.56,4.0,170863869.29,2469216.0,4380703.0,96308697.46,0.0,3851.0,266.0,51.9,0.32,0.0,0.0,8.37,614722.0,90626.0,0.0,3851.0,51.9,266.0,0.0,3950.0,93929.0,209.58,8.41,0.0,0.0,73.89,50.4,872349.0,34024887.22,0.0,0.0,142.67,10.94,0.152,33.05,1.2747,84.3
2006-07-20,6226603.0,240700217.63,19.49,48.17,19.49,534.97,4.0,168574458.84,2466185.0,4360803.0,95334689.91,0.0,0.0,11007.0,2.42,0.0,0.0,0.0,1.19,22195.0,15216.0,0.0,0.0,2.42,11007.0,0.0,5029.0,42095.0,209.73,3.28,0.32,0.0,74.56,50.61,841313.0,32522423.9,3851.0,0.0,145.19,10.8,0.1545,33.5,1.2777,83.55
2006-07-21,4854714.0,186432058.31,15.2,35.29,15.2,414.78,4.0,115095763.3,2483684.0,2997108.0,95379114.06,0.0,0.0,1832.0,0.0,0.0,0.0,0.0,1.16,0.0,9814.0,0.0,0.0,0.0,1832.0,0.0,25480.0,1363695.0,209.79,117.95,0.0,0.0,74.61,50.71,845109.0,32454107.57,0.0,0.0,146.22,13.8,0.0936,15.8,0.9911,83.0
