DATE,DKUPL FP Equity_DX_SI_QTY,DKUPL FP Equity_DX_SHORT_INTEREST_VALUE,DKUPL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,DKUPL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,DKUPL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,DKUPL FP Equity_DX_SI_MV,DKUPL FP Equity_DX_DSS,DKUPL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,DKUPL FP Equity_DX_SUPPLY_SI_QTY,DKUPL FP Equity_DX_BROKER_SI_QTY,DKUPL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,DKUPL FP Equity_DX_SUPPLY_SI_QTY_INC_x,DKUPL FP Equity_DX_BROKER_SI_MV_INC_x,DKUPL FP Equity_DX_BROKER_SI_QTY_ADD,DKUPL FP Equity_DX_SUPPLY_SI_MV_DEC,DKUPL FP Equity_DX_BROKER_SI_QTY_INC,DKUPL FP Equity_DX_SUPPLY_SI_QTY_DEC,DKUPL FP Equity_DX_BROKER_SI_MV_INC_y,DKUPL FP Equity_DX_SUPPLY_SI_QTY_INC_y,DKUPL FP Equity_DX_BROKER_SI_MV_ADD,DKUPL FP Equity_DX_SUPPLY_SI_QTY_ADD,DKUPL FP Equity_DX_BROKER_SI_QTY_DEC,DKUPL FP Equity_DX_SUPPLY_SI_MV,DKUPL FP Equity_DX_BROKER_SI_MV_DEC,DKUPL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,DKUPL FP Equity_DX_UTILIZATION_QUANTITY,DKUPL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,DKUPL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,DKUPL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,DKUPL FP Equity_DX_ACTIVE_UTILIZATION_MV,DKUPL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,DKUPL FP Equity_DX_BROKER_SI_CON_RATIO,DKUPL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,DKUPL FP Equity_DX_DEMAND_SUPPLY_RATIO,DKUPL FP Equity_PX_LAST
2006-07-03,1529.0,9101.01,0.22,0.94,0.03,0.02,0.0,9101.01,0.0,1529.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52057.0,309857.11,0.75,0.0,0.0,1.0,100.0,0.0294,15.2
2006-07-04,1031.0,6217.53,0.15,0.73,0.02,0.02,0.0,6217.53,0.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0,0.0,0.01,0.0,0.0,51085.0,308072.45,0.77,0.0,0.0,1.0,100.0,0.0202,15.4
2006-07-05,1011.0,6017.74,0.15,0.54,0.02,0.02,0.0,6017.74,0.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,51939.0,309154.74,0.8,0.0,0.0,1.0,100.0,0.0195,15.2
2006-07-06,1048.0,6242.08,0.15,0.35,0.02,0.02,0.0,6242.08,0.0,1048.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40477.0,241088.37,0.61,0.0,0.0,1.0,100.0,0.0259,15.21
2006-07-07,1033.0,6148.69,0.15,0.35,0.02,0.02,0.0,6148.69,0.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,40517.0,241167.96,0.61,0.0,0.0,1.0,100.0,0.0255,15.2
2006-07-10,1022.0,6043.19,0.15,0.35,0.02,0.02,0.0,6043.19,0.0,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,40102.0,237127.39,0.61,0.0,0.0,1.0,100.0,0.0255,15.1
2006-07-11,461.0,2743.99,0.07,0.16,0.01,0.01,0.0,2743.99,0.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.0,0.0,0.01,0.0,0.0,40640.0,241900.09,0.61,0.0,0.0,1.0,100.0,0.0113,15.2
2006-07-12,452.0,2690.42,0.07,0.15,0.01,0.01,0.0,2690.42,0.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,39291.0,233870.48,0.6,0.0,0.0,1.0,100.0,0.0115,15.2
2006-07-13,457.0,2684.39,0.07,0.16,0.01,0.01,0.0,2684.39,0.0,457.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39421.0,231556.85,0.6,0.0,0.0,1.0,100.0,0.0116,15.0
2006-07-14,456.0,2633.88,0.07,0.15,0.01,0.01,0.0,2633.88,0.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,39498.0,228142.33,0.59,0.0,0.0,1.0,100.0,0.0115,14.75
