DATE,BNK FP Equity_DX_DSS,BNK FP Equity_PX_LAST
2006-08-30,0.0,47.31
2006-08-31,0.0,47.18
2006-09-01,0.0,47.55
2006-09-04,0.0,47.73
2006-09-05,0.0,47.53
2006-09-06,0.0,47.04
2006-09-07,0.0,46.65
2006-09-08,0.0,46.8
2006-09-11,0.0,46.55
2006-09-12,0.0,47.18
2006-09-13,0.0,47.35
2006-09-14,0.0,47.55
2006-09-15,0.0,47.95
2006-09-18,0.0,47.84
2006-09-19,0.0,47.57
2006-09-20,0.0,48.26
2006-09-21,0.0,48.57
2006-09-22,0.0,47.97
2006-09-25,0.0,47.98
2006-09-26,0.0,48.46
2006-09-27,0.0,48.45
2006-09-28,0.0,48.48
2006-09-29,0.0,48.66
2006-10-02,0.0,48.61
2006-10-03,0.0,48.33
2006-10-04,0.0,49.09
2006-10-05,0.0,49.57
2006-10-06,0.0,49.85
2006-10-09,0.0,49.88
2006-10-10,0.0,50.35
2006-10-11,0.0,50.2
2006-10-12,0.0,50.81
2006-10-13,0.0,50.98
2006-10-16,0.0,50.76
2006-10-17,0.0,49.84
2006-10-18,0.0,50.37
2006-10-19,0.0,50.32
2006-10-20,0.0,50.21
2006-10-23,0.0,50.72
2006-10-24,0.0,50.44
2006-10-25,0.0,50.41
2006-10-26,0.0,50.45
2006-10-27,0.0,50.36
2006-10-30,0.0,50.35
2006-11-02,0.0,50.06
2006-11-03,0.0,50.23
2006-11-06,0.0,50.76
2006-11-07,0.0,51.05
2006-11-08,0.0,51.05
2006-11-09,0.0,50.9
2006-11-10,0.0,50.62
2006-11-13,0.0,50.92
2006-11-14,0.0,50.52
2006-11-15,0.0,50.74
2006-11-16,0.0,50.71
2006-11-17,0.0,50.6
2006-11-22,0.0,50.79
2006-11-24,0.0,50.07
2006-11-27,0.0,49.28
2006-11-28,0.0,49.06
2006-11-29,0.0,49.6
2006-11-30,0.0,49.48
2006-12-04,0.0,49.18
2006-12-05,0.0,49.19
2006-12-06,0.0,49.4
2006-12-07,0.0,49.65
2006-12-08,0.0,49.69
2006-12-11,0.0,49.96
2006-12-13,0.0,50.43
2006-12-14,0.0,50.72
2006-12-15,0.0,50.99
2006-12-18,0.0,51.02
2006-12-20,0.0,50.85
2006-12-27,0.0,50.95
2006-12-28,0.0,51.27
2006-12-29,0.0,51.07
2007-01-02,0.0,51.96
2007-01-03,0.0,52.26
2007-01-04,0.0,52.01
2007-01-05,0.0,51.95
2007-01-08,0.0,51.63
2007-01-09,0.0,52.1
2007-01-10,0.0,51.44
2007-01-11,0.0,52.23
2007-01-12,0.0,52.49
2007-01-15,0.0,52.8
2007-01-16,0.0,52.5
2007-01-17,0.0,52.26
2007-01-18,0.0,52.32
2007-01-19,0.0,52.71
2007-01-22,0.0,52.61
2007-01-23,0.0,52.6
2007-01-24,0.0,53.38
2007-01-25,0.0,53.59
2007-01-26,0.0,52.8
2007-01-29,0.0,53.02
2007-01-30,0.0,53.08
2007-01-31,0.0,52.76
2007-02-01,0.0,53.21
2007-02-02,0.0,53.6
2007-02-05,0.0,53.48
2007-02-06,0.0,53.74
2007-02-07,0.0,53.76
2007-02-08,0.0,53.33
2007-02-09,0.0,53.66
2007-02-12,0.0,53.35
2007-02-13,0.0,53.23
2007-02-14,0.0,53.38
2007-02-15,0.0,53.33
2007-02-16,0.0,53.35
2007-02-19,0.0,53.46
2007-02-20,0.0,53.32
2007-02-21,0.0,53.21
2007-02-22,0.0,53.23
2007-02-23,0.0,53.14
2007-02-26,0.0,53.11
2007-02-27,0.0,51.67
2007-02-28,0.0,50.95
2007-03-01,0.0,50.42
2007-03-02,0.0,50.11
2007-03-05,0.0,49.76
2007-03-06,0.0,50.12
2007-03-07,0.0,50.33
2007-03-09,0.0,51.3
2007-03-12,0.0,51.05
2007-03-13,0.0,50.39
2007-03-14,0.0,48.62
2007-03-15,0.0,49.12
2007-03-16,0.0,49.08
2007-03-19,0.0,50.15
2007-03-20,0.0,50.61
2007-03-21,0.0,50.81
2007-03-22,0.0,52.08
2007-03-23,0.0,52.32
2007-03-26,0.0,51.58
2007-03-27,0.0,51.56
2007-03-28,0.0,51.01
2007-03-29,0.0,51.51
2007-03-30,0.0,51.65
2007-04-02,0.0,51.45
2007-04-03,0.0,51.92
2007-04-04,0.0,52.02
2007-04-05,0.0,52.16
2007-04-10,0.0,52.54
2007-04-11,0.0,52.61
2007-04-12,0.0,52.57
2007-04-13,0.0,52.81
2007-04-16,0.0,53.83
2007-04-17,0.0,53.87
2007-04-19,0.0,53.17
2007-04-20,0.0,54.49
2007-04-23,0.0,54.29
2007-04-24,0.0,53.73
2007-04-25,0.0,54.4
2007-04-26,0.0,54.45
2007-04-27,0.0,54.17
2007-04-30,0.0,54.12
2007-05-02,0.0,54.2
2007-05-03,0.0,54.07
2007-05-04,0.0,54.4
2007-05-07,0.0,54.43
2007-05-08,0.0,54.12
2007-05-09,0.0,54.38
2007-05-10,0.0,54.08
2007-05-11,0.0,54.52
2007-05-14,0.0,54.26
2007-05-15,0.0,54.51
2007-05-16,0.0,54.37
2007-05-17,0.0,54.23
2007-05-18,0.0,54.66
