DATE,BB FP Equity_DX_SI_QTY,BB FP Equity_DX_SHORT_INTEREST_VALUE,BB FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,BB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,BB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,BB FP Equity_DX_SI_MV,BB FP Equity_DX_DSS,BB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,BB FP Equity_DX_SUPPLY_SI_QTY,BB FP Equity_DX_BROKER_SI_QTY,BB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,BB FP Equity_DX_BROKER_SI_MV_NEW_x,BB FP Equity_DX_SUPPLY_SI_QTY_NEW_x,BB FP Equity_DX_SUPPLY_SI_QTY_INC_x,BB FP Equity_DX_BROKER_SI_MV_INC_x,BB FP Equity_DX_SUPPLY_SI_MV_NEW,BB FP Equity_DX_BROKER_SI_QTY_ADD,BB FP Equity_DX_BROKER_SI_QTY_NEW,BB FP Equity_DX_SUPPLY_SI_MV_DEC,BB FP Equity_DX_BROKER_SI_QTY_INC,BB FP Equity_DX_SUPPLY_SI_QTY_DEC,BB FP Equity_DX_BROKER_SI_MV_NEW_y,BB FP Equity_DX_SUPPLY_SI_QTY_NEW_y,BB FP Equity_DX_BROKER_SI_MV_INC_y,BB FP Equity_DX_SUPPLY_SI_QTY_INC_y,BB FP Equity_DX_BROKER_SI_MV_ADD,BB FP Equity_DX_SUPPLY_SI_QTY_ADD,BB FP Equity_DX_BROKER_SI_QTY_DEC,BB FP Equity_DX_SUPPLY_SI_MV,BB FP Equity_DX_BROKER_SI_MV_DEC,BB FP Equity_DX_SUPPLY_SI_MV_RMV,BB FP Equity_DX_BROKER_SI_MV_RMV,BB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,BB FP Equity_DX_UTILIZATION_QUANTITY,BB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,BB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,BB FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,BB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,BB FP Equity_DX_ACTIVE_UTILIZATION_MV,BB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,BB FP Equity_DX_BROKER_SI_CON_RATIO,BB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,BB FP Equity_DX_DEMAND_SUPPLY_RATIO,BB FP Equity_PX_LAST
2006-07-03,3123942.0,107362842.95,11.39,33.23,6.19,158.03,2.0,70330463.26,2075409.0,2046409.0,71327127.88,0.0,19105.0,6300.0,2.47,0.97,0.0,0.0,7.93,48453.0,166747.0,0.0,19105.0,2.47,6300.0,0.0,26127.0,300195.0,104.76,14.41,0.3,0.0,79.05,42.7,550091.0,18905387.37,6054.0,0.0,148.2,19.77,0.1576,29.31,0.6427,50.25
2006-07-04,3055373.0,105737668.05,11.14,32.7,6.05,155.02,2.0,69124439.75,2043613.0,1997405.0,70723565.67,0.0,0.0,187.0,0.0,0.0,0.0,0.0,1.5,0.0,32443.0,0.0,0.0,0.0,187.0,0.0,460.0,49003.0,103.27,2.43,0.0,0.0,76.31,41.46,634465.0,21957008.05,0.0,0.0,146.94,20.14,0.1636,30.11,0.6199,50.6
2006-07-05,2946039.0,101550952.94,10.74,32.77,5.83,149.47,2.0,69753826.36,1908512.0,2023590.0,65787049.08,0.0,0.0,16472.0,2.19,0.0,0.0,0.0,7.53,43220.0,151573.0,0.0,0.0,2.19,16472.0,0.0,0.0,17036.0,96.64,1.1,0.0,0.0,74.22,38.65,662928.0,22851350.62,0.0,0.0,149.29,20.96,0.1743,31.27,0.5967,50.4
2006-07-06,2830013.0,98228938.74,10.32,31.68,5.6,143.29,2.0,68540055.23,1840940.0,1974665.0,63898498.87,0.0,0.0,0.0,0.17,0.0,0.0,0.0,2.58,4261.0,48484.0,0.0,0.0,0.17,0.0,0.0,0.0,53185.0,92.91,2.72,0.97,0.0,37.71,37.37,3041240.0,105560567.26,19089.0,156.21,37.29,21.62,0.1855,32.63,0.5744,50.75
2006-07-07,2807179.0,96668405.71,10.24,23.47,5.56,142.13,2.0,67168101.98,1844365.0,1950512.0,63512809.16,0.0,0.0,3426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3426.0,0.0,0.0,24153.0,93.47,1.2,0.0,0.0,37.76,37.42,3039972.0,104684897.77,0.0,156.55,37.39,21.85,0.187,32.68,0.5695,50.35
2006-07-10,2784927.0,95235484.36,10.16,23.52,5.52,140.46,2.0,66305913.26,1836245.0,1938953.0,62793632.28,0.0,0.0,3695.0,0.0,0.0,0.0,0.0,0.61,0.0,11815.0,0.0,0.0,0.0,3695.0,0.0,0.0,11559.0,92.5,0.68,0.0,0.0,74.31,37.09,634878.0,21710771.53,0.0,0.0,155.53,22.11,0.1892,32.95,0.5625,50.0
2006-07-11,2783159.0,94584939.33,10.15,23.35,5.51,139.38,2.0,65887509.88,1837781.0,1938738.0,62456512.33,0.0,0.0,4965.0,0.0,0.0,0.0,0.0,0.24,94.0,3429.0,0.0,0.0,0.0,4965.0,0.0,0.0,310.0,91.91,0.14,0.0,0.0,74.3,37.11,635747.0,21605697.49,0.0,0.0,155.71,22.17,0.189,32.87,0.562,49.69
2006-07-12,2771770.0,95069914.24,10.11,23.42,5.49,139.25,2.0,66122050.23,1832693.0,1927793.0,62860181.88,0.0,0.0,1389.0,0.0,0.0,0.0,0.0,0.27,0.0,6477.0,0.0,0.0,0.0,1389.0,0.0,0.0,10945.0,91.45,0.51,0.0,0.0,75.36,37.19,599065.0,20547541.16,0.0,0.0,155.97,22.19,0.1915,33.32,0.5624,50.15
2006-07-13,2368746.0,80339213.74,8.64,20.12,4.69,119.39,1.0,41561228.55,1714144.0,1225404.0,58137504.49,0.0,0.0,1205.0,0.0,0.0,0.0,0.0,5.93,0.0,119755.0,0.0,0.0,0.0,1205.0,0.0,0.0,702389.0,86.09,35.3,0.0,0.0,35.3,34.98,3141859.0,106560383.32,0.0,160.33,34.94,21.99,0.1581,25.82,0.4833,49.59
2006-07-14,2465375.0,82082113.83,8.99,20.87,4.88,123.25,1.0,37257247.51,1625827.0,1119039.0,54130230.45,0.0,0.0,14117.0,0.0,0.0,0.0,0.0,5.21,0.0,102433.0,0.0,0.0,0.0,14117.0,0.0,0.0,106364.0,80.86,5.49,0.0,0.0,33.2,32.9,3270823.0,108898672.95,0.0,165.23,32.86,24.79,0.1639,24.92,0.4989,48.68
2006-07-17,2280545.0,75257699.54,8.32,19.32,4.52,112.85,1.0,36787831.46,1637500.0,1114787.0,54037295.03,0.0,0.0,11709.0,0.0,0.0,0.0,0.0,0.1,597.0,36.0,0.0,0.0,0.0,11709.0,0.0,0.0,4849.0,80.26,0.44,0.0,0.0,33.44,33.14,3259350.0,107558142.02,0.0,162.96,33.0,18.66,0.1545,26.99,0.4615,48.25
2006-07-18,2288619.0,74052789.4,8.35,19.3,4.53,112.7,1.0,32286890.5,1571958.0,997834.0,50863806.83,0.0,0.0,5871.0,0.0,0.0,0.0,0.0,3.55,0.0,71412.0,0.0,0.0,0.0,5871.0,0.0,0.0,116953.0,76.5,5.74,0.0,0.0,32.11,31.82,3324177.0,107560314.45,0.0,164.81,31.7,19.19,0.1553,26.89,0.4632,47.31
2006-07-19,1870407.0,61889497.72,6.82,15.98,3.7,90.95,1.0,32928107.26,1156064.0,995144.0,38252754.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.69,0.0,417444.0,0.0,0.0,0.0,0.0,0.0,1549.0,2690.0,55.07,0.39,0.0,0.0,22.45,22.25,3993954.0,132155090.83,0.0,194.02,22.11,18.28,0.1753,32.81,0.3601,48.38
2006-07-20,1873601.0,62136139.69,6.83,16.07,3.71,92.3,1.0,33057197.98,1157067.0,996779.0,38372992.3,0.0,0.0,2212.0,0.37,0.0,0.0,0.0,0.0,2951.0,1209.0,0.0,0.0,0.37,2212.0,0.0,0.0,1316.0,56.17,0.03,0.0,0.0,22.74,22.55,3930478.0,130350448.18,0.0,193.53,22.5,18.42,0.1747,32.6,0.3651,48.49
2006-07-21,1867061.0,60731684.63,6.81,16.31,3.7,92.05,1.0,32524999.47,1147356.0,999909.0,37321149.52,0.0,0.0,604.0,0.17,0.0,0.0,0.0,0.5,3130.0,10314.0,0.0,0.0,0.17,604.0,0.0,0.0,0.0,55.75,0.0,0.0,0.0,41.46,22.53,1619858.0,52690675.45,0.0,8.15,87.24,18.42,0.1743,32.53,0.3667,47.56
2006-07-24,2087909.0,67815459.81,7.61,18.31,4.13,101.54,1.0,39146004.18,1159986.0,1205231.0,37676442.78,0.0,0.0,13500.0,9.82,0.0,0.0,0.0,0.3,207202.0,6051.0,0.0,0.0,9.82,13500.0,0.0,5180.0,1880.0,55.46,0.32,0.0,0.0,22.92,22.72,3900837.0,126699513.64,0.0,189.73,22.62,16.37,0.2078,38.98,0.409,47.49
2006-07-25,2054754.0,66780742.19,7.49,17.84,4.07,99.88,1.0,38811341.52,1137806.0,1194173.0,36979380.08,0.0,0.0,185.0,0.0,0.0,0.0,0.0,1.07,0.0,22365.0,0.0,0.0,0.0,185.0,0.0,0.0,11058.0,54.34,0.55,0.0,0.0,22.6,22.4,3896724.0,126645876.26,0.0,189.38,22.3,16.62,0.2116,39.62,0.4045,47.52
2006-07-26,1986060.0,62592141.41,7.24,17.14,3.93,96.49,1.0,38074254.46,1057621.0,1208103.0,33331703.57,0.0,0.0,4863.0,0.44,0.0,5100.0,0.0,4.08,9483.0,85048.0,0.0,0.0,0.44,4863.0,0.24,0.0,653.0,50.42,0.03,0.0,0.0,21.58,21.38,3844342.0,121157265.18,0.0,184.16,21.49,17.22,0.2226,41.36,0.4015,46.08
2006-07-27,1928430.0,61725512.85,7.03,16.32,3.82,92.36,1.0,38526600.3,981452.0,1203649.0,31414481.23,0.0,0.0,13508.0,0.0,0.0,0.0,0.0,6.13,823.0,122122.0,0.0,0.0,0.0,13508.0,0.0,32445.0,5277.0,45.67,0.5,0.0,0.0,20.04,19.86,3916176.0,125349622.24,0.0,185.2,19.78,17.45,0.231,42.61,0.3902,46.8
2006-07-28,1872937.0,59846806.14,6.83,15.88,3.71,90.42,1.0,38686973.32,939866.0,1210729.0,30031964.93,0.0,0.0,5463.0,0.71,0.0,0.0,0.0,3.18,12458.0,71068.0,0.0,0.0,0.71,5463.0,0.0,24019.0,5378.0,44.31,0.23,0.0,0.0,19.24,19.06,3945683.0,126078199.95,0.0,188.07,19.07,18.1,0.2468,44.17,0.3799,46.72
2006-07-31,1859537.0,59736580.57,6.78,15.98,3.68,89.8,1.0,38841818.29,888281.0,1209105.0,28535527.67,0.0,0.0,286.0,0.05,0.0,0.0,0.0,2.44,982.0,51871.0,0.0,0.0,0.05,286.0,0.0,0.0,2607.0,41.89,0.11,0.0,0.0,18.23,18.06,3984319.0,127994007.63,0.0,189.96,18.07,18.2,0.2497,44.48,0.3782,46.97
2006-08-01,1813813.0,57845942.37,6.62,15.42,3.59,87.64,1.0,37425208.15,878148.0,1173502.0,28005807.99,0.0,0.0,248.0,0.16,0.0,0.0,0.0,0.48,3195.0,10382.0,0.0,0.0,0.16,248.0,0.0,0.0,38797.0,41.5,1.87,0.0,0.0,18.09,17.92,3976932.0,126831916.68,0.0,189.72,17.95,18.74,0.2613,45.66,0.3702,46.63
2006-08-02,1791190.0,57467468.15,6.53,15.23,3.55,86.36,1.0,37520832.36,860443.0,1169478.0,27605938.34,0.0,0.0,1814.0,0.0,0.0,0.0,0.0,0.99,0.0,20866.0,0.0,0.0,0.0,1814.0,0.0,1347.0,4024.0,40.48,0.24,0.0,0.0,17.78,17.62,3979428.0,127673586.74,0.0,189.84,17.57,18.89,0.2666,46.31,0.3667,46.91
2006-08-03,1793927.0,57420318.13,6.54,15.16,3.55,86.63,1.0,37472795.36,871928.0,1170726.0,27908818.56,0.0,0.0,1658.0,0.56,0.0,0.0,0.0,0.0,11280.0,2.0,0.0,0.0,0.56,1658.0,0.0,9829.0,10032.0,41.16,0.51,0.0,0.0,18.11,17.95,3942246.0,126184075.2,0.0,188.68,17.91,18.94,0.2606,45.62,0.3692,46.8
2006-08-04,1715601.0,55429524.69,6.26,14.43,3.4,82.94,1.0,38642879.33,768398.0,1196037.0,24826248.01,0.0,0.0,2760.0,1.33,0.0,0.0,0.0,5.34,28810.0,113930.0,0.0,0.0,1.33,2760.0,0.0,7639.0,3500.0,36.33,0.15,0.0,0.0,15.95,15.8,4049269.0,130828238.04,0.0,193.97,15.78,19.6,0.2901,48.67,0.3528,47.24
2006-08-07,1702029.0,54525394.54,6.21,14.34,3.37,82.52,1.0,38382885.13,752906.0,1198135.0,24119739.85,0.0,0.0,8859.0,0.15,0.0,0.0,0.0,1.14,2277.0,24350.0,0.0,0.0,0.15,8859.0,0.0,0.0,179.0,35.71,0.01,0.0,0.0,15.65,15.51,4057106.0,129971525.37,0.0,194.82,15.49,19.89,0.2935,49.02,0.3506,46.84
2006-08-08,1711501.0,54430846.07,6.24,14.52,3.39,82.77,1.0,37562223.11,776971.0,1181091.0,24709999.53,0.0,0.0,8084.0,0.0,0.0,0.0,0.0,0.73,0.0,15030.0,0.0,0.0,0.0,8084.0,0.0,31011.0,17044.0,36.72,0.84,0.0,0.0,16.23,16.08,4011408.0,127574761.19,0.0,192.02,16.05,19.66,0.2851,47.94,0.3541,46.5
2006-08-09,1227361.0,39033747.37,4.48,10.49,2.43,58.04,1.0,22642328.25,766378.0,711956.0,24373110.47,0.0,6054.0,14400.0,0.0,0.28,0.0,0.0,2.15,6415.0,43729.0,0.0,6054.0,0.0,14400.0,0.0,12682.0,475550.0,35.85,23.65,0.0,0.0,15.96,15.81,4035009.0,128325343.52,0.0,190.98,15.8,27.4,0.1882,27.87,0.2533,46.5
2006-08-10,1181342.0,37489409.52,4.31,10.05,2.34,55.7,1.0,21293214.85,755596.0,670978.0,23978532.78,0.0,0.0,7276.0,0.0,0.0,0.0,0.0,0.57,1021.0,12198.0,0.0,0.0,0.0,7276.0,0.0,194.0,42000.0,35.27,2.09,0.28,0.0,16.1,15.95,3936209.0,124913997.08,6054.0,185.94,15.95,28.44,0.1976,29.06,0.2494,46.4
2006-08-11,1187874.0,37859185.66,4.33,10.07,2.35,55.99,1.0,21361889.2,759124.0,670253.0,24194330.76,0.0,0.0,7579.0,0.0,0.0,0.0,0.0,0.19,0.0,4051.0,0.0,0.0,0.0,7579.0,0.0,0.0,724.0,35.46,0.03,0.0,0.0,16.16,16.01,3938117.0,125513230.08,0.0,186.18,16.0,28.31,0.1969,28.86,0.2505,46.6
2006-08-14,1041810.0,33339304.97,3.8,8.73,2.06,49.06,1.0,19530635.34,673023.0,610307.0,21537630.71,0.0,0.0,2718.0,0.07,0.0,0.0,0.0,4.15,1768.0,88820.0,0.0,0.0,0.07,2718.0,0.0,0.0,61715.0,31.43,2.98,0.0,0.0,14.32,14.18,4027866.0,128897066.61,0.0,190.57,14.16,24.61,0.2064,33.19,0.2195,46.79
2006-08-15,1359554.0,43340162.94,4.96,11.52,2.69,63.84,1.0,27148608.78,749452.0,851635.0,23891196.52,0.0,0.0,8793.0,11.21,0.0,0.0,0.0,0.14,241328.0,2922.0,0.0,0.0,11.21,8793.0,0.0,70559.0,0.0,35.01,0.0,0.0,0.0,15.97,15.82,3944121.0,125731561.09,0.0,186.54,15.8,25.55,0.2346,36.47,0.2869,46.61
