DATE,MLONE FP Equity_PX_LAST
2006-07-03,1.52
2006-07-04,1.55
2006-07-07,1.56
2006-07-10,1.51
2006-07-11,1.5
2006-07-12,1.51
2006-07-13,1.51
2006-07-19,1.52
2006-07-21,1.52
2006-07-24,1.51
2006-07-26,1.52
2006-07-27,1.5
2006-07-31,1.45
2006-08-01,1.4
2006-08-02,1.31
2006-08-03,1.27
2006-08-07,1.36
2006-08-08,1.4
2006-08-09,1.4
2006-08-14,1.3
2006-08-17,1.33
2006-08-18,1.34
2006-08-21,1.35
2006-08-22,1.38
2006-08-23,1.39
2006-08-24,1.4
2006-08-28,1.31
2006-08-29,1.3
2006-08-31,1.35
2006-09-04,1.32
2006-09-05,1.34
2006-09-06,1.29
2006-09-07,1.26
2006-09-08,1.26
2006-09-11,1.29
2006-09-12,1.26
2006-09-13,1.25
2006-09-14,1.25
2006-09-15,1.25
2006-09-18,1.25
2006-09-19,1.22
2006-09-20,1.22
2006-09-21,1.1
2006-09-22,1.11
2006-09-25,1.12
2006-09-26,1.13
2006-09-27,1.18
2006-09-28,1.19
2006-09-29,1.25
2006-10-02,1.31
2006-10-03,1.24
2006-10-05,1.2
2006-10-06,1.19
2006-10-09,1.19
2006-10-11,1.1
2006-10-12,1.1
2006-10-13,1.1
2006-10-16,1.02
2006-10-17,1.03
2006-10-18,1.08
2006-10-19,1.03
2006-10-20,1.02
2006-10-23,1.0
2006-10-24,0.99
2006-10-25,0.93
2006-10-26,1.0
2006-10-27,1.0
2006-10-30,1.0
2006-10-31,0.93
2006-11-01,0.95
2006-11-02,1.0
2006-11-03,1.08
2006-11-06,1.1
2006-11-07,1.1
2006-11-08,1.1
2006-11-09,1.1
2006-11-10,1.01
2006-11-13,1.01
2006-11-15,1.21
2006-11-16,1.21
2006-11-17,1.21
2006-11-20,1.13
2006-11-21,1.13
2006-11-23,1.12
2006-11-24,1.1
2006-11-27,1.1
2006-11-28,1.05
2006-11-29,1.02
2006-11-30,1.02
2006-12-01,1.0
2006-12-04,1.01
2006-12-05,1.02
2006-12-06,1.01
2006-12-07,1.01
2006-12-08,1.02
2006-12-12,1.0
