DATE,ALGEV FP Equity_DX_SI_QTY,ALGEV FP Equity_DX_SHORT_INTEREST_VALUE,ALGEV FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALGEV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALGEV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALGEV FP Equity_DX_SI_MV,ALGEV FP Equity_DX_DSS,ALGEV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALGEV FP Equity_DX_SUPPLY_SI_QTY,ALGEV FP Equity_DX_BROKER_SI_QTY,ALGEV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALGEV FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALGEV FP Equity_DX_BROKER_SI_MV_INC_x,ALGEV FP Equity_DX_BROKER_SI_QTY_ADD,ALGEV FP Equity_DX_SUPPLY_SI_MV_DEC,ALGEV FP Equity_DX_BROKER_SI_QTY_INC,ALGEV FP Equity_DX_SUPPLY_SI_QTY_DEC,ALGEV FP Equity_DX_BROKER_SI_MV_INC_y,ALGEV FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALGEV FP Equity_DX_BROKER_SI_MV_ADD,ALGEV FP Equity_DX_SUPPLY_SI_QTY_ADD,ALGEV FP Equity_DX_BROKER_SI_QTY_DEC,ALGEV FP Equity_DX_SUPPLY_SI_MV,ALGEV FP Equity_DX_BROKER_SI_MV_DEC,ALGEV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALGEV FP Equity_DX_UTILIZATION_QUANTITY,ALGEV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALGEV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALGEV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALGEV FP Equity_DX_ACTIVE_UTILIZATION_MV,ALGEV FP Equity_DX_BROKER_SI_CON_RATIO,ALGEV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALGEV FP Equity_DX_DEMAND_SUPPLY_RATIO,ALGEV FP Equity_PX_LAST
2006-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21662.0,826263.45,1.27,0.0,0.0,0.0,0.0,57.0
2006-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22197.0,834787.11,1.27,0.0,0.0,0.0,0.0,56.2
2006-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22161.0,830467.26,1.25,0.0,0.0,0.0,0.0,56.0
2006-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22396.0,839273.72,1.25,0.0,0.0,0.0,0.0,56.0
2006-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22464.0,841821.97,1.25,0.0,0.0,0.0,0.0,56.0
2006-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22253.0,835404.03,1.26,0.0,0.0,0.0,0.0,56.1
2006-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22407.0,841185.37,1.25,0.0,0.0,0.0,0.0,0.0
2006-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22231.0,834578.12,1.25,0.0,0.0,0.0,0.0,56.1
2006-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22220.0,795505.11,1.25,0.0,0.0,0.0,0.0,53.5
2006-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23194.0,854433.2,1.24,0.0,0.0,0.0,0.0,55.05
2006-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22507.0,829878.18,1.25,0.0,0.0,0.0,0.0,55.1
