DATE,BEN FP Equity_DX_SI_QTY,BEN FP Equity_DX_SHORT_INTEREST_VALUE,BEN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,BEN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,BEN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,BEN FP Equity_DX_SI_MV,BEN FP Equity_DX_DSS,BEN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,BEN FP Equity_DX_SUPPLY_SI_QTY,BEN FP Equity_DX_BROKER_SI_QTY,BEN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,BEN FP Equity_DX_BROKER_SI_MV_NEW_x,BEN FP Equity_DX_SUPPLY_SI_QTY_NEW_x,BEN FP Equity_DX_SUPPLY_SI_QTY_INC_x,BEN FP Equity_DX_BROKER_SI_MV_INC_x,BEN FP Equity_DX_SUPPLY_SI_MV_NEW,BEN FP Equity_DX_BROKER_SI_QTY_ADD,BEN FP Equity_DX_BROKER_SI_QTY_NEW,BEN FP Equity_DX_SUPPLY_SI_MV_DEC,BEN FP Equity_DX_BROKER_SI_QTY_INC,BEN FP Equity_DX_SUPPLY_SI_QTY_DEC,BEN FP Equity_DX_BROKER_SI_MV_NEW_y,BEN FP Equity_DX_SUPPLY_SI_QTY_NEW_y,BEN FP Equity_DX_BROKER_SI_MV_INC_y,BEN FP Equity_DX_SUPPLY_SI_QTY_INC_y,BEN FP Equity_DX_BROKER_SI_MV_ADD,BEN FP Equity_DX_SUPPLY_SI_QTY_ADD,BEN FP Equity_DX_BROKER_SI_QTY_DEC,BEN FP Equity_DX_SUPPLY_SI_MV,BEN FP Equity_DX_BROKER_SI_MV_DEC,BEN FP Equity_DX_SUPPLY_SI_MV_RMV,BEN FP Equity_DX_BROKER_SI_MV_RMV,BEN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,BEN FP Equity_DX_UTILIZATION_QUANTITY,BEN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,BEN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,BEN FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,BEN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,BEN FP Equity_DX_ACTIVE_UTILIZATION_MV,BEN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,BEN FP Equity_DX_BROKER_SI_CON_RATIO,BEN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,BEN FP Equity_DX_DEMAND_SUPPLY_RATIO,BEN FP Equity_PX_LAST
2006-07-03,199999.0,10826458.64,3.1,13.01,1.15,12.99,1.0,3355515.24,165961.0,61987.0,8983894.43,0.0,0.0,310.0,0.02,0.0,0.0,0.0,0.07,111.0,1608.0,0.0,0.0,0.02,310.0,0.0,0.0,0.0,10.77,0.0,0.0,0.0,28.94,28.94,407558.0,22062159.46,0.0,26.12,29.18,25.48,0.1731,27.59,0.3487,65.0
2006-07-04,197370.0,10684144.13,3.06,13.4,1.13,12.82,1.0,3201345.69,164895.0,59139.0,8926189.12,0.0,0.0,233.0,0.0,0.0,0.0,0.0,0.08,0.0,1300.0,0.0,0.0,0.0,233.0,0.0,0.0,2848.0,10.7,0.19,0.0,0.0,28.74,28.74,408756.0,22127010.28,0.0,26.19,29.0,25.86,0.1779,27.98,0.3441,65.0
2006-07-05,200621.0,10876836.99,3.11,13.83,1.15,13.06,1.0,3273986.43,166917.0,60388.0,9049546.16,0.0,0.0,2202.0,0.19,0.0,0.0,0.0,0.01,3000.0,180.0,0.0,0.0,0.19,2202.0,0.0,0.0,1750.0,10.86,0.11,0.0,0.0,28.87,28.87,411203.0,22293718.0,0.0,26.43,29.13,25.64,0.1742,27.93,0.347,65.1
2006-07-06,200739.0,10866516.74,3.11,13.44,1.15,13.02,1.0,3270743.64,167005.0,60421.0,9040408.83,0.0,0.0,213.0,0.0,0.0,0.0,0.0,0.01,32.0,125.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,10.82,0.0,0.0,0.0,28.82,28.82,412421.0,22325406.12,0.0,26.42,29.05,25.75,0.174,27.78,0.3464,65.0
2006-07-07,200723.0,10857292.42,3.11,12.99,1.15,13.06,1.0,3267362.23,167016.0,60405.0,9034049.67,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,96.0,0.0,0.0,16.0,10.87,0.0,0.0,0.0,28.81,28.81,412609.0,22318401.83,0.0,26.5,29.08,25.77,0.1748,27.95,0.3463,64.95
2006-07-10,201093.0,10894053.27,3.12,13.06,1.15,13.06,1.0,3272392.81,167400.0,60405.0,9068761.8,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,10.87,0.0,0.0,0.0,28.99,28.99,409992.0,22210990.37,0.0,26.32,29.22,25.81,0.1742,27.78,0.3483,65.05
2006-07-11,200547.0,10856123.29,3.11,12.93,1.15,13.04,1.0,3269227.93,166861.0,60393.0,9032613.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,539.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.84,0.0,0.0,0.0,28.97,28.97,409042.0,22142492.19,0.0,26.27,29.21,25.69,0.1743,27.9,0.3482,65.0
2006-07-12,200384.0,10855643.75,3.11,12.62,1.15,13.08,1.0,3270388.37,169695.0,60368.0,9193091.6,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0,0.0,0.0,80.0,0.0,3000.0,25.0,11.05,0.0,0.0,0.0,30.34,30.34,389625.0,21107624.35,0.0,25.07,30.6,25.59,0.1734,27.83,0.3583,65.05
2006-07-13,190622.0,10144230.77,2.96,11.89,1.09,12.4,1.0,2679768.78,160003.0,50356.0,8514795.54,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.68,38.0,10000.0,0.0,0.0,0.0,308.0,0.0,0.0,10050.0,10.37,0.65,0.0,0.0,34.05,34.05,309928.0,16493275.45,0.0,20.1,34.03,27.07,0.1882,29.45,0.4056,63.9
2006-07-14,192772.0,9793073.83,2.99,12.31,1.11,12.13,1.0,2565670.33,162206.0,50504.0,8240280.4,0.0,0.0,2203.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,2203.0,0.0,0.0,0.0,10.12,0.0,0.0,0.0,33.81,33.81,317585.0,16133740.12,0.0,19.96,33.63,27.53,0.1871,28.72,0.4018,61.0
