DATE,ALNFL FP Equity_DX_SI_QTY,ALNFL FP Equity_DX_SHORT_INTEREST_VALUE,ALNFL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALNFL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALNFL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALNFL FP Equity_DX_SI_MV,ALNFL FP Equity_DX_DSS,ALNFL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALNFL FP Equity_DX_SUPPLY_SI_QTY,ALNFL FP Equity_DX_BROKER_SI_QTY,ALNFL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALNFL FP Equity_DX_BROKER_SI_MV_NEW_x,ALNFL FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALNFL FP Equity_DX_BROKER_SI_MV_INC_x,ALNFL FP Equity_DX_BROKER_SI_QTY_ADD,ALNFL FP Equity_DX_BROKER_SI_QTY_NEW,ALNFL FP Equity_DX_SUPPLY_SI_MV_DEC,ALNFL FP Equity_DX_BROKER_SI_QTY_INC,ALNFL FP Equity_DX_SUPPLY_SI_QTY_DEC,ALNFL FP Equity_DX_BROKER_SI_MV_NEW_y,ALNFL FP Equity_DX_BROKER_SI_MV_INC_y,ALNFL FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALNFL FP Equity_DX_BROKER_SI_MV_ADD,ALNFL FP Equity_DX_SUPPLY_SI_QTY_ADD,ALNFL FP Equity_DX_BROKER_SI_QTY_DEC,ALNFL FP Equity_DX_SUPPLY_SI_MV,ALNFL FP Equity_DX_BROKER_SI_MV_DEC,ALNFL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALNFL FP Equity_DX_UTILIZATION_QUANTITY,ALNFL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALNFL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALNFL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALNFL FP Equity_DX_ACTIVE_UTILIZATION_MV,ALNFL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALNFL FP Equity_DX_BROKER_SI_CON_RATIO,ALNFL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALNFL FP Equity_DX_DEMAND_SUPPLY_RATIO,ALNFL FP Equity_PX_LAST
2021-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8
2021-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72
2021-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52
2021-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42
2021-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04
2021-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06
2021-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3
2021-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41
2021-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27
2021-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35
