DATE,ALNTG FP Equity_DX_SI_QTY,ALNTG FP Equity_DX_SHORT_INTEREST_VALUE,ALNTG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALNTG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALNTG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALNTG FP Equity_DX_SI_MV,ALNTG FP Equity_DX_DSS,ALNTG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALNTG FP Equity_DX_SUPPLY_SI_QTY,ALNTG FP Equity_DX_BROKER_SI_QTY,ALNTG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALNTG FP Equity_DX_BROKER_SI_MV_NEW_x,ALNTG FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALNTG FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALNTG FP Equity_DX_BROKER_SI_MV_INC_x,ALNTG FP Equity_DX_SUPPLY_SI_MV_NEW,ALNTG FP Equity_DX_BROKER_SI_QTY_ADD,ALNTG FP Equity_DX_BROKER_SI_QTY_NEW,ALNTG FP Equity_DX_SUPPLY_SI_MV_DEC,ALNTG FP Equity_DX_BROKER_SI_QTY_INC,ALNTG FP Equity_DX_SUPPLY_SI_QTY_DEC,ALNTG FP Equity_DX_BROKER_SI_MV_NEW_y,ALNTG FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALNTG FP Equity_DX_BROKER_SI_MV_INC_y,ALNTG FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALNTG FP Equity_DX_BROKER_SI_MV_ADD,ALNTG FP Equity_DX_SUPPLY_SI_QTY_ADD,ALNTG FP Equity_DX_BROKER_SI_QTY_DEC,ALNTG FP Equity_DX_SUPPLY_SI_MV,ALNTG FP Equity_DX_BROKER_SI_MV_DEC,ALNTG FP Equity_DX_SUPPLY_SI_MV_RMV,ALNTG FP Equity_DX_BROKER_SI_MV_RMV,ALNTG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALNTG FP Equity_DX_UTILIZATION_QUANTITY,ALNTG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALNTG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALNTG FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALNTG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALNTG FP Equity_DX_ACTIVE_UTILIZATION_MV,ALNTG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALNTG FP Equity_DX_BROKER_SI_CON_RATIO,ALNTG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALNTG FP Equity_DX_DEMAND_SUPPLY_RATIO,ALNTG FP Equity_PX_LAST
2006-07-03,51460.0,118434.45,0.34,0.2,0.17,0.22,0.0,53431.29,51717.0,23216.0,119025.94,0.0,0.0,4815.0,0.0,0.0,0.0,0.0,0.01,0.0,3300.0,0.0,0.0,0.0,4815.0,0.0,0.0,1300.0,0.22,0.01,0.0,0.0,94.59,94.59,2956.0,6803.19,0.0,0.0,0.0,12.64,0.7792,87.36,0.9412,4.35
2006-07-04,51407.0,116680.58,0.34,0.21,0.17,0.22,0.0,52694.31,51427.0,23216.0,116725.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,95.14,95.14,2624.0,5955.8,0.0,0.0,0.0,12.64,0.7792,87.36,0.9511,4.29
2006-07-05,51549.0,115911.95,0.34,0.23,0.17,0.22,0.0,52202.99,51541.0,23216.0,115893.96,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,95.54,95.54,2407.0,5412.33,0.0,0.0,0.0,13.01,0.7737,86.99,0.9555,4.25
2006-07-06,51249.0,118219.99,0.34,0.24,0.17,0.22,0.0,53554.12,51193.0,23216.0,118090.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,94.97,94.97,2709.0,6249.06,0.0,0.0,0.0,13.08,0.7726,86.92,0.9508,4.36
2006-07-07,51363.0,118482.96,0.34,0.25,0.17,0.22,0.0,53554.12,51374.0,23216.0,118508.33,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,95.06,95.06,2672.0,6163.71,0.0,0.0,0.0,12.85,0.776,87.15,0.9504,4.36
2006-07-10,51588.0,118456.1,0.34,0.26,0.17,0.22,0.0,53308.46,51623.0,23216.0,118536.47,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,95.53,95.53,2416.0,5547.61,0.0,0.0,0.0,12.86,0.7759,87.14,0.9546,4.34
2006-07-11,51351.0,109489.63,0.34,0.27,0.17,0.22,0.0,49500.71,51345.0,23216.0,109476.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,95.07,95.07,2665.0,5682.26,0.0,0.0,0.0,12.91,0.7752,87.09,0.9508,4.03
2006-07-12,51515.0,107658.87,0.34,0.27,0.17,0.21,0.0,48518.07,51517.0,23216.0,107663.05,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,95.45,95.45,2454.0,5128.5,0.0,0.0,0.0,12.97,0.7743,87.03,0.9545,3.95
2006-07-13,51347.0,99701.15,0.34,0.28,0.17,0.2,0.0,45078.81,51258.0,23216.0,99528.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,95.3,95.3,2530.0,4912.53,0.0,0.0,0.0,13.26,0.7699,86.74,0.9546,3.67
2006-07-14,51124.0,99809.12,0.33,0.29,0.17,0.19,0.0,45324.48,50809.0,23216.0,99194.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,95.42,80.33,2439.0,4761.65,0.0,0.0,0.0,14.13,0.7573,85.87,0.8083,3.69
