DATE,ABCA FP Equity_DX_SI_QTY,ABCA FP Equity_DX_SHORT_INTEREST_VALUE,ABCA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ABCA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ABCA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ABCA FP Equity_DX_SI_MV,ABCA FP Equity_DX_DSS,ABCA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ABCA FP Equity_DX_SUPPLY_SI_QTY,ABCA FP Equity_DX_BROKER_SI_QTY,ABCA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ABCA FP Equity_DX_BROKER_SI_MV_NEW_x,ABCA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ABCA FP Equity_DX_SUPPLY_SI_QTY_INC_x,ABCA FP Equity_DX_BROKER_SI_MV_INC_x,ABCA FP Equity_DX_SUPPLY_SI_MV_NEW,ABCA FP Equity_DX_BROKER_SI_QTY_ADD,ABCA FP Equity_DX_BROKER_SI_QTY_NEW,ABCA FP Equity_DX_SUPPLY_SI_MV_DEC,ABCA FP Equity_DX_BROKER_SI_QTY_INC,ABCA FP Equity_DX_SUPPLY_SI_QTY_DEC,ABCA FP Equity_DX_BROKER_SI_MV_NEW_y,ABCA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ABCA FP Equity_DX_BROKER_SI_MV_INC_y,ABCA FP Equity_DX_SUPPLY_SI_QTY_INC_y,ABCA FP Equity_DX_BROKER_SI_MV_ADD,ABCA FP Equity_DX_SUPPLY_SI_QTY_ADD,ABCA FP Equity_DX_BROKER_SI_QTY_DEC,ABCA FP Equity_DX_SUPPLY_SI_MV,ABCA FP Equity_DX_BROKER_SI_MV_DEC,ABCA FP Equity_DX_SUPPLY_SI_MV_RMV,ABCA FP Equity_DX_BROKER_SI_MV_RMV,ABCA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ABCA FP Equity_DX_UTILIZATION_QUANTITY,ABCA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ABCA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ABCA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ABCA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ABCA FP Equity_DX_ACTIVE_UTILIZATION_MV,ABCA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ABCA FP Equity_DX_BROKER_SI_CON_RATIO,ABCA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ABCA FP Equity_DX_DEMAND_SUPPLY_RATIO,ABCA FP Equity_PX_LAST
2006-07-03,8310.0,7993.19,0.04,0.2,0.03,0.02,0.0,7993.19,8310.0,8310.0,7993.19,0.0,0.0,3138.0,0.01,0.0,0.0,0.0,0.0,3138.0,0.0,0.0,0.0,0.01,3138.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,7.25,7.25,106376.0,102320.52,0.0,0.28,7.25,0.0,1.0,100.0,0.0725,2.63
2006-07-04,8310.0,8023.58,0.04,0.2,0.03,0.02,0.0,8023.58,8291.0,8310.0,8005.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,7.25,7.25,106133.0,102474.95,0.0,0.28,7.25,0.0,1.0,100.0,0.0726,2.64
2006-07-05,108310.0,104180.79,0.48,2.64,0.36,0.29,0.0,7993.19,108310.0,8310.0,104180.79,0.0,0.0,100019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100019.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,94.44,94.44,6376.0,6132.92,0.0,0.0,0.0,0.0,1.0,100.0,0.9444,2.63
2006-07-06,108690.0,105738.85,0.48,2.66,0.36,0.29,0.0,8084.37,108690.0,8310.0,105738.85,0.0,0.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,94.77,94.77,5996.0,5833.2,0.0,0.0,0.0,0.0,1.0,100.0,0.9477,2.66
2006-07-07,107558.0,103411.36,0.48,2.58,0.36,0.29,0.0,7989.63,107558.0,8310.0,103411.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,93.78,93.78,7128.0,6853.2,0.0,0.0,0.0,0.0,1.0,100.0,0.9378,2.53
2006-07-10,112658.0,109170.99,0.5,2.65,0.37,0.28,0.0,8052.79,112658.0,8310.0,109170.99,0.0,0.0,5100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5100.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,98.23,98.23,2028.0,1965.23,0.0,0.0,0.0,0.0,1.0,100.0,0.9823,2.55
2006-07-11,111839.0,109227.36,0.5,2.64,0.37,0.29,0.0,8115.95,111839.0,8310.0,109227.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,97.52,97.52,2847.0,2780.52,0.0,0.0,0.0,0.0,1.0,100.0,0.9752,2.57
2006-07-12,111034.0,108863.1,0.49,2.66,0.37,0.29,0.0,8147.53,111034.0,8310.0,108863.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,94.54,81.85,6416.0,6290.56,0.0,0.0,0.0,0.0,1.0,100.0,0.8185,2.58
2006-07-13,8310.0,7894.89,0.04,0.19,0.03,0.02,0.0,7894.89,8310.0,8310.0,7894.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,102724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,6.8,6.8,113937.0,108245.49,0.0,0.29,6.8,0.0,1.0,100.0,0.068,2.5
2006-07-14,8310.0,7800.15,0.04,0.19,0.03,0.02,0.0,7800.15,8310.0,8310.0,7800.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,10.09,10.09,74025.0,69483.29,0.0,0.19,10.07,0.0,1.0,100.0,0.1009,2.47
