DATE,MLPRX FP Equity_DX_SI_QTY,MLPRX FP Equity_DX_SHORT_INTEREST_VALUE,MLPRX FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLPRX FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLPRX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLPRX FP Equity_DX_SI_MV,MLPRX FP Equity_DX_DSS,MLPRX FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLPRX FP Equity_DX_SUPPLY_SI_QTY,MLPRX FP Equity_DX_BROKER_SI_QTY,MLPRX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLPRX FP Equity_DX_BROKER_SI_QTY_ADD,MLPRX FP Equity_DX_SUPPLY_SI_MV_DEC,MLPRX FP Equity_DX_SUPPLY_SI_QTY_DEC,MLPRX FP Equity_DX_BROKER_SI_MV_ADD,MLPRX FP Equity_DX_SUPPLY_SI_QTY_ADD,MLPRX FP Equity_DX_BROKER_SI_QTY_DEC,MLPRX FP Equity_DX_SUPPLY_SI_MV,MLPRX FP Equity_DX_BROKER_SI_MV_DEC,MLPRX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLPRX FP Equity_DX_UTILIZATION_QUANTITY,MLPRX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLPRX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLPRX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLPRX FP Equity_DX_ACTIVE_UTILIZATION_MV,MLPRX FP Equity_DX_BROKER_SI_CON_RATIO,MLPRX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MLPRX FP Equity_DX_DEMAND_SUPPLY_RATIO,MLPRX FP Equity_PX_LAST
2018-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57
2018-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
2018-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
2018-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
2018-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8
2018-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8
2018-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9
2018-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9
2018-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9
2018-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28
