DATE,ALHPI FP Equity_DX_SI_QTY,ALHPI FP Equity_DX_SHORT_INTEREST_VALUE,ALHPI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALHPI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALHPI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALHPI FP Equity_DX_SI_MV,ALHPI FP Equity_DX_DSS,ALHPI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALHPI FP Equity_DX_SUPPLY_SI_QTY,ALHPI FP Equity_DX_BROKER_SI_QTY,ALHPI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALHPI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALHPI FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALHPI FP Equity_DX_BROKER_SI_MV_INC_x,ALHPI FP Equity_DX_SUPPLY_SI_MV_NEW,ALHPI FP Equity_DX_BROKER_SI_QTY_ADD,ALHPI FP Equity_DX_SUPPLY_SI_MV_DEC,ALHPI FP Equity_DX_BROKER_SI_QTY_INC,ALHPI FP Equity_DX_SUPPLY_SI_QTY_DEC,ALHPI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALHPI FP Equity_DX_BROKER_SI_MV_INC_y,ALHPI FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALHPI FP Equity_DX_BROKER_SI_MV_ADD,ALHPI FP Equity_DX_SUPPLY_SI_QTY_ADD,ALHPI FP Equity_DX_BROKER_SI_QTY_DEC,ALHPI FP Equity_DX_SUPPLY_SI_MV,ALHPI FP Equity_DX_BROKER_SI_MV_DEC,ALHPI FP Equity_DX_SUPPLY_SI_MV_RMV,ALHPI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALHPI FP Equity_DX_UTILIZATION_QUANTITY,ALHPI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALHPI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALHPI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALHPI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALHPI FP Equity_DX_ACTIVE_UTILIZATION_MV,ALHPI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALHPI FP Equity_DX_BROKER_SI_CON_RATIO,ALHPI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALHPI FP Equity_DX_DEMAND_SUPPLY_RATIO,ALHPI FP Equity_PX_LAST
2021-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15
2021-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
2021-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5
2021-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9
2021-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
2021-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5
2021-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
2021-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9
2021-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7
2021-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.99
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.93
2021-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5
2021-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.598
2021-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6
2021-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
