DATE,FDJU FP Equity_DX_SI_QTY,FDJU FP Equity_DX_SHORT_INTEREST_VALUE,FDJU FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,FDJU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,FDJU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,FDJU FP Equity_DX_SI_MV,FDJU FP Equity_DX_DSS,FDJU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,FDJU FP Equity_DX_SUPPLY_SI_QTY,FDJU FP Equity_DX_BROKER_SI_QTY,FDJU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,FDJU FP Equity_DX_BROKER_SI_MV_NEW_x,FDJU FP Equity_DX_SUPPLY_SI_QTY_NEW_x,FDJU FP Equity_DX_SUPPLY_SI_QTY_INC_x,FDJU FP Equity_DX_BROKER_SI_MV_INC_x,FDJU FP Equity_DX_SUPPLY_SI_MV_NEW,FDJU FP Equity_DX_BROKER_SI_QTY_ADD,FDJU FP Equity_DX_BROKER_SI_QTY_NEW,FDJU FP Equity_DX_SUPPLY_SI_MV_DEC,FDJU FP Equity_DX_BROKER_SI_QTY_INC,FDJU FP Equity_DX_SUPPLY_SI_QTY_DEC,FDJU FP Equity_DX_BROKER_SI_MV_NEW_y,FDJU FP Equity_DX_SUPPLY_SI_QTY_NEW_y,FDJU FP Equity_DX_BROKER_SI_MV_INC_y,FDJU FP Equity_DX_SUPPLY_SI_QTY_INC_y,FDJU FP Equity_DX_BROKER_SI_MV_ADD,FDJU FP Equity_DX_SUPPLY_SI_QTY_ADD,FDJU FP Equity_DX_BROKER_SI_QTY_DEC,FDJU FP Equity_DX_SUPPLY_SI_MV,FDJU FP Equity_DX_BROKER_SI_MV_DEC,FDJU FP Equity_DX_SUPPLY_SI_MV_RMV,FDJU FP Equity_DX_BROKER_SI_MV_RMV,FDJU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,FDJU FP Equity_DX_UTILIZATION_QUANTITY,FDJU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,FDJU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,FDJU FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,FDJU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,FDJU FP Equity_DX_ACTIVE_UTILIZATION_MV,FDJU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,FDJU FP Equity_DX_BROKER_SI_CON_RATIO,FDJU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,FDJU FP Equity_DX_DEMAND_SUPPLY_RATIO,FDJU FP Equity_PX_LAST
2019-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9
2019-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228025.0,5176167.5,0.0,4.63,0.0,0.0,0.0,0.0,0.0,22.7
2019-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2725219.0,61862471.3,0.0,59.31,0.0,0.0,0.0,0.0,0.0,22.7
2019-11-25,121254.0,2637274.5,0.06,0.2,0.06,2.75,0.0,2637274.5,121254.0,121254.0,2637274.5,0.0,0.0,0.0,0.0,0.0,121254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,121254.0,0.0,2.76,0.0,0.0,0.0,3.36,3.36,3484981.0,75798336.75,0.0,74.85,3.55,0.0,1.0,100.0,0.0336,21.75
2019-11-26,352635.0,7715653.8,0.18,0.52,0.18,7.68,0.0,4553818.76,276127.0,208127.0,6041658.76,0.0,0.0,10365.0,0.0,0.0,86873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10365.0,1.89,144508.0,0.0,6.01,0.0,0.0,0.0,7.59,7.59,3360506.0,73527871.28,0.0,69.12,8.0,34.35,0.5122,62.71,0.097,21.88
2019-11-27,337227.0,7354920.87,0.18,0.46,0.18,7.38,0.0,6022329.87,337227.0,276127.0,7354920.87,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,68000.0,0.0,0.0,0.0,1.5,0.0,0.0,61100.0,0.0,7.38,0.0,0.0,0.0,8.78,8.78,3505368.0,76452076.08,0.0,72.57,9.23,35.95,0.3455,42.84,0.0878,21.81
2019-11-28,337227.0,7417307.87,0.18,0.45,0.18,7.36,0.0,6073413.37,337227.0,276127.0,7417307.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.36,0.0,0.0,0.0,8.6,8.6,3585254.0,78857661.73,0.0,74.12,9.04,35.93,0.3457,42.9,0.086,21.995
2019-11-29,427597.0,9310924.68,0.46,0.56,0.22,9.55,0.0,8544444.68,371327.0,392397.0,8085645.43,0.0,0.0,0.0,0.0,0.0,116270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,34100.0,0.0,8.14,0.0,0.0,0.0,9.53,9.53,3525037.0,76757680.68,0.0,72.47,10.1,29.48,0.2521,35.43,0.1097,21.775
2019-12-02,390149.0,8374548.29,0.2,0.5,0.2,8.49,0.0,5976736.07,250073.0,278441.0,5367816.95,0.0,0.0,0.0,0.0,0.0,7298.0,0.0,2.67,0.0,121254.0,0.0,0.0,0.0,0.0,0.16,0.0,121254.0,5.4,2.64,0.0,0.0,6.32,6.32,3706013.0,79549569.05,0.0,75.54,6.67,16.85,0.4114,60.51,0.0986,21.465
2019-12-03,315641.0,6813110.99,0.34,0.4,0.17,6.81,0.0,6053318.99,173565.0,280441.0,3746400.53,0.0,0.0,0.0,0.04,0.0,0.0,0.0,1.64,2000.0,76508.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,3.72,0.0,0.0,0.0,4.38,4.38,3787455.0,81752216.18,0.0,76.39,4.65,21.08,0.3191,49.76,0.0797,21.585
