DATE,ALCAP FP Equity_DX_SI_QTY,ALCAP FP Equity_DX_SHORT_INTEREST_VALUE,ALCAP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALCAP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALCAP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALCAP FP Equity_DX_SI_MV,ALCAP FP Equity_DX_DSS,ALCAP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALCAP FP Equity_DX_SUPPLY_SI_QTY,ALCAP FP Equity_DX_BROKER_SI_QTY,ALCAP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALCAP FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALCAP FP Equity_DX_BROKER_SI_MV_INC_x,ALCAP FP Equity_DX_BROKER_SI_QTY_ADD,ALCAP FP Equity_DX_SUPPLY_SI_MV_DEC,ALCAP FP Equity_DX_BROKER_SI_QTY_INC,ALCAP FP Equity_DX_SUPPLY_SI_QTY_DEC,ALCAP FP Equity_DX_BROKER_SI_MV_INC_y,ALCAP FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALCAP FP Equity_DX_BROKER_SI_MV_ADD,ALCAP FP Equity_DX_SUPPLY_SI_QTY_ADD,ALCAP FP Equity_DX_BROKER_SI_QTY_DEC,ALCAP FP Equity_DX_SUPPLY_SI_MV,ALCAP FP Equity_DX_BROKER_SI_MV_DEC,ALCAP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALCAP FP Equity_DX_UTILIZATION_QUANTITY,ALCAP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALCAP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALCAP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALCAP FP Equity_DX_ACTIVE_UTILIZATION_MV,ALCAP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALCAP FP Equity_DX_BROKER_SI_CON_RATIO,ALCAP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALCAP FP Equity_DX_DEMAND_SUPPLY_RATIO,ALCAP FP Equity_PX_LAST
2006-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,9.4
2006-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,8.8
2006-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,9.12
2006-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,9.4
2006-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,9.4
2006-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,9.5
2006-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,9.37
2006-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,9.28
2006-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,9.0
2006-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,8.99
