DATE,ES FP Equity_DX_SI_QTY,ES FP Equity_DX_SHORT_INTEREST_VALUE,ES FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ES FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ES FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ES FP Equity_DX_SI_MV,ES FP Equity_DX_DSS,ES FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ES FP Equity_DX_SUPPLY_SI_QTY,ES FP Equity_DX_BROKER_SI_QTY,ES FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ES FP Equity_DX_BROKER_SI_MV_NEW_x,ES FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ES FP Equity_DX_SUPPLY_SI_QTY_INC_x,ES FP Equity_DX_BROKER_SI_MV_INC_x,ES FP Equity_DX_SUPPLY_SI_MV_NEW,ES FP Equity_DX_BROKER_SI_QTY_ADD,ES FP Equity_DX_BROKER_SI_QTY_NEW,ES FP Equity_DX_SUPPLY_SI_MV_DEC,ES FP Equity_DX_BROKER_SI_QTY_INC,ES FP Equity_DX_SUPPLY_SI_QTY_DEC,ES FP Equity_DX_BROKER_SI_MV_NEW_y,ES FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ES FP Equity_DX_BROKER_SI_MV_INC_y,ES FP Equity_DX_SUPPLY_SI_QTY_INC_y,ES FP Equity_DX_BROKER_SI_MV_ADD,ES FP Equity_DX_SUPPLY_SI_QTY_ADD,ES FP Equity_DX_BROKER_SI_QTY_DEC,ES FP Equity_DX_SUPPLY_SI_MV,ES FP Equity_DX_BROKER_SI_MV_DEC,ES FP Equity_DX_SUPPLY_SI_MV_RMV,ES FP Equity_DX_BROKER_SI_MV_RMV,ES FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ES FP Equity_DX_UTILIZATION_QUANTITY,ES FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ES FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ES FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ES FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ES FP Equity_DX_ACTIVE_UTILIZATION_MV,ES FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ES FP Equity_DX_BROKER_SI_CON_RATIO,ES FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ES FP Equity_DX_DEMAND_SUPPLY_RATIO,ES FP Equity_PX_LAST
2006-07-03,11555.0,1258084.55,0.53,3.33,0.09,2.11,0.0,962698.71,2713.0,8842.0,295385.84,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,7000.0,67.0,0.0,0.0,1.28,0.0,0.0,0.0,5.0,0.5,0.0,0.0,0.0,5.65,3.68,45321.0,4934456.92,0.0,0.0,0.0,12.3,0.6784,81.24,0.1567,183.3
2006-07-04,11523.0,1266920.59,0.52,3.35,0.09,2.12,0.0,970613.12,2695.0,8828.0,296307.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.5,0.0,0.0,0.0,5.57,3.62,45728.0,5027661.6,0.0,0.0,0.0,12.21,0.6819,81.47,0.1548,185.1
2006-07-05,11522.0,1266126.25,0.52,3.31,0.09,2.13,0.0,969868.97,2696.0,8826.0,296257.28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,5.39,3.37,47323.0,5200216.32,0.0,0.0,0.0,12.15,0.6829,81.54,0.1439,185.0
2006-07-06,11534.0,1271555.53,0.52,3.27,0.09,2.12,0.0,973896.44,2701.0,8834.0,297769.33,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.38,3.37,47460.0,5232185.33,0.0,0.0,0.0,12.2,0.681,81.42,0.1437,185.6
2006-07-07,11828.0,1289213.36,0.54,3.34,0.09,2.16,0.0,990889.3,3096.0,9091.0,337453.89,0.0,0.0,396.0,0.0,0.0,253.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,396.0,0.05,0.0,0.0,0.57,0.0,0.0,0.0,6.02,3.78,48313.0,5265959.17,0.0,0.0,0.0,11.96,0.642,78.98,0.1443,183.5
2006-07-10,11923.0,1303109.11,0.54,3.41,0.09,2.19,0.0,1012497.09,3012.0,9264.0,329192.71,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.01,175.0,84.0,0.0,0.0,0.03,0.0,0.0,0.0,1.0,0.55,0.0,0.0,0.0,5.84,3.66,48524.0,5303368.81,0.0,0.0,0.0,11.76,0.63,78.17,0.1448,184.0
2006-07-11,11901.0,1314842.74,0.54,3.43,0.09,2.2,0.0,1022618.64,2996.0,9256.0,331003.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.55,0.0,0.0,0.0,5.84,3.65,48326.0,5339138.75,0.0,0.0,0.0,11.71,0.632,78.31,0.1449,186.0
2006-07-12,10497.0,1169644.05,0.48,2.98,0.08,1.92,0.0,1032143.74,1594.0,9263.0,177613.85,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.26,6.0,1410.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,3.18,1.92,48506.0,5404854.17,0.0,0.0,0.0,11.82,0.6282,78.04,0.1263,182.8
2006-07-13,10502.0,1172761.8,0.48,2.97,0.08,1.92,0.0,1033955.58,1595.0,9259.0,178114.17,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.29,0.0,0.0,0.0,3.17,1.92,48662.0,5434101.56,0.0,0.0,0.0,11.82,0.6298,78.15,0.1262,183.2
2006-07-14,10534.0,1150008.97,0.48,2.97,0.08,1.89,0.0,1011907.45,1754.0,9269.0,191486.21,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,3.43,2.03,49308.0,5383011.4,0.0,0.0,0.0,12.02,0.6244,77.76,0.122,179.1
