DATE,VLA FP Equity_DX_SI_QTY,VLA FP Equity_DX_SHORT_INTEREST_VALUE,VLA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,VLA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,VLA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,VLA FP Equity_DX_SI_MV,VLA FP Equity_DX_DSS,VLA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,VLA FP Equity_DX_SUPPLY_SI_QTY,VLA FP Equity_DX_BROKER_SI_QTY,VLA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,VLA FP Equity_DX_BROKER_SI_MV_NEW_x,VLA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,VLA FP Equity_DX_SUPPLY_SI_QTY_INC_x,VLA FP Equity_DX_BROKER_SI_MV_INC_x,VLA FP Equity_DX_SUPPLY_SI_MV_NEW,VLA FP Equity_DX_BROKER_SI_QTY_ADD,VLA FP Equity_DX_BROKER_SI_QTY_NEW,VLA FP Equity_DX_SUPPLY_SI_MV_DEC,VLA FP Equity_DX_BROKER_SI_QTY_INC,VLA FP Equity_DX_SUPPLY_SI_QTY_DEC,VLA FP Equity_DX_BROKER_SI_MV_NEW_y,VLA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,VLA FP Equity_DX_BROKER_SI_MV_INC_y,VLA FP Equity_DX_SUPPLY_SI_QTY_INC_y,VLA FP Equity_DX_BROKER_SI_MV_ADD,VLA FP Equity_DX_SUPPLY_SI_QTY_ADD,VLA FP Equity_DX_BROKER_SI_QTY_DEC,VLA FP Equity_DX_SUPPLY_SI_MV,VLA FP Equity_DX_BROKER_SI_MV_DEC,VLA FP Equity_DX_SUPPLY_SI_MV_RMV,VLA FP Equity_DX_BROKER_SI_MV_RMV,VLA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,VLA FP Equity_DX_UTILIZATION_QUANTITY,VLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,VLA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,VLA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,VLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,VLA FP Equity_DX_ACTIVE_UTILIZATION_MV,VLA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,VLA FP Equity_DX_BROKER_SI_CON_RATIO,VLA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,VLA FP Equity_DX_DEMAND_SUPPLY_RATIO,VLA FP Equity_PX_LAST
2007-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.51
2007-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.96
2007-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2
2007-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,11.23
2007-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,11.06
2007-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,11.1
2007-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,56650.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,11.33
2007-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,60850.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,12.17
2007-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,60000.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,12.0
2007-07-11,2200.0,25322.0,0.02,0.05,0.02,0.03,0.0,25322.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,57550.0,0.0,0.06,0.0,0.0,1.0,100.0,0.44,11.51
